Year,Series,Gaixotasun ez-transmitigarria,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2011,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,703.7
2021,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,438.5
2012,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,648.5
2017,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,840.5
2013,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,746.3
2018,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,746.6
2010,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,302.6
2014,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,545.2
2016,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,345.9
2023,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,474.8
2024,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,752.2
2015,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,494.3
2020,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,547.5
2022,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,476.6
2018,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,523.2
2013,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,398.9
2016,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,394.0
2022,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,397.9
2011,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,552.5
2021,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,525.3
2012,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,672.0
2010,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,286.9
2020,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,389.6
2017,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,390.9
2015,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,397.6
2019,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,522.2
2014,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,662.7
2024,Heriotza-tasa 100.000 biztanleko,,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,131.4
2023,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,642.4
2015,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,1525.1
2011,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,885.9
2019,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,1567.7
2022,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,1084.6
2010,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,671.9
2013,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,666.7
2024,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,865.8
2012,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,446.4
2016,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,647.2
2020,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,220.8
2017,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,1304.3
2014,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,440.0
2018,Heriotza-tasa 100.000 biztanleko,,,,,Ajangiz,100.000 biztanleko,Ajangiz,878.2
2017,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,1320.1
2018,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,668.9
2022,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,331.1
2019,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,679.1
2013,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,328.9
2012,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,335.6
2014,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,660.1
2010,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,1034.5
2023,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,641.0
2024,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,323.6
2016,Heriotza-tasa 100.000 biztanleko,,,,,Albiztur,100.000 biztanleko,Albiztur,1957.6
2021,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,997.5
2023,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,593.6
2016,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,455.1
2010,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,398.4
2018,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,285.3
2024,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,699.3
2014,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,506.3
2017,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,569.8
2013,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,671.1
2011,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,839.6
2012,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,502.1
2022,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,499.4
2019,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,563.5
2020,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,387.4
2015,Heriotza-tasa 100.000 biztanleko,,,,,Alegia,100.000 biztanleko,Alegia,452.7
2023,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,442.1
2010,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,104.7
2019,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,225.3
2021,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,286.5
2018,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,389.9
2022,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,219.1
2014,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,494.2
2024,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,378.5
2012,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,333.6
2011,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,303.7
2013,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,330.7
2016,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,232.1
2017,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,424.6
2020,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,255.7
2015,Heriotza-tasa 100.000 biztanleko,,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,466.7
2024,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,1436.8
2020,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,859.6
2014,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,845.1
2021,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,868.3
2010,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,586.5
2023,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,849.9
2012,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,1105.0
2022,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,569.8
2018,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,571.4
2015,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,1149.4
2013,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,550.2
2011,Heriotza-tasa 100.000 biztanleko,,,,,Alkiza,100.000 biztanleko,Alkiza,285.7
2014,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,838.7
2019,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,705.0
2011,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,808.9
2024,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,527.0
2016,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,667.6
2013,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,490.7
2017,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,809.6
2012,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,665.4
2022,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,535.1
2018,Heriotza-tasa 100.000 biztanleko,,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,983.0
