Year,Series,Sexo,Territorio,Units,Value
2019,EU_SDG_11_52_NR,,ES213,NR,381.0
2017,EU_SDG_11_52_NR,,ES212,NR,136.0
2023,EU_SDG_11_52_NR,,ES212,NR,129.0
2015,EU_SDG_11_52_NR,,ES212,NR,211.0
2016,EU_SDG_11_52_NR,,ES212,NR,122.0
2020,EU_SDG_11_52_NR,,ES212,NR,134.0
2019,EU_SDG_11_52_NR,,ES212,NR,163.0
2018,EU_SDG_11_52_NR,,ES212,NR,228.0
2022,EU_SDG_11_52_NR,,ES212,NR,185.0
2021,EU_SDG_11_52_NR,,ES212,NR,142.0
2021,EU_SDG_11_52_NR,F,,NR,299.0
2016,EU_SDG_11_52_NR,F,,NR,278.0
2023,EU_SDG_11_52_NR,F,,NR,285.0
2018,EU_SDG_11_52_NR,F,,NR,418.0
2022,EU_SDG_11_52_NR,F,,NR,376.0
2019,EU_SDG_11_52_NR,F,,NR,317.0
2020,EU_SDG_11_52_NR,F,,NR,303.0
2015,EU_SDG_11_52_NR,F,,NR,411.0
2017,EU_SDG_11_52_NR,F,,NR,298.0
2021,EU_SDG_11_52_NR,F,ES211,NR,39.0
2022,EU_SDG_11_52_NR,F,ES211,NR,54.0
2017,EU_SDG_11_52_NR,F,ES211,NR,40.0
2015,EU_SDG_11_52_NR,F,ES211,NR,57.0
2016,EU_SDG_11_52_NR,F,ES211,NR,39.0
2018,EU_SDG_11_52_NR,F,ES211,NR,59.0
2019,EU_SDG_11_52_NR,F,ES211,NR,45.0
2020,EU_SDG_11_52_NR,F,ES211,NR,45.0
2023,EU_SDG_11_52_NR,F,ES211,NR,36.0
2021,EU_SDG_11_52_NR,F,ES213,NR,189.0
2017,EU_SDG_11_52_NR,F,ES213,NR,189.0
2015,EU_SDG_11_52_NR,F,ES213,NR,247.0
2018,EU_SDG_11_52_NR,F,ES213,NR,244.0
2020,EU_SDG_11_52_NR,F,ES213,NR,190.0
2022,EU_SDG_11_52_NR,F,ES213,NR,228.0
2023,EU_SDG_11_52_NR,F,ES213,NR,183.0
2016,EU_SDG_11_52_NR,F,ES213,NR,177.0
2019,EU_SDG_11_52_NR,F,ES213,NR,190.0
2015,EU_SDG_11_52_NR,F,ES212,NR,106.0
2016,EU_SDG_11_52_NR,F,ES212,NR,61.0
2018,EU_SDG_11_52_NR,F,ES212,NR,114.0
2020,EU_SDG_11_52_NR,F,ES212,NR,67.0
2017,EU_SDG_11_52_NR,F,ES212,NR,68.0
2021,EU_SDG_11_52_NR,F,ES212,NR,70.0
2019,EU_SDG_11_52_NR,F,ES212,NR,81.0
2023,EU_SDG_11_52_NR,F,ES212,NR,64.0
2022,EU_SDG_11_52_NR,F,ES212,NR,93.0
2017,EU_SDG_11_52_NR,M,,NR,296.0
2019,EU_SDG_11_52_NR,M,,NR,319.0
2018,EU_SDG_11_52_NR,M,,NR,417.0
2015,EU_SDG_11_52_NR,M,,NR,410.0
2022,EU_SDG_11_52_NR,M,,NR,373.0
2020,EU_SDG_11_52_NR,M,,NR,303.0
2021,EU_SDG_11_52_NR,M,,NR,308.0
2016,EU_SDG_11_52_NR,M,,NR,281.0
2023,EU_SDG_11_52_NR,M,,NR,284.0
2021,EU_SDG_11_52_NR,M,ES211,NR,40.0
2019,EU_SDG_11_52_NR,M,ES211,NR,45.0
2023,EU_SDG_11_52_NR,M,ES211,NR,36.0
2022,EU_SDG_11_52_NR,M,ES211,NR,54.0
2016,EU_SDG_11_52_NR,M,ES211,NR,40.0
2020,EU_SDG_11_52_NR,M,ES211,NR,45.0
2018,EU_SDG_11_52_NR,M,ES211,NR,59.0
2017,EU_SDG_11_52_NR,M,ES211,NR,39.0
2015,EU_SDG_11_52_NR,M,ES211,NR,57.0
2018,EU_SDG_11_52_NR,M,ES213,NR,244.0
2017,EU_SDG_11_52_NR,M,ES213,NR,188.0
2021,EU_SDG_11_52_NR,M,ES213,NR,195.0
2015,EU_SDG_11_52_NR,M,ES213,NR,246.0
2016,EU_SDG_11_52_NR,M,ES213,NR,179.0
2022,EU_SDG_11_52_NR,M,ES213,NR,227.0
2020,EU_SDG_11_52_NR,M,ES213,NR,191.0
2023,EU_SDG_11_52_NR,M,ES213,NR,183.0
2019,EU_SDG_11_52_NR,M,ES213,NR,191.0
2016,EU_SDG_11_52_NR,M,ES212,NR,61.0
2017,EU_SDG_11_52_NR,M,ES212,NR,67.0
2019,EU_SDG_11_52_NR,M,ES212,NR,82.0
2018,EU_SDG_11_52_NR,M,ES212,NR,114.0
2023,EU_SDG_11_52_NR,M,ES212,NR,64.0
2020,EU_SDG_11_52_NR,M,ES212,NR,67.0
2015,EU_SDG_11_52_NR,M,ES212,NR,105.0
2021,EU_SDG_11_52_NR,M,ES212,NR,72.0
2022,EU_SDG_11_52_NR,M,ES212,NR,92.0
