Year,Profession,Employment status,Sex,Province,Units,Value
2023,Nursing and midwifery professionals,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",0.7
2019,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2021,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2023,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2016,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",124.8
2022,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",117.6
2016,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",124.8
2010,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",123.2
2014,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2023,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",135.0
2023,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",135.0
2011,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",116.4
2019,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",128.3
2022,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",132.8
2010,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",112.4
2018,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",127.7
2012,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2024,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",137.0
2018,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2016,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2017,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2024,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,Retired,Female,Bizkaia,"Per 10,000 inhabitants",0.0
2019,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",128.3
2015,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",123.2
2014,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",120.3
2012,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",117.6
2010,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",112.4
2021,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",132.8
2024,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",137.0
2022,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",132.8
2020,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",131.5
2025,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",139.8
2017,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",126.3
2011,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",116.4
2018,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",127.7
2017,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",126.3
2020,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",131.5
2025,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",139.8
2013,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",118.2
2014,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",120.3
2013,Nursing and midwifery professionals,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",118.2
2021,Nursing and midwifery professionals,,Female,Bizkaia,"Per 10,000 inhabitants",132.8
2010,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",127.6
2010,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2022,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2018,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",131.2
2016,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2021,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2024,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",36.9
2019,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",39.6
2017,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",131.0
2019,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",132.8
2011,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",125.6
2016,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",131.7
2020,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",135.5
2014,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",130.3
2013,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",128.0
2022,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",136.6
2025,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",142.6
2021,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",136.4
2020,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",182.2
2016,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",131.7
2017,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",131.0
2018,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",130.5
2021,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",136.4
2023,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",138.4
2023,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",44.6
2014,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",135.5
2024,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",141.0
2018,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",130.5
2012,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",127.6
2017,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",124.7
2024,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",177.8
2011,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",125.6
2019,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",132.8
2023,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",183.0
2022,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",136.6
2014,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",130.3
2015,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",131.2
2015,Nursing and midwifery professionals,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",124.7
2013,Nursing and midwifery professionals,,Female,Gipuzkoa,"Per 10,000 inhabitants",128.0
2024,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",19.3
2014,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",13.9
2020,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",17.5
2018,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2022,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",18.2
2014,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",14.4
2013,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",13.5
2021,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",17.9
2010,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",12.5
2019,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",16.3
2018,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",15.5
2025,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.9
2017,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",20.1
2015,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",14.3
2013,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",14.3
2024,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.9
2023,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",18.9
2021,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",17.9
2012,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",14.5
2015,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",17.5
2023,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",1.8
2021,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",13.5
2017,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",15.1
2014,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",13.9
2017,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",15.1
2025,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",21.0
2022,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",18.2
2024,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",20.2
2019,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",14.5
2023,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",20.8
2022,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",12.5
2016,Nursing and midwifery professionals,Retired,Male,,"Per 10,000 inhabitants",0.0
2016,Nursing and midwifery professionals,,Male,,"Per 10,000 inhabitants",14.8
2016,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",14.8
2011,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",14.4
2018,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",15.5
2019,Nursing and midwifery professionals,Not retired,Male,,"Per 10,000 inhabitants",16.3
2020,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2010,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2014,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2022,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2020,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",18.0
2013,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",12.7
2022,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.4
2021,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2025,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",21.2
2015,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",13.9
2023,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",20.1
2015,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2016,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2011,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2010,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",12.2
2022,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",19.5
2012,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",12.5
2018,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",16.2
2021,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",19.5
2016,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",14.8
2014,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",13.6
2017,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",15.4
2018,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",12.2
2010,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.2
2025,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",21.2
2020,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",17.9
2016,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",14.7
2021,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.4
2018,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",16.2
2013,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.7
2014,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",13.6
2019,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",16.9
2024,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",20.8
2012,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.4
2011,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.0
2025,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2024,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",20.6
2015,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",13.8
2017,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.0
2017,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",15.4
2023,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2019,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.1
2019,Nursing and midwifery professionals,,Male,Araba/Álava,"Per 10,000 inhabitants",17.0
2024,Nursing and midwifery professionals,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",0.2
2023,Nursing and midwifery professionals,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.9
2019,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",19.3
2021,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",21.1
2016,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",17.7
2025,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",24.1
2022,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",21.5
2023,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",22.4
2018,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",18.4
2024,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",23.0
2012,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",16.2
2013,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",16.3
2015,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",17.1
2010,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",15.2
2011,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2011,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",15.9
2021,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2017,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2023,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2016,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2022,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",21.5
2024,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2014,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2018,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2022,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2016,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",17.7
2014,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",16.6
2015,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",17.1
2014,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",16.6
2010,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",15.2
2018,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",18.4
2021,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",21.1
2023,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",22.4
2013,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",16.3
2012,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",16.2
2017,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",17.9
2017,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",17.9
2020,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",20.9
2024,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",23.0
2019,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",19.3
2011,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",15.9
2025,Nursing and midwifery professionals,,Male,Bizkaia,"Per 10,000 inhabitants",24.1
2019,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,Retired,Male,Bizkaia,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",20.9
2011,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2017,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2015,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2013,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2023,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",5.5
2019,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2021,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2024,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",2.7
2025,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",2.8
2016,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2022,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2012,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2020,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2018,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2014,Nursing and midwifery professionals,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",0.0
2023,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",18.6
2015,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",10.1
2012,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",12.8
2016,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",10.4
2018,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",10.7
2021,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",12.2
2013,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",9.4
2020,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",12.1
2024,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",15.6
2017,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",10.4
2014,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",9.7
2022,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",12.5
2019,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",11.2
2025,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",16.2
2011,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",13.2
2010,Nursing and midwifery professionals,,Male,Gipuzkoa,"Per 10,000 inhabitants",8.1
2023,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",13.1
2015,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.1
2018,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.7
2013,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",9.4
2012,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.8
2017,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.4
2019,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",11.2
2016,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.4
2011,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",13.2
2014,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",9.7
2020,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.1
2010,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",8.1
2025,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",13.4
2024,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.9
2022,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.5
2021,Nursing and midwifery professionals,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.2
2025,Dentist,,,,"Per 10,000 inhabitants",9.1
2023,Dentist,Not retired,,,"Per 10,000 inhabitants",8.7
2019,Dentist,Not retired,,,"Per 10,000 inhabitants",8.4
2013,Dentist,Not retired,,,"Per 10,000 inhabitants",7.7
2021,Dentist,Not retired,,,"Per 10,000 inhabitants",8.8
2010,Dentist,Not retired,,,"Per 10,000 inhabitants",7.3
2022,Dentist,Not retired,,,"Per 10,000 inhabitants",8.7
2016,Dentist,Not retired,,,"Per 10,000 inhabitants",8.2
2010,Dentist,Retired,,,"Per 10,000 inhabitants",0.0
2020,Dentist,Not retired,,,"Per 10,000 inhabitants",8.5
