Year,Profession,Employment status,Sex,Province,Units,Value
2023,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",42.3
2012,,,,Gipuzkoa,"Per 10,000 inhabitants",144.3
2025,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",41.1
2015,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",142.2
2018,,,,Gipuzkoa,"Per 10,000 inhabitants",154.3
2010,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",4.4
2022,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",15.6
2018,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",144.0
2017,,,,Gipuzkoa,"Per 10,000 inhabitants",152.9
2014,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",141.5
2014,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",7.0
2022,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",151.3
2024,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",38.2
2013,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",6.4
2021,,,,Gipuzkoa,"Per 10,000 inhabitants",164.7
2014,,,,Gipuzkoa,"Per 10,000 inhabitants",148.5
2020,,,,Gipuzkoa,"Per 10,000 inhabitants",161.9
2025,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",155.5
2011,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",4.6
2016,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",143.3
2016,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",8.6
2015,,,,Gipuzkoa,"Per 10,000 inhabitants",150.2
2013,,,,Gipuzkoa,"Per 10,000 inhabitants",145.8
2023,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",152.4
2019,,,,Gipuzkoa,"Per 10,000 inhabitants",157.3
2018,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",10.3
2019,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",145.6
2020,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",149.1
2022,,,,Gipuzkoa,"Per 10,000 inhabitants",167.0
2017,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",143.5
2011,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",130.7
2012,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",138.3
2020,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",12.8
2016,,,,Gipuzkoa,"Per 10,000 inhabitants",151.8
2025,,,,Gipuzkoa,"Per 10,000 inhabitants",196.6
2010,,,,Gipuzkoa,"Per 10,000 inhabitants",140.0
2024,,,,Gipuzkoa,"Per 10,000 inhabitants",191.8
2021,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",14.0
2015,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",8.0
2011,,,,Gipuzkoa,"Per 10,000 inhabitants",142.8
2017,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",9.4
2021,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",150.8
2024,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",153.5
2012,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",6.0
2017,,Not retired,Female,,"Per 10,000 inhabitants",225.4
2010,,Retired,Female,,"Per 10,000 inhabitants",2.1
2024,,Not retired,Female,,"Per 10,000 inhabitants",247.4
2017,,,Female,,"Per 10,000 inhabitants",231.4
2020,,Retired,Female,,"Per 10,000 inhabitants",8.9
2012,,Retired,Female,,"Per 10,000 inhabitants",2.8
2011,,Retired,Female,,"Per 10,000 inhabitants",2.7
2020,,,Female,,"Per 10,000 inhabitants",245.2
2023,,,Female,,"Per 10,000 inhabitants",271.4
2021,,,Female,,"Per 10,000 inhabitants",249.8
2021,,Retired,Female,,"Per 10,000 inhabitants",10.1
2012,,Not retired,Female,,"Per 10,000 inhabitants",208.1
2013,,,Female,,"Per 10,000 inhabitants",215.2
2021,,Not retired,Female,,"Per 10,000 inhabitants",239.3
2016,,Retired,Female,,"Per 10,000 inhabitants",4.8
2022,,,Female,,"Per 10,000 inhabitants",252.6
2014,,,Female,,"Per 10,000 inhabitants",219.8
2011,,,Female,,"Per 10,000 inhabitants",205.6
2011,,Not retired,Female,,"Per 10,000 inhabitants",195.7
2018,,Retired,Female,,"Per 10,000 inhabitants",6.6
2016,,,Female,,"Per 10,000 inhabitants",228.0
2022,,Not retired,Female,,"Per 10,000 inhabitants",241.7
2017,,Retired,Female,,"Per 10,000 inhabitants",5.7
2023,,Not retired,Female,,"Per 10,000 inhabitants",244.4
2014,,Not retired,Female,,"Per 10,000 inhabitants",216.1
2018,,Not retired,Female,,"Per 10,000 inhabitants",228.0
2019,,,Female,,"Per 10,000 inhabitants",238.1
2013,,Not retired,Female,,"Per 10,000 inhabitants",211.9
2016,,Not retired,Female,,"Per 10,000 inhabitants",222.9
2020,,Not retired,Female,,"Per 10,000 inhabitants",236.0
2015,,Not retired,Female,,"Per 10,000 inhabitants",220.1
2015,,Retired,Female,,"Per 10,000 inhabitants",3.9
2022,,Retired,Female,,"Per 10,000 inhabitants",10.9
2012,,,Female,,"Per 10,000 inhabitants",211.3
2015,,,Female,,"Per 10,000 inhabitants",224.4
2018,,,Female,,"Per 10,000 inhabitants",234.8
2010,,Not retired,Female,,"Per 10,000 inhabitants",198.8
2010,,,Female,,"Per 10,000 inhabitants",201.2
2025,,Not retired,Female,,"Per 10,000 inhabitants",252.0
2025,,Retired,Female,,"Per 10,000 inhabitants",28.3
2019,,Not retired,Female,,"Per 10,000 inhabitants",229.9
2013,,Retired,Female,,"Per 10,000 inhabitants",2.9
2024,,,Female,,"Per 10,000 inhabitants",273.3
2014,,Retired,Female,,"Per 10,000 inhabitants",3.2
2024,,Retired,Female,,"Per 10,000 inhabitants",25.9
2019,,Retired,Female,,"Per 10,000 inhabitants",7.9
2025,,,Female,,"Per 10,000 inhabitants",280.3
2023,,Retired,Female,,"Per 10,000 inhabitants",27.1
2016,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",4.8
2022,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",252.6
2010,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",2.3
2014,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",236.4
2021,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",8.3
2020,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",248.3
2010,,,Female,Araba/Álava,"Per 10,000 inhabitants",216.1
2021,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",250.6
2013,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",2.1
2015,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",238.9
2021,,,Female,Araba/Álava,"Per 10,000 inhabitants",258.9
2012,,,Female,Araba/Álava,"Per 10,000 inhabitants",229.9
2024,,,Female,Araba/Álava,"Per 10,000 inhabitants",267.6
2017,,,Female,Araba/Álava,"Per 10,000 inhabitants",248.5
2010,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",213.8
2011,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",3.8
2022,,,Female,Araba/Álava,"Per 10,000 inhabitants",262.2
2013,,,Female,Araba/Álava,"Per 10,000 inhabitants",233.0
2025,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",258.4
2022,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",9.6
2023,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",253.4
2011,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",212.9
2024,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",254.6
2011,,,Female,Araba/Álava,"Per 10,000 inhabitants",222.3
2025,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",14.7
2020,,,Female,Araba/Álava,"Per 10,000 inhabitants",256.1
2024,,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",13.0
2016,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",241.4
2018,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",245.4
2017,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",243.2
2012,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",227.5
2013,,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",230.8
