Year,Series,Waste treatment operation,Province,Units,Value
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.5
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.2
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.1
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.4
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.2
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.4
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.4
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.2
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,1.3
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.4
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration with energy recovery,Gipuzkoa,PT,0.3
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,39.6
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,29.9
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,38.1
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,32.2
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,35.2
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,31.5
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,34.2
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,33.7
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,30.6
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,32.6
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,,PT,34.6
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,36.3
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,43.5
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,48.0
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,43.4
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,38.2
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,44.0
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,44.5
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,48.6
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,40.3
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,49.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Araba/Álava,PT,53.1
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,27.6
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,29.4
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,28.4
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,35.9
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,27.3
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,27.4
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,37.7
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,29.4
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,36.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,24.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Bizkaia,PT,26.4
2018,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,40.7
2017,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,42.8
2015,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,34.6
2010,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,21.5
2011,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,30.8
2013,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,35.1
2014,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,35.5
2016,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,37.3
2019,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,42.1
2020,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,50.9
2012,"Proportion of hazardous waste treated, broken down by treatment type",Landfill,Gipuzkoa,PT,36.0
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.1
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.8
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.1
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,4.2
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.2
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.8
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,,PT,0.1
