Year,Series,Edad,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,57.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,56.1
2023,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,58.1
2010,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,55.3
2021,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,55.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,54.5
2015,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,53.7
2020,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,58.2
2020,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,54.8
2015,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,52.9
2018,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,56.3
2010,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,53.2
2021,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,56.2
2023,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,58.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,55.8
2016,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,54.6
2022,EU_EMP_LFS,Y_GE16,,,,,ES48009,PT,ES48009,58.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,49.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,49.5
2021,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,47.6
2020,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,48.6
2016,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,46.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,48.1
2022,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,48.8
2018,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,48.4
2015,EU_EMP_LFS,Y_GE16,,,,,ES20055,PT,ES20055,46.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,49.0
2022,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,51.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,54.2
2023,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,55.9
2010,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,54.8
2018,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,53.7
2015,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,54.0
2019,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,51.3
2020,EU_EMP_LFS,Y_GE16,,,,,ES48914,PT,ES48914,52.5
2010,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,60.3
2020,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,55.4
2023,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,56.6
2021,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,55.2
2015,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,57.8
2019,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,57.6
2018,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,56.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,59.6
2022,EU_EMP_LFS,Y_GE16,,,,,ES01008,PT,ES01008,57.5
2023,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,56.5
2016,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,54.8
2022,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,57.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,54.1
2019,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,55.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,53.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES48010,PT,ES48010,54.0
