Year,Sex,Province,Units,Value
2013,Female,,PT,8.6
2012,Female,,PT,10.0
2014,Female,,PT,8.4
2022,Female,,PT,8.6
2021,Female,,PT,9.1
2019,Female,,PT,9.4
2017,Female,,PT,8.6
2010,Female,,PT,10.2
2020,Female,,PT,9.1
2018,Female,,PT,9.3
2023,Female,,PT,7.9
2011,Female,,PT,9.7
2022,Female,Araba/Álava,PT,10.0
2018,Female,Araba/Álava,PT,10.0
2020,Female,Araba/Álava,PT,11.1
2010,Female,Araba/Álava,PT,11.5
2021,Female,Araba/Álava,PT,11.3
2019,Female,Araba/Álava,PT,11.3
2017,Female,Araba/Álava,PT,7.9
2015,Female,Araba/Álava,PT,13.2
2016,Female,Araba/Álava,PT,10.5
2013,Female,Araba/Álava,PT,10.5
2012,Female,Araba/Álava,PT,12.4
2011,Female,Araba/Álava,PT,11.5
2014,Female,Araba/Álava,PT,8.6
2023,Female,Araba/Álava,PT,10.5
2022,Female,Bizkaia,PT,6.2
2023,Female,Bizkaia,PT,5.6
2019,Female,Bizkaia,PT,6.7
2018,Female,Bizkaia,PT,7.6
2016,Female,Bizkaia,PT,7.3
2017,Female,Bizkaia,PT,7.8
2014,Female,Bizkaia,PT,7.9
2021,Female,Bizkaia,PT,7.1
2013,Female,Bizkaia,PT,7.3
2012,Female,Bizkaia,PT,8.3
2015,Female,Bizkaia,PT,7.0
2011,Female,Bizkaia,PT,7.6
2010,Female,Bizkaia,PT,8.3
2020,Female,Bizkaia,PT,6.6
2022,Female,Gipuzkoa,PT,11.9
2021,Female,Gipuzkoa,PT,11.4
2020,Female,Gipuzkoa,PT,12.2
2019,Female,Gipuzkoa,PT,12.7
2018,Female,Gipuzkoa,PT,11.7
2017,Female,Gipuzkoa,PT,10.1
2023,Female,Gipuzkoa,PT,10.4
2016,Female,Gipuzkoa,PT,9.8
2015,Female,Gipuzkoa,PT,9.8
2014,Female,Gipuzkoa,PT,9.2
2013,Female,Gipuzkoa,PT,9.8
2012,Female,Gipuzkoa,PT,11.7
2011,Female,Gipuzkoa,PT,12.2
2010,Female,Gipuzkoa,PT,12.6
2021,Male,,PT,30.0
2023,Male,,PT,29.0
2019,Male,,PT,30.5
2013,Male,,PT,32.0
2020,Male,,PT,30.9
2016,Male,,PT,29.9
2015,Male,,PT,29.3
2010,Male,,PT,33.1
2018,Male,,PT,31.3
2017,Male,,PT,30.8
2012,Male,,PT,32.8
2022,Male,,PT,28.9
2014,Male,,PT,31.3
2011,Male,,PT,33.9
2021,Male,Araba/Álava,PT,37.4
2022,Male,Araba/Álava,PT,37.7
2012,Male,Araba/Álava,PT,39.0
2015,Male,Araba/Álava,PT,38.9
2013,Male,Araba/Álava,PT,35.7
2020,Male,Araba/Álava,PT,37.1
2011,Male,Araba/Álava,PT,40.3
2018,Male,Araba/Álava,PT,35.5
2016,Male,Araba/Álava,PT,41.8
2014,Male,Araba/Álava,PT,36.5
2010,Male,Araba/Álava,PT,41.3
2023,Male,Araba/Álava,PT,34.7
2017,Male,Araba/Álava,PT,39.5
2019,Male,Araba/Álava,PT,35.8
2023,Male,Bizkaia,PT,23.1
2022,Male,Bizkaia,PT,23.1
2021,Male,Bizkaia,PT,24.0
2020,Male,Bizkaia,PT,24.5
2019,Male,Bizkaia,PT,24.1
2018,Male,Bizkaia,PT,26.2
2016,Male,Bizkaia,PT,24.1
2017,Male,Bizkaia,PT,26.1
2015,Male,Bizkaia,PT,23.8
2014,Male,Bizkaia,PT,26.8
2013,Male,Bizkaia,PT,27.9
2012,Male,Bizkaia,PT,28.1
2011,Male,Bizkaia,PT,28.4
2010,Male,Bizkaia,PT,27.1
2020,Male,Gipuzkoa,PT,37.5
2019,Male,Gipuzkoa,PT,37.7
2018,Male,Gipuzkoa,PT,37.0
2017,Male,Gipuzkoa,PT,34.0
2016,Male,Gipuzkoa,PT,33.2
2015,Male,Gipuzkoa,PT,33.3
2011,Male,Gipuzkoa,PT,39.4
2014,Male,Gipuzkoa,PT,35.5
2012,Male,Gipuzkoa,PT,37.3
2013,Male,Gipuzkoa,PT,36.7
2010,Male,Gipuzkoa,PT,38.9
2023,Male,Gipuzkoa,PT,35.5
2022,Male,Gipuzkoa,PT,33.6
2021,Male,Gipuzkoa,PT,35.7
