Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2023,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2020,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2015,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2016,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2010,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2021,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2014,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2022,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2019,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2013,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2018,SP_ACS_BSRVH2O,,,ES20008,PT,ES20008,100.0
2016,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2023,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2014,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2019,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2022,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2021,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2013,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2010,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2018,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2020,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2015,SP_ACS_BSRVH2O,,,ES48003,PT,ES48003,99.9
2019,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2013,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2021,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2020,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2010,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2023,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2018,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2022,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2015,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2016,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2014,SP_ACS_BSRVH2O,,,ES48004,PT,ES48004,100.0
2022,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2014,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,100.0
2016,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2021,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2010,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2020,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,100.0
2023,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2013,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,100.0
2018,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2015,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,100.0
2019,SP_ACS_BSRVH2O,,,ES01002,PT,ES01002,99.9
2010,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2013,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2018,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2023,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,99.9
2020,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2022,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,99.9
2015,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,99.9
2016,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2014,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,99.9
2021,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2019,SP_ACS_BSRVH2O,,,ES20009,PT,ES20009,100.0
2015,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2023,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2020,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2021,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2018,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2022,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2014,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2010,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2016,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2013,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2019,SP_ACS_BSRVH2O,,,ES20010,PT,ES20010,100.0
2020,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2018,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2015,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2021,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2023,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2016,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2013,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2010,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2019,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2014,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2022,SP_ACS_BSRVH2O,,,ES20011,PT,ES20011,99.9
2018,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2013,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
2016,SP_ACS_BSRVH2O,,,ES01049,PT,ES01049,100.0
