Year,Series,Sexo,Territorio,Units,Value
2014,SI_COV_PENSN,F,ES212,PT,74.6
2012,SI_COV_PENSN,F,ES212,PT,74.2
2011,SI_COV_PENSN,F,ES212,PT,74.3
2016,SI_COV_PENSN,F,ES212,PT,75.0
2021,SI_COV_PENSN,F,ES212,PT,76.2
2018,SI_COV_PENSN,M,,PT,99.7
2013,SI_COV_PENSN,M,,PT,100.0
2020,SI_COV_PENSN,M,,PT,98.6
2021,SI_COV_PENSN,M,,PT,97.2
2014,SI_COV_PENSN,M,,PT,100.0
2016,SI_COV_PENSN,M,,PT,100.0
2015,SI_COV_PENSN,M,,PT,100.0
2023,SI_COV_PENSN,M,,PT,95.0
2011,SI_COV_PENSN,M,,PT,100.0
2012,SI_COV_PENSN,M,,PT,100.0
2017,SI_COV_PENSN,M,,PT,100.0
2024,SI_COV_PENSN,M,,PT,95.4
2022,SI_COV_PENSN,M,,PT,96.2
2019,SI_COV_PENSN,M,,PT,99.3
2010,SI_COV_PENSN,M,,PT,100.0
2018,SI_COV_PENSN,M,ES211,PT,98.8
2011,SI_COV_PENSN,M,ES211,PT,98.2
2010,SI_COV_PENSN,M,ES211,PT,98.1
2015,SI_COV_PENSN,M,ES211,PT,98.7
2012,SI_COV_PENSN,M,ES211,PT,98.1
2016,SI_COV_PENSN,M,ES211,PT,98.7
2019,SI_COV_PENSN,M,ES211,PT,98.6
2014,SI_COV_PENSN,M,ES211,PT,99.2
2017,SI_COV_PENSN,M,ES211,PT,99.2
2013,SI_COV_PENSN,M,ES211,PT,98.8
2021,SI_COV_PENSN,M,ES211,PT,96.0
2024,SI_COV_PENSN,M,ES211,PT,94.2
2023,SI_COV_PENSN,M,ES211,PT,93.3
2020,SI_COV_PENSN,M,ES211,PT,97.6
2022,SI_COV_PENSN,M,ES211,PT,94.7
2012,SI_COV_PENSN,M,ES213,PT,100.0
2024,SI_COV_PENSN,M,ES213,PT,95.3
2022,SI_COV_PENSN,M,ES213,PT,96.0
2020,SI_COV_PENSN,M,ES213,PT,98.2
2018,SI_COV_PENSN,M,ES213,PT,99.5
2021,SI_COV_PENSN,M,ES213,PT,97.0
2016,SI_COV_PENSN,M,ES213,PT,100.0
2014,SI_COV_PENSN,M,ES213,PT,100.0
2017,SI_COV_PENSN,M,ES213,PT,100.0
2010,SI_COV_PENSN,M,ES213,PT,100.0
2013,SI_COV_PENSN,M,ES213,PT,100.0
2019,SI_COV_PENSN,M,ES213,PT,99.0
2023,SI_COV_PENSN,M,ES213,PT,94.8
2011,SI_COV_PENSN,M,ES213,PT,100.0
2015,SI_COV_PENSN,M,ES213,PT,100.0
2019,SI_COV_PENSN,M,ES212,PT,100.0
2020,SI_COV_PENSN,M,ES212,PT,99.6
2017,SI_COV_PENSN,M,ES212,PT,100.0
2015,SI_COV_PENSN,M,ES212,PT,100.0
2016,SI_COV_PENSN,M,ES212,PT,100.0
2013,SI_COV_PENSN,M,ES212,PT,100.0
2018,SI_COV_PENSN,M,ES212,PT,100.0
2011,SI_COV_PENSN,M,ES212,PT,100.0
2012,SI_COV_PENSN,M,ES212,PT,100.0
2022,SI_COV_PENSN,M,ES212,PT,97.2
2010,SI_COV_PENSN,M,ES212,PT,100.0
2021,SI_COV_PENSN,M,ES212,PT,98.0
2023,SI_COV_PENSN,M,ES212,PT,96.2
2014,SI_COV_PENSN,M,ES212,PT,100.0
2024,SI_COV_PENSN,M,ES212,PT,96.2
