Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.4
2022,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.6
2021,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.4
2020,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.0
2016,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,65.5
2022,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.0
2018,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,63.5
2020,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.0
2021,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.0
2010,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.6
2019,Forest area as a proportion of total area,,,Arrasate/Mondragón,%,Arrasate/Mondragón,64.0
2016,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,71.1
2010,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,70.9
2022,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,72.1
2020,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,72.1
2021,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,72.1
2018,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,70.9
2019,Forest area as a proportion of total area,,,Arratzu,%,Arratzu,71.8
2020,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,29.2
2019,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,29.2
2010,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,28.7
2021,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,29.2
2016,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,28.7
2018,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,28.6
2022,Forest area as a proportion of total area,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,29.2
2022,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,65.3
2020,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,65.2
2010,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,64.7
2016,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,66.3
2021,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,65.2
2019,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,65.1
2018,Forest area as a proportion of total area,,,Arrieta,%,Arrieta,65.1
2019,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,60.5
2010,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,61.4
2022,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,61.4
2018,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,60.5
2020,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,61.3
2021,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,61.4
2016,Forest area as a proportion of total area,,,Arrigorriaga,%,Arrigorriaga,61.0
2022,Forest area as a proportion of total area,,,Artea,%,Artea,74.4
