Year,Series,Sex,Age,Province,Units,Value
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,81.7
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,80.0
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,72.8
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,84.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,80.3
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,77.7
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,81.0
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,81.4
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,81.5
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,71.3
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,80.3
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,74.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,73.1
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,81.2
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,78.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,80.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,80.5
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,76.8
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,74.2
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,80.2
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,79.3
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,77.9
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,72.6
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,79.8
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Gipuzkoa,%,81.7
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,23.0
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,24.0
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,12.3
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,11.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,24.9
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,21.9
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,20.8
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,24.4
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,20.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,22.9
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,20.7
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,11.8
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,18.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,18.2
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,,%,17.9
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,11.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,23.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,25.0
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,10.7
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,20.6
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,20.1
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,11.1
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,23.2
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,24.0
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,22.6
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,25.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,19.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,24.8
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,18.6
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Araba/Álava,%,18.7
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,19.8
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,20.7
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,21.4
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,21.7
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,24.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,21.0
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,18.0
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,11.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,17.7
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,23.4
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,10.8
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,12.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,18.8
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,23.0
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Bizkaia,%,24.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,23.8
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,21.9
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,17.8
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,20.6
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,24.4
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,25.0
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,18.4
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,20.1
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,13.2
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,20.6
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,13.7
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,13.5
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,22.9
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,25.9
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-64 years,Gipuzkoa,%,17.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,8.5
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,11.7
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,14.0
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,12.7
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,9.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,13.5
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,10.5
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,2.8
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,10.6
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,14.1
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,3.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,12.2
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,15.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,3.0
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,,%,9.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,13.1
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,16.8
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,2.0
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,13.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,10.0
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,10.7
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,2.3
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,15.5
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,9.8
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,10.7
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,2.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,16.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,13.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,11.1
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Araba/Álava,%,15.7
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,14.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,9.5
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,11.5
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,14.2
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,11.3
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,11.1
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,14.0
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,13.1
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,8.5
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,1.9
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,12.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,2.8
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,2.2
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,11.7
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Bizkaia,%,9.4
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,11.7
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,7.8
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,9.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,4.7
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,8.1
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,4.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,4.0
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,9.5
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,12.6
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,11.0
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,15.4
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,17.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,12.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,9.0
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,25-64 years,Gipuzkoa,%,13.5
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,79.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,76.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,85.1
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,81.6
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,73.1
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,80.2
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,78.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,72.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,81.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,75.7
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,81.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,82.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,82.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,82.9
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,,%,83.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,78.8
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,82.7
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,87.5
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,69.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,77.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,81.3
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,81.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,79.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,71.9
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,77.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,80.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,76.7
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,85.3
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,84.6
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Araba/Álava,%,78.8
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,72.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,83.2
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,76.3
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,81.1
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,85.3
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,78.0
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,82.2
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,73.0
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,81.5
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,76.8
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,86.9
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,82.8
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,79.6
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,84.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Bizkaia,%,80.3
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,79.9
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,78.5
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,71.7
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,74.2
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,75.0
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,81.7
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,75.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,77.9
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,82.1
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,82.4
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,81.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,82.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,82.3
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,80.0
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-24 years,Gipuzkoa,%,80.0
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,25.4
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,11.9
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,23.4
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,18.8
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,24.1
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,26.4
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,18.6
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,21.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,21.4
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,12.1
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,18.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,11.4
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,26.1
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,24.2
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,,%,21.1
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,20.1
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,23.6
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,26.7
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,24.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,21.3
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,27.2
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,11.8
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,11.0
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,20.6
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,21.2
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,10.9
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,24.9
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,19.8
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,24.4
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Araba/Álava,%,26.7
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,26.4
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,21.5
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,21.9
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,18.7
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,24.9
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,11.6
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,17.8
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,10.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,Female,15-64 years,Bizkaia,%,10.4
