Year,Series,Alimento,Territorio,Units,Value
2005,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.2
2018,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.2
2019,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.4
2012,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.1
2017,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.7
2006,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.1
2016,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.6
2020,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.4
2019,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.4
2021,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.1
2015,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.5
2014,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.7
2022,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,1.9
2024,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.3
2013,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.1
2004,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.6
2006,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.4
2003,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.6
2018,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.2
2017,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.5
2007,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.6
2011,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.3
2009,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.5
2010,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.6
2012,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,1.3
2005,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,-0.8
2008,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.6
2023,AG_FPA_CFPI,ECOICOP_RUB_10,,IX,0.5
