Year,Series,Erakundea,Lurralde historikoa,Units,Value
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.32
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.3
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.33
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.33
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.34
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.31
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.33
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.31
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.35
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.37
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.36
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.32
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.32
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.31
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.33
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.31
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.34
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.29
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.32
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.32
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.31
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.29
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.3
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.28
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Araba / Álava,Ratioa,1.32
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.33
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.32
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.41
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.33
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.32
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.33
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.26
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.32
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.3
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.29
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.3
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.35
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.31
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Bizkaia,Ratioa,1.32
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.34
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.4
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.38
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.37
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.35
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.39
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.4
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.42
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.37
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.38
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.47
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.34
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.37
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,Gipuzkoa,Ratioa,1.42
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.03
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.0
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.0
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.12
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.0
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.08
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.11
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.13
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Tokiko sektore publikoa,,Ratioa,1.0
