Year,Series,Erakundea,Lurralde historikoa,Units,Value
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Araba / Álava,Ratioa,1.36
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Araba / Álava,Ratioa,1.38
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Araba / Álava,Ratioa,1.38
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Bizkaia,Ratioa,1.26
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Bizkaia,Ratioa,1.26
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Bizkaia,Ratioa,1.25
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Bizkaia,Ratioa,1.25
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Gipuzkoa,Ratioa,1.2
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Gipuzkoa,Ratioa,1.26
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Gipuzkoa,Ratioa,1.26
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Gipuzkoa,Ratioa,1.22
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,,Ratioa,1.05
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,,Ratioa,1.05
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,,Ratioa,1.03
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,,Ratioa,1.03
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Araba / Álava,Ratioa,1.19
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Araba / Álava,Ratioa,1.2
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Araba / Álava,Ratioa,1.22
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Araba / Álava,Ratioa,1.19
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Bizkaia,Ratioa,1.0
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Bizkaia,Ratioa,1.0
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Bizkaia,Ratioa,0.97
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Bizkaia,Ratioa,0.97
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Gipuzkoa,Ratioa,1.03
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Gipuzkoa,Ratioa,1.02
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Gipuzkoa,Ratioa,1.02
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Udalak,Gipuzkoa,Ratioa,1.02
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.07
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.03
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.01
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,0.97
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,0.99
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.05
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.04
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.06
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.06
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.04
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,1.0
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,0.98
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,0.77
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,,Ratioa,0.78
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.03
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.89
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.99
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.98
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.99
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.03
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.06
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.03
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.05
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.02
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.02
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.99
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,1.04
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Araba / Álava,Ratioa,0.89
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.75
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.99
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.04
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.03
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.04
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.99
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.96
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.06
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.95
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.74
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.02
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,1.05
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Bizkaia,Ratioa,0.97
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.11
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.11
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.01
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.04
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,0.76
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.09
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.04
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,0.77
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.02
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.02
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.01
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.07
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateak,Gipuzkoa,Ratioa,1.1
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.3
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.26
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.3
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.24
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.23
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.2
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.22
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.26
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,,Ratioa,0.24
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.26
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.22
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.21
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.21
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.21
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.19
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.2
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.21
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.19
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.21
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.22
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.26
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.19
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Araba / Álava,Ratioa,0.2
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.21
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.22
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.21
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.27
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.27
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.24
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.22
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.2
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.2
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.2
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.19
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.2
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.2
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Bizkaia,Ratioa,0.25
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.36
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.26
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.31
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.36
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.28
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.27
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.33
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.27
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.3
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.26
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.24
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.26
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.27
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Polizia autonomikoa,Gipuzkoa,Ratioa,0.27
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.53
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.55
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.55
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.54
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.54
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.54
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.54
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.55
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.54
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.53
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.55
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.52
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.55
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,,Ratioa,1.53
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.59
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.54
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.59
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.54
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.57
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.55
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.56
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.5
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.57
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.53
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.61
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.58
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.58
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Araba / Álava,Ratioa,1.58
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.5
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.52
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.49
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.5
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.5
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.5
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.5
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.49
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Bizkaia,Ratioa,1.51
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Gipuzkoa,Ratioa,1.6
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Gipuzkoa,Ratioa,1.58
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Gipuzkoa,Ratioa,1.55
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Justizia Administrazio autonomikoa,Gipuzkoa,Ratioa,1.62
