Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,116.6
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,133.4
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,128.9
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,117.7
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,126.4
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,117.4
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,112.5
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,125.0
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,122.9
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,128.0
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Bizkaia,Por 10.000 habitantes,120.1
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,137.4
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,128.2
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,131.4
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,126.1
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,128.3
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,133.4
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,183.7
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,135.2
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,132.2
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,131.4
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,125.1
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,131.0
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,136.0
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Mujer,Gipuzkoa,Por 10.000 habitantes,130.6
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,15.1
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,14.5
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,14.5
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,14.9
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,12.5
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,13.9
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,14.3
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,16.4
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,20.9
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,15.6
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,18.3
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,17.5
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,13.4
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,,Por 10.000 habitantes,17.8
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,14.8
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,16.4
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,17.1
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,20.2
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,13.9
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,19.5
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,12.6
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,12.3
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,15.5
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,12.4
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,18.0
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,13.7
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,19.6
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Araba/Álava,Por 10.000 habitantes,12.3
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,21.6
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,20.8
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,22.5
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,17.9
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,17.0
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,18.5
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,19.4
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,15.9
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,17.6
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,15.2
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,16.5
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,16.1
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,21.0
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Bizkaia,Por 10.000 habitantes,16.2
2019,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,11.3
2014,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,9.7
2020,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,12.0
2022,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,12.5
2010,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,8.1
2016,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,10.5
2012,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,12.9
2018,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,10.7
2021,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,12.1
2013,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,9.4
2017,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,10.4
2015,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,10.1
2011,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,13.3
2023,Densidad y distribución del personal sanitario,Profesionales de enfermería y obstetricia,Hombre,Gipuzkoa,Por 10.000 habitantes,18.7
2012,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,7.6
2022,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,9.0
2010,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,7.3
2017,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.5
2014,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,7.9
2016,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.4
2011,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,7.4
2020,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.7
2021,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,9.0
2015,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.2
2019,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.7
2013,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,7.8
2023,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,9.1
2018,Densidad y distribución del personal sanitario,Dentista,,,Por 10.000 habitantes,8.6
2022,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.4
2013,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.0
2023,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.4
2017,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.3
2011,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,5.8
2021,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.6
2015,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.5
2014,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.3
2020,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.7
2010,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,5.6
2016,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.5
2012,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,5.7
2018,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.4
2019,Densidad y distribución del personal sanitario,Dentista,,Araba/Álava,Por 10.000 habitantes,6.7
2023,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.3
2010,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,7.7
2016,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,8.7
2017,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,8.9
2022,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.3
2014,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,8.3
2020,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.1
2018,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.1
2012,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,7.9
2013,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,8.1
2019,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.1
2011,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,7.9
2015,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,8.5
2021,Densidad y distribución del personal sanitario,Dentista,,Bizkaia,Por 10.000 habitantes,9.2
2020,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,9.1
2015,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.5
2012,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.0
2018,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.8
2014,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.0
2011,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,7.3
2016,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.7
2022,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,9.8
2019,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.9
2017,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.7
2021,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,9.7
2010,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,7.3
2013,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,8.1
2023,Densidad y distribución del personal sanitario,Dentista,,Gipuzkoa,Por 10.000 habitantes,10.0
2020,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,11.1
2022,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,11.4
2013,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,9.3
2014,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,9.5
2016,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,10.2
2011,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,6.9
2015,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,9.9
2021,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,11.3
2012,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,9.0
2018,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,10.7
2019,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,10.7
2017,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,10.4
2010,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,6.8
2023,Densidad y distribución del personal sanitario,Dentista,Mujer,,Por 10.000 habitantes,11.6
2016,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.3
2023,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.2
2011,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,5.6
2015,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.2
2019,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.5
2017,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,7.9
2010,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,5.4
2014,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.0
2012,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,7.2
2021,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.2
2013,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,7.7
2018,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.0
2022,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.1
2020,Densidad y distribución del personal sanitario,Dentista,Mujer,Araba/Álava,Por 10.000 habitantes,8.5
2010,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,7.2
2020,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.4
2023,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.9
2018,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.2
2022,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.9
2021,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.7
2013,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,9.4
2011,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,7.3
2014,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,9.7
2015,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,10.1
2016,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,10.4
2012,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,9.2
2019,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,11.3
2017,Densidad y distribución del personal sanitario,Dentista,Mujer,Bizkaia,Por 10.000 habitantes,10.8
2023,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,12.6
2017,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,10.8
2013,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,9.6
2014,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,9.8
2010,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,6.7
2022,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,12.2
2019,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,10.6
2011,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,6.7
2015,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,10.3
2016,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,10.7
2021,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,12.1
2018,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,11.1
2020,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,11.8
2012,Densidad y distribución del personal sanitario,Dentista,Mujer,Gipuzkoa,Por 10.000 habitantes,9.5
2011,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,7.9
2018,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.4
2010,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,7.8
2023,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.4
2015,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.4
2014,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.2
2019,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.6
2016,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.4
2021,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.5
2012,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.1
2022,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.5
2020,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.2
2013,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.2
2017,Densidad y distribución del personal sanitario,Dentista,Hombre,,Por 10.000 habitantes,6.4
2014,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.5
2021,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,5.0
2018,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.7
2022,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.7
2016,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.7
2012,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.2
2015,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.7
2013,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.3
2017,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.6
2019,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,5.0
2011,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,6.0
2020,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.9
2010,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,5.9
2023,Densidad y distribución del personal sanitario,Dentista,Hombre,Araba/Álava,Por 10.000 habitantes,4.6
2011,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,8.4
2013,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.6
2021,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.5
2018,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.8
2022,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.5
2020,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.5
2015,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.8
2023,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.4
2014,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.7
2010,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,8.3
2012,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.4
2016,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.8
2019,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.8
2017,Densidad y distribución del personal sanitario,Dentista,Hombre,Bizkaia,Por 10.000 habitantes,6.9
2020,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.4
2014,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.1
2021,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,7.2
2017,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.5
2019,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,7.0
2015,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.6
2013,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.5
2023,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,7.3
2011,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,8.0
2022,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,7.3
2018,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.5
2012,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.5
2016,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,6.6
2010,Densidad y distribución del personal sanitario,Dentista,Hombre,Gipuzkoa,Por 10.000 habitantes,7.9
2019,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,16.0
2022,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,16.8
2015,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,14.9
2020,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,16.2
2021,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,16.4
2017,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,15.6
2013,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,14.4
2010,Densidad y distribución del personal sanitario,Farmaceútico/a,,,Por 10.000 habitantes,13.6
