Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2014,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,61.4
2012,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,57.4
2013,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,59.6
2015,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,62.1
2017,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,63.9
2010,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,52.8
2023,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,74.7
2021,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,70.5
2016,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,63.6
2020,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,76.8
2023,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,85.7
2015,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,64.2
2016,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,66.3
2018,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,70.8
2014,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,62.3
2021,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,79.4
2013,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,60.8
2010,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,54.5
2017,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,68.4
2011,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,56.5
2022,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,82.7
2019,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,74.1
2012,Densidad y distribución del personal sanitario,Médico/a,Mujer,Bizkaia,Por 10.000 habitantes,59.1
2016,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,58.4
2022,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,73.3
2018,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,62.3
2023,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,75.3
2019,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,64.5
2010,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,49.1
2012,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,52.6
2011,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,51.0
2014,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,55.9
2017,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,60.3
2015,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,57.2
2020,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,67.3
2013,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,54.2
2021,Densidad y distribución del personal sanitario,Médico/a,Mujer,Gipuzkoa,Por 10.000 habitantes,70.4
2012,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,57.2
2016,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,58.8
2022,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,62.6
2023,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,63.1
2020,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,61.2
2015,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,58.3
2010,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,56.5
2013,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,57.6
2018,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,59.9
2019,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,60.7
2021,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,61.8
2014,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,58.4
2017,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,59.1
2011,Densidad y distribución del personal sanitario,Médico/a,Hombre,,Por 10.000 habitantes,57.1
2021,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,54.7
2018,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,54.7
2011,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,52.7
2012,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,52.7
2013,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,53.2
2015,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,53.9
2022,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,55.1
2014,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,54.3
2019,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,55.0
2017,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,54.8
2023,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,55.1
2010,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,51.1
2016,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,53.9
2020,Densidad y distribución del personal sanitario,Médico/a,Hombre,Araba/Álava,Por 10.000 habitantes,54.8
2023,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,70.5
2013,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,61.5
2010,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,60.2
2012,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,60.8
2022,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,69.3
2011,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,60.7
2020,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,67.3
2016,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,63.3
2018,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,65.4
2017,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,63.9
2015,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,62.6
2014,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,62.5
2019,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,66.4
2021,Densidad y distribución del personal sanitario,Médico/a,Hombre,Bizkaia,Por 10.000 habitantes,68.3
2019,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,54.4
2016,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.7
2018,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.7
2020,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,54.6
2011,Densidad y distribución del personal sanitario,Médico/a,Hombre,Gipuzkoa,Por 10.000 habitantes,53.1
