Year,Province,County,Municipality,Units,GeoCode,Value
2015,,,Altzaga,PT,Altzaga,5.0
2014,,,Altzaga,PT,Altzaga,4.3
2018,,,Altzaga,PT,Altzaga,4.2
2015,,,Altzo,PT,Altzo,1.1
2018,,,Altzo,PT,Altzo,1.1
2014,,,Altzo,PT,Altzo,1.2
2016,,,Altzo,PT,Altzo,1.1
2020,,,Altzo,PT,Altzo,0.9
2021,,,Altzo,PT,Altzo,1.1
2017,,,Altzo,PT,Altzo,1.7
2019,,,Altzo,PT,Altzo,1.1
2014,,,Amezketa,PT,Amezketa,1.7
2017,,,Amezketa,PT,Amezketa,1.9
2020,,,Amezketa,PT,Amezketa,1.4
2021,,,Amezketa,PT,Amezketa,1.2
2019,,,Amezketa,PT,Amezketa,1.4
2016,,,Amezketa,PT,Amezketa,1.7
2015,,,Amezketa,PT,Amezketa,1.5
2018,,,Amezketa,PT,Amezketa,1.4
2019,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2018,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.2
2017,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2016,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2020,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2021,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2015,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.4
2014,,,Amorebieta-Etxano,PT,Amorebieta-Etxano,0.3
2019,,,Amoroto,PT,Amoroto,3.6
2015,,,Amoroto,PT,Amoroto,5.2
2018,,,Amoroto,PT,Amoroto,3.6
2017,,,Amoroto,PT,Amoroto,4.3
2014,,,Amoroto,PT,Amoroto,4.2
2020,,,Amoroto,PT,Amoroto,3.6
2021,,,Amoroto,PT,Amoroto,5.1
2016,,,Amoroto,PT,Amoroto,5.0
2020,,,Amurrio,PT,Amurrio,0.9
2019,,,Amurrio,PT,Amurrio,0.9
2017,,,Amurrio,PT,Amurrio,1.2
2014,,,Amurrio,PT,Amurrio,1.4
2018,,,Amurrio,PT,Amurrio,1.1
2021,,,Amurrio,PT,Amurrio,1.3
2016,,,Amurrio,PT,Amurrio,1.1
2015,,,Amurrio,PT,Amurrio,1.2
2014,,,Andoain,PT,Andoain,0.2
2020,,,Andoain,PT,Andoain,0.2
2018,,,Andoain,PT,Andoain,0.2
2017,,,Andoain,PT,Andoain,0.2
2019,,,Andoain,PT,Andoain,0.2
2016,,,Andoain,PT,Andoain,0.2
2021,,,Andoain,PT,Andoain,0.2
2015,,,Andoain,PT,Andoain,0.3
2018,,,Anoeta,PT,Anoeta,0.4
2014,,,Anoeta,PT,Anoeta,0.3
2019,,,Anoeta,PT,Anoeta,0.4
2017,,,Anoeta,PT,Anoeta,0.5
2016,,,Anoeta,PT,Anoeta,0.4
2021,,,Anoeta,PT,Anoeta,0.4
2020,,,Anoeta,PT,Anoeta,0.4
2015,,,Anoeta,PT,Anoeta,0.4
2017,,,Antzuola,PT,Antzuola,1.4
2016,,,Antzuola,PT,Antzuola,1.1
2018,,,Antzuola,PT,Antzuola,1.1
2020,,,Antzuola,PT,Antzuola,1.2
2015,,,Antzuola,PT,Antzuola,1.2
2019,,,Antzuola,PT,Antzuola,1.4
2014,,,Antzuola,PT,Antzuola,1.0
2021,,,Antzuola,PT,Antzuola,1.5
2016,,,Añana,PT,Añana,14.2
2019,,,Añana,PT,Añana,13.2
2017,,,Añana,PT,Añana,12.9
2014,,,Añana,PT,Añana,12.3
2021,,,Añana,PT,Añana,15.4
2020,,,Añana,PT,Añana,12.2
2015,,,Añana,PT,Añana,15.2
2018,,,Añana,PT,Añana,10.7
2016,,,Arakaldo,PT,Arakaldo,4.2
2018,,,Arakaldo,PT,Arakaldo,3.4
2014,,,Arakaldo,PT,Arakaldo,2.2
2021,,,Arakaldo,PT,Arakaldo,5.9
2015,,,Arakaldo,PT,Arakaldo,4.1
2020,,,Arakaldo,PT,Arakaldo,4.7
2019,,,Arakaldo,PT,Arakaldo,3.6
2017,,,Arakaldo,PT,Arakaldo,4.0
2019,,,Arama,PT,Arama,0.3
2017,,,Arama,PT,Arama,0.4
2015,,,Arama,PT,Arama,1.3
2020,,,Arama,PT,Arama,0.4
2021,,,Arama,PT,Arama,0.3
2014,,,Arama,PT,Arama,1.4
2018,,,Arama,PT,Arama,0.3
2016,,,Arama,PT,Arama,0.4
2018,,,Aramaio,PT,Aramaio,14.9
2020,,,Aramaio,PT,Aramaio,11.3
2014,,,Aramaio,PT,Aramaio,15.7
2021,,,Aramaio,PT,Aramaio,15.3
2017,,,Aramaio,PT,Aramaio,14.8
2016,,,Aramaio,PT,Aramaio,12.9
2019,,,Aramaio,PT,Aramaio,12.4
2015,,,Aramaio,PT,Aramaio,14.4
2019,,,Arantzazu,PT,Arantzazu,5.3
2014,,,Arantzazu,PT,Arantzazu,3.3
2016,,,Arantzazu,PT,Arantzazu,3.8
2015,,,Arantzazu,PT,Arantzazu,3.1
2020,,,Arantzazu,PT,Arantzazu,6.0
2021,,,Arantzazu,PT,Arantzazu,7.6
2018,,,Arantzazu,PT,Arantzazu,4.4
2017,,,Arantzazu,PT,Arantzazu,3.8
2016,,,Areatza,PT,Areatza,2.2
2018,,,Areatza,PT,Areatza,2.0
2020,,,Areatza,PT,Areatza,2.7
2019,,,Areatza,PT,Areatza,2.2
