Year,Series,SectorEmisor,Units,Value
2011,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,9.3
2022,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.34
2011,EU_GHG_TV1990,,PT,-2.46
2019,EU_GHG_TV1990,,PT,-10.39
2012,EU_GHG_TV1990,,PT,-1.49
2017,EU_GHG_TV1990,,PT,-4.9
2018,EU_GHG_TV1990,,PT,-8.07
2016,EU_GHG_TV1990,,PT,-9.69
2010,EU_GHG_TV1990,,PT,4.77
2021,EU_GHG_TV1990,,PT,-15.17
2020,EU_GHG_TV1990,,PT,-20.71
2013,EU_GHG_TV1990,,PT,-9.36
2023,EU_GHG_TV1990,,PT,-21.98
2014,EU_GHG_TV1990,,PT,-9.21
2015,EU_GHG_TV1990,,PT,-6.21
2022,EU_GHG_TV1990,,PT,-12.04
2020,EU_GHG_TV2005,,PT,-35.52
2014,EU_GHG_TV2005,,PT,-26.17
2022,EU_GHG_TV2005,,PT,-28.47
2019,EU_GHG_TV2005,,PT,-27.13
2012,EU_GHG_TV2005,,PT,-19.89
2013,EU_GHG_TV2005,,PT,-26.29
2016,EU_GHG_TV2005,,PT,-26.56
2018,EU_GHG_TV2005,,PT,-25.24
2015,EU_GHG_TV2005,,PT,-23.73
2023,EU_GHG_TV2005,,PT,-36.55
2017,EU_GHG_TV2005,,PT,-22.67
2021,EU_GHG_TV2005,,PT,-31.02
2010,EU_GHG_TV2005,,PT,-14.8
2011,EU_GHG_TV2005,,PT,-20.68
