Year,Series,Territorio histórico,Units,Value
2017,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,281.9
2016,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,264.4
2015,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,255.1
2013,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,245.0
2012,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,262.8
2010,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,286.1
2014,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,245.4
2022,Mercancías transportadas por vía aérea,,Kilotoneladas,74.3
2019,Mercancías transportadas por vía aérea,,Kilotoneladas,65.5
2014,Mercancías transportadas por vía aérea,,Kilotoneladas,45.0
2015,Mercancías transportadas por vía aérea,,Kilotoneladas,49.2
2016,Mercancías transportadas por vía aérea,,Kilotoneladas,55.1
2017,Mercancías transportadas por vía aérea,,Kilotoneladas,62.4
2010,Mercancías transportadas por vía aérea,,Kilotoneladas,30.5
2020,Mercancías transportadas por vía aérea,,Kilotoneladas,64.7
2012,Mercancías transportadas por vía aérea,,Kilotoneladas,36.9
2024,Mercancías transportadas por vía aérea,,Kilotoneladas,71.4
2021,Mercancías transportadas por vía aérea,,Kilotoneladas,73.0
2011,Mercancías transportadas por vía aérea,,Kilotoneladas,37.4
2013,Mercancías transportadas por vía aérea,,Kilotoneladas,40.0
2018,Mercancías transportadas por vía aérea,,Kilotoneladas,63.4
2025,Mercancías transportadas por vía aérea,,Kilotoneladas,70.2
2023,Mercancías transportadas por vía aérea,,Kilotoneladas,72.4
2015,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,46.4
2013,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,37.5
2012,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,34.6
2016,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,52.1
2025,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,69.0
2011,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,34.7
2010,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,28.0
2021,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,72.5
2022,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,73.6
2024,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,70.5
2019,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,64.5
2017,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,60.5
2018,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,62.1
2014,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,42.2
2020,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,64.3
2023,Mercancías transportadas por vía aérea,Araba/Álava,Kilotoneladas,71.7
2018,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,1.2
2017,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.0
2025,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,1.1
2020,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,0.4
2023,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,0.8
2022,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,0.7
2024,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,0.9
2013,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.5
2011,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.6
2010,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.5
2012,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.3
2015,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.9
2021,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,0.5
2014,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,2.9
2019,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,1.0
2016,Mercancías transportadas por vía aérea,Bizkaia,Kilotoneladas,3.0
2022,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2016,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2014,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2015,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2019,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2013,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2012,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2021,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2023,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2011,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2010,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2024,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2018,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2017,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2025,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
2020,Mercancías transportadas por vía aérea,Gipuzkoa,Kilotoneladas,0.0
