Year,Sexo,Edad,Residencia,Personas sin y con discapacidad,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,18.7
2019,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,12.5
2010,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,9.8
2020,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,13.0
2015,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,17.8
2016,,16 años y más,,,,,Aduna,%,Aduna,8.5
2018,,16 años y más,,,,,Aduna,%,Aduna,4.0
2015,,16 años y más,,,,,Aduna,%,Aduna,11.4
2020,,16 años y más,,,,,Aduna,%,Aduna,3.6
2010,,16 años y más,,,,,Aduna,%,Aduna,5.4
2021,,16 años y más,,,,,Aduna,%,Aduna,1.2
2019,,16 años y más,,,,,Aduna,%,Aduna,2.8
2020,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.7
2016,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,16.6
2018,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.5
2015,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,18.6
2010,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,10.4
2019,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,13.1
2021,,16 años y más,,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,14.9
2018,,16 años y más,,,,,Aia,%,Aia,8.3
2010,,16 años y más,,,,,Aia,%,Aia,8.0
2020,,16 años y más,,,,,Aia,%,Aia,5.8
2015,,16 años y más,,,,,Aia,%,Aia,11.2
2021,,16 años y más,,,,,Aia,%,Aia,6.5
2016,,16 años y más,,,,,Aia,%,Aia,10.2
2019,,16 años y más,,,,,Aia,%,Aia,6.5
2015,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,17.0
2020,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,9.7
2010,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,11.0
2021,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,11.6
2019,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,11.7
2018,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,12.2
2016,,16 años y más,,,,,Aizarnazabal,%,Aizarnazabal,15.1
2016,,16 años y más,,,,,Ajangiz,%,Ajangiz,5.4
2019,,16 años y más,,,,,Ajangiz,%,Ajangiz,4.2
2018,,16 años y más,,,,,Ajangiz,%,Ajangiz,6.0
2021,,16 años y más,,,,,Ajangiz,%,Ajangiz,6.3
2020,,16 años y más,,,,,Ajangiz,%,Ajangiz,7.3
2010,,16 años y más,,,,,Ajangiz,%,Ajangiz,7.8
2015,,16 años y más,,,,,Ajangiz,%,Ajangiz,8.1
2019,,16 años y más,,,,,Albiztur,%,Albiztur,2.1
2015,,16 años y más,,,,,Albiztur,%,Albiztur,3.3
2018,,16 años y más,,,,,Albiztur,%,Albiztur,3.5
2020,,16 años y más,,,,,Albiztur,%,Albiztur,3.4
2010,,16 años y más,,,,,Albiztur,%,Albiztur,5.3
2021,,16 años y más,,,,,Albiztur,%,Albiztur,5.0
2016,,16 años y más,,,,,Albiztur,%,Albiztur,4.8
2019,,16 años y más,,,,,Alegia,%,Alegia,9.2
2018,,16 años y más,,,,,Alegia,%,Alegia,11.3
2020,,16 años y más,,,,,Alegia,%,Alegia,9.5
2015,,16 años y más,,,,,Alegia,%,Alegia,14.5
2021,,16 años y más,,,,,Alegia,%,Alegia,10.9
2010,,16 años y más,,,,,Alegia,%,Alegia,8.1
2016,,16 años y más,,,,,Alegia,%,Alegia,16.4
2019,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,10.7
2016,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.8
2010,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,7.5
2015,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,12.6
2020,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.4
2018,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,9.6
2021,,16 años y más,,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,11.8
2019,,16 años y más,,,,,Alkiza,%,Alkiza,8.7
2021,,16 años y más,,,,,Alkiza,%,Alkiza,7.0
2020,,16 años y más,,,,,Alkiza,%,Alkiza,5.4
2018,,16 años y más,,,,,Alkiza,%,Alkiza,5.8
2016,,16 años y más,,,,,Alkiza,%,Alkiza,9.7
2010,,16 años y más,,,,,Alkiza,%,Alkiza,4.7
2015,,16 años y más,,,,,Alkiza,%,Alkiza,10.2
2019,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,15.4
2021,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,14.0
2020,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,12.4
2010,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,9.5
2015,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,19.3
2016,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,20.0
2018,,16 años y más,,,,,Alonsotegi,%,Alonsotegi,15.8
2018,,16 años y más,,,,,Altzaga,%,Altzaga,8.0
2010,,16 años y más,,,,,Altzaga,%,Altzaga,2.4
2021,,16 años y más,,,,,Altzaga,%,Altzaga,4.4
2019,,16 años y más,,,,,Altzaga,%,Altzaga,6.3
2020,,16 años y más,,,,,Altzaga,%,Altzaga,9.1
2016,,16 años y más,,,,,Altzaga,%,Altzaga,6.8
2015,,16 años y más,,,,,Altzaga,%,Altzaga,13.6
2015,,16 años y más,,,,,Altzo,%,Altzo,10.8
2018,,16 años y más,,,,,Altzo,%,Altzo,6.7
2021,,16 años y más,,,,,Altzo,%,Altzo,5.9
2010,,16 años y más,,,,,Altzo,%,Altzo,6.3
2020,,16 años y más,,,,,Altzo,%,Altzo,5.9
2016,,16 años y más,,,,,Altzo,%,Altzo,12.1
2019,,16 años y más,,,,,Altzo,%,Altzo,4.1
2015,,16 años y más,,,,,Amezketa,%,Amezketa,11.0
2020,,16 años y más,,,,,Amezketa,%,Amezketa,7.8
2021,,16 años y más,,,,,Amezketa,%,Amezketa,9.2
2019,,16 años y más,,,,,Amezketa,%,Amezketa,8.4
2016,,16 años y más,,,,,Amezketa,%,Amezketa,10.8
2010,,16 años y más,,,,,Amezketa,%,Amezketa,7.3
2018,,16 años y más,,,,,Amezketa,%,Amezketa,10.8
2018,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2010,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.1
2016,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,12.6
2019,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.9
2020,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,8.1
2015,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,14.4
2021,,16 años y más,,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,9.2
2018,,16 años y más,,,,,Amoroto,%,Amoroto,6.7
2019,,16 años y más,,,,,Amoroto,%,Amoroto,8.4
2020,,16 años y más,,,,,Amoroto,%,Amoroto,10.4
2015,,16 años y más,,,,,Amoroto,%,Amoroto,11.0
2021,,16 años y más,,,,,Amoroto,%,Amoroto,7.0
2016,,16 años y más,,,,,Amoroto,%,Amoroto,8.2
2010,,16 años y más,,,,,Amoroto,%,Amoroto,8.7
2010,,16 años y más,,,,,Amurrio,%,Amurrio,9.3
2016,,16 años y más,,,,,Amurrio,%,Amurrio,15.8
2021,,16 años y más,,,,,Amurrio,%,Amurrio,11.4
2020,,16 años y más,,,,,Amurrio,%,Amurrio,11.2
2015,,16 años y más,,,,,Amurrio,%,Amurrio,16.1
2018,,16 años y más,,,,,Amurrio,%,Amurrio,12.0
2019,,16 años y más,,,,,Amurrio,%,Amurrio,10.7
2021,,16 años y más,,,,,Andoain,%,Andoain,9.8
2016,,16 años y más,,,,,Andoain,%,Andoain,13.7
2010,,16 años y más,,,,,Andoain,%,Andoain,8.5
2019,,16 años y más,,,,,Andoain,%,Andoain,9.1
2018,,16 años y más,,,,,Andoain,%,Andoain,10.4
2015,,16 años y más,,,,,Andoain,%,Andoain,13.8
2020,,16 años y más,,,,,Andoain,%,Andoain,8.4
2016,,16 años y más,,,,,Anoeta,%,Anoeta,13.6
2010,,16 años y más,,,,,Anoeta,%,Anoeta,8.1
2015,,16 años y más,,,,,Anoeta,%,Anoeta,14.0
2020,,16 años y más,,,,,Anoeta,%,Anoeta,8.0
2019,,16 años y más,,,,,Anoeta,%,Anoeta,8.4
2021,,16 años y más,,,,,Anoeta,%,Anoeta,8.7
2018,,16 años y más,,,,,Anoeta,%,Anoeta,9.5
2019,,16 años y más,,,,,Antzuola,%,Antzuola,5.0
2020,,16 años y más,,,,,Antzuola,%,Antzuola,6.1
2015,,16 años y más,,,,,Antzuola,%,Antzuola,10.2
2016,,16 años y más,,,,,Antzuola,%,Antzuola,8.5
2018,,16 años y más,,,,,Antzuola,%,Antzuola,4.9
2010,,16 años y más,,,,,Antzuola,%,Antzuola,6.9
2021,,16 años y más,,,,,Antzuola,%,Antzuola,7.1
2018,,16 años y más,,,,,Añana,%,Añana,8.2
2020,,16 años y más,,,,,Añana,%,Añana,9.3
2016,,16 años y más,,,,,Añana,%,Añana,15.6
2019,,16 años y más,,,,,Añana,%,Añana,7.0
2010,,16 años y más,,,,,Añana,%,Añana,6.3
2021,,16 años y más,,,,,Añana,%,Añana,8.2
2015,,16 años y más,,,,,Añana,%,Añana,17.9
2019,,16 años y más,,,,,Arakaldo,%,Arakaldo,10.8
2015,,16 años y más,,,,,Arakaldo,%,Arakaldo,16.3
2018,,16 años y más,,,,,Arakaldo,%,Arakaldo,16.3
2021,,16 años y más,,,,,Arakaldo,%,Arakaldo,15.8
2010,,16 años y más,,,,,Arakaldo,%,Arakaldo,7.1
2016,,16 años y más,,,,,Arakaldo,%,Arakaldo,11.2
2020,,16 años y más,,,,,Arakaldo,%,Arakaldo,14.1
2018,,16 años y más,,,,,Arama,%,Arama,6.5
2010,,16 años y más,,,,,Arama,%,Arama,6.1
2015,,16 años y más,,,,,Arama,%,Arama,11.4
2020,,16 años y más,,,,,Arama,%,Arama,7.6
2016,,16 años y más,,,,,Arama,%,Arama,5.9
2021,,16 años y más,,,,,Arama,%,Arama,5.3
2019,,16 años y más,,,,,Arama,%,Arama,6.1
2018,,16 años y más,,,,,Aramaio,%,Aramaio,4.7
2010,,16 años y más,,,,,Aramaio,%,Aramaio,5.5
2019,,16 años y más,,,,,Aramaio,%,Aramaio,4.3
2015,,16 años y más,,,,,Aramaio,%,Aramaio,10.8
2016,,16 años y más,,,,,Aramaio,%,Aramaio,8.6
2020,,16 años y más,,,,,Aramaio,%,Aramaio,4.3
2021,,16 años y más,,,,,Aramaio,%,Aramaio,5.7
2018,,16 años y más,,,,,Arantzazu,%,Arantzazu,9.0
2010,,16 años y más,,,,,Arantzazu,%,Arantzazu,8.1
2015,,16 años y más,,,,,Arantzazu,%,Arantzazu,13.2
2020,,16 años y más,,,,,Arantzazu,%,Arantzazu,7.5
2021,,16 años y más,,,,,Arantzazu,%,Arantzazu,10.0
2016,,16 años y más,,,,,Arantzazu,%,Arantzazu,9.9
2019,,16 años y más,,,,,Arantzazu,%,Arantzazu,7.2
2016,,16 años y más,,,,,Areatza,%,Areatza,16.3
2010,,16 años y más,,,,,Areatza,%,Areatza,7.5
2015,,16 años y más,,,,,Areatza,%,Areatza,15.2
2018,,16 años y más,,,,,Areatza,%,Areatza,12.6
2019,,16 años y más,,,,,Areatza,%,Areatza,10.4
2020,,16 años y más,,,,,Areatza,%,Areatza,8.8
2021,,16 años y más,,,,,Areatza,%,Areatza,11.1
2015,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,11.8
2010,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,7.7
2020,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,6.8
2016,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,9.5
2021,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,6.6
2018,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,7.5
2019,,16 años y más,,,,,Aretxabaleta,%,Aretxabaleta,7.8
2015,,16 años y más,,,,,Armiñón,%,Armiñón,14.9
2018,,16 años y más,,,,,Armiñón,%,Armiñón,7.6
2021,,16 años y más,,,,,Armiñón,%,Armiñón,9.9
2020,,16 años y más,,,,,Armiñón,%,Armiñón,6.7
2019,,16 años y más,,,,,Armiñón,%,Armiñón,7.9
2010,,16 años y más,,,,,Armiñón,%,Armiñón,8.1
2016,,16 años y más,,,,,Armiñón,%,Armiñón,12.1
2016,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,8.9
2019,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.1
2010,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,5.3
2015,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,10.4
2021,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,6.7
2020,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,4.3
2018,,16 años y más,,,,,Arraia-Maeztu,%,Arraia-Maeztu,7.2
2016,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,12.7
2021,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,8.4
2020,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.4
2019,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.3
2010,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,7.6
2018,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,9.2
2015,,16 años y más,,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,14.4
2021,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.5
2020,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,9.1
2015,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,15.6
2016,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,14.5
2018,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.2
2010,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,8.9
2019,,16 años y más,,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,10.2
2019,,16 años y más,,,,,Arratzu,%,Arratzu,6.3
2021,,16 años y más,,,,,Arratzu,%,Arratzu,6.6
2015,,16 años y más,,,,,Arratzu,%,Arratzu,7.8
2010,,16 años y más,,,,,Arratzu,%,Arratzu,5.2
2018,,16 años y más,,,,,Arratzu,%,Arratzu,8.0
2016,,16 años y más,,,,,Arratzu,%,Arratzu,12.1
2020,,16 años y más,,,,,Arratzu,%,Arratzu,5.3
2015,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,9.3
2018,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.9
2021,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.8
2019,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.0
2016,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.3
2020,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.7
2010,,16 años y más,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.7
2020,,16 años y más,,,,,Arrieta,%,Arrieta,8.1
2015,,16 años y más,,,,,Arrieta,%,Arrieta,10.0
2019,,16 años y más,,,,,Arrieta,%,Arrieta,6.9
2018,,16 años y más,,,,,Arrieta,%,Arrieta,7.2
2010,,16 años y más,,,,,Arrieta,%,Arrieta,7.7
2021,,16 años y más,,,,,Arrieta,%,Arrieta,6.8
2016,,16 años y más,,,,,Arrieta,%,Arrieta,10.2
2020,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,10.5
2021,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,11.3
2016,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,16.8
2019,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,10.8
2015,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,16.5
2018,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,12.8
2010,,16 años y más,,,,,Arrigorriaga,%,Arrigorriaga,9.4
2020,,16 años y más,,,,,Artea,%,Artea,7.8
2016,,16 años y más,,,,,Artea,%,Artea,11.3
2018,,16 años y más,,,,,Artea,%,Artea,9.4
2019,,16 años y más,,,,,Artea,%,Artea,7.8
2015,,16 años y más,,,,,Artea,%,Artea,13.3
2010,,16 años y más,,,,,Artea,%,Artea,7.4
2021,,16 años y más,,,,,Artea,%,Artea,11.0
2015,,16 años y más,,,,,Artzentales,%,Artzentales,14.0
2018,,16 años y más,,,,,Artzentales,%,Artzentales,10.6
2021,,16 años y más,,,,,Artzentales,%,Artzentales,14.4
2016,,16 años y más,,,,,Artzentales,%,Artzentales,17.7
2010,,16 años y más,,,,,Artzentales,%,Artzentales,7.3
2020,,16 años y más,,,,,Artzentales,%,Artzentales,10.4
2019,,16 años y más,,,,,Artzentales,%,Artzentales,14.4
2018,,16 años y más,,,,,Artziniega,%,Artziniega,11.8
2015,,16 años y más,,,,,Artziniega,%,Artziniega,15.3
2020,,16 años y más,,,,,Artziniega,%,Artziniega,11.3
2021,,16 años y más,,,,,Artziniega,%,Artziniega,12.2
2019,,16 años y más,,,,,Artziniega,%,Artziniega,11.2
2016,,16 años y más,,,,,Artziniega,%,Artziniega,16.4
2010,,16 años y más,,,,,Artziniega,%,Artziniega,9.1
2019,,16 años y más,,,,,Asparrena,%,Asparrena,13.8
2016,,16 años y más,,,,,Asparrena,%,Asparrena,16.7
2015,,16 años y más,,,,,Asparrena,%,Asparrena,19.1
2021,,16 años y más,,,,,Asparrena,%,Asparrena,13.0
2020,,16 años y más,,,,,Asparrena,%,Asparrena,14.1
2018,,16 años y más,,,,,Asparrena,%,Asparrena,13.6
2010,,16 años y más,,,,,Asparrena,%,Asparrena,8.6
2010,,16 años y más,,,,,Asteasu,%,Asteasu,5.3
2020,,16 años y más,,,,,Asteasu,%,Asteasu,6.0
2016,,16 años y más,,,,,Asteasu,%,Asteasu,9.2
2021,,16 años y más,,,,,Asteasu,%,Asteasu,6.9
2019,,16 años y más,,,,,Asteasu,%,Asteasu,5.6
2018,,16 años y más,,,,,Asteasu,%,Asteasu,5.3
2015,,16 años y más,,,,,Asteasu,%,Asteasu,9.8
2021,,16 años y más,,,,,Astigarraga,%,Astigarraga,6.8
2020,,16 años y más,,,,,Astigarraga,%,Astigarraga,6.6
2015,,16 años y más,,,,,Astigarraga,%,Astigarraga,11.0
2016,,16 años y más,,,,,Astigarraga,%,Astigarraga,10.1
2018,,16 años y más,,,,,Astigarraga,%,Astigarraga,7.9
2019,,16 años y más,,,,,Astigarraga,%,Astigarraga,6.8
2010,,16 años y más,,,,,Astigarraga,%,Astigarraga,6.6
2016,,16 años y más,,,,,Ataun,%,Ataun,9.4
2021,,16 años y más,,,,,Ataun,%,Ataun,6.9
2018,,16 años y más,,,,,Ataun,%,Ataun,6.6
2019,,16 años y más,,,,,Ataun,%,Ataun,6.8
2020,,16 años y más,,,,,Ataun,%,Ataun,7.0
2010,,16 años y más,,,,,Ataun,%,Ataun,5.2
2015,,16 años y más,,,,,Ataun,%,Ataun,8.8
2016,,16 años y más,,,,,Atxondo,%,Atxondo,11.1
2019,,16 años y más,,,,,Atxondo,%,Atxondo,7.1
2020,,16 años y más,,,,,Atxondo,%,Atxondo,8.7
2010,,16 años y más,,,,,Atxondo,%,Atxondo,9.0
2018,,16 años y más,,,,,Atxondo,%,Atxondo,8.6
2021,,16 años y más,,,,,Atxondo,%,Atxondo,9.2
2015,,16 años y más,,,,,Atxondo,%,Atxondo,14.5
2019,,16 años y más,,,,,Aulesti,%,Aulesti,6.1
2020,,16 años y más,,,,,Aulesti,%,Aulesti,6.3
2018,,16 años y más,,,,,Aulesti,%,Aulesti,6.7
2015,,16 años y más,,,,,Aulesti,%,Aulesti,10.7
2016,,16 años y más,,,,,Aulesti,%,Aulesti,7.1
2021,,16 años y más,,,,,Aulesti,%,Aulesti,7.2
2010,,16 años y más,,,,,Aulesti,%,Aulesti,8.7
2021,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,9.6
2019,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,8.3
2010,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,7.8
2015,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,11.8
2018,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,8.5
2020,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,8.3
2016,,16 años y más,,,,,Ayala/Aiara,%,Ayala/Aiara,11.3
2010,,16 años y más,,,,,Azkoitia,%,Azkoitia,8.7
2016,,16 años y más,,,,,Azkoitia,%,Azkoitia,13.8
2018,,16 años y más,,,,,Azkoitia,%,Azkoitia,10.4
2019,,16 años y más,,,,,Azkoitia,%,Azkoitia,8.7
2021,,16 años y más,,,,,Azkoitia,%,Azkoitia,8.9
2015,,16 años y más,,,,,Azkoitia,%,Azkoitia,14.9
2020,,16 años y más,,,,,Azkoitia,%,Azkoitia,8.6
2021,,16 años y más,,,,,Azpeitia,%,Azpeitia,8.1
2016,,16 años y más,,,,,Azpeitia,%,Azpeitia,13.2
2015,,16 años y más,,,,,Azpeitia,%,Azpeitia,15.4
2020,,16 años y más,,,,,Azpeitia,%,Azpeitia,7.5
2019,,16 años y más,,,,,Azpeitia,%,Azpeitia,7.6
2010,,16 años y más,,,,,Azpeitia,%,Azpeitia,8.3
2018,,16 años y más,,,,,Azpeitia,%,Azpeitia,8.0
2019,,16 años y más,,,,,Bakio,%,Bakio,9.9
2018,,16 años y más,,,,,Bakio,%,Bakio,11.8
2021,,16 años y más,,,,,Bakio,%,Bakio,10.4
2016,,16 años y más,,,,,Bakio,%,Bakio,15.1
2015,,16 años y más,,,,,Bakio,%,Bakio,14.8
2010,,16 años y más,,,,,Bakio,%,Bakio,8.0
2020,,16 años y más,,,,,Bakio,%,Bakio,10.1
2020,,16 años y más,,,,,Baliarrain,%,Baliarrain,5.3
2018,,16 años y más,,,,,Baliarrain,%,Baliarrain,5.4
2016,,16 años y más,,,,,Baliarrain,%,Baliarrain,8.2
2010,,16 años y más,,,,,Baliarrain,%,Baliarrain,4.8
2015,,16 años y más,,,,,Baliarrain,%,Baliarrain,9.0
2019,,16 años y más,,,,,Baliarrain,%,Baliarrain,2.8
2021,,16 años y más,,,,,Baliarrain,%,Baliarrain,6.8
2015,,16 años y más,,,,,Balmaseda,%,Balmaseda,21.5
2020,,16 años y más,,,,,Balmaseda,%,Balmaseda,14.6
2019,,16 años y más,,,,,Balmaseda,%,Balmaseda,16.3
2016,,16 años y más,,,,,Balmaseda,%,Balmaseda,21.3
2018,,16 años y más,,,,,Balmaseda,%,Balmaseda,17.0
2010,,16 años y más,,,,,Balmaseda,%,Balmaseda,11.0
2021,,16 años y más,,,,,Balmaseda,%,Balmaseda,15.7
2018,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,7.4
2021,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,10.4
2010,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,5.4
2020,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,6.1
2019,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,6.0
2015,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,8.8
2016,,16 años y más,,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,9.2
2016,,16 años y más,,,,,Barakaldo,%,Barakaldo,18.6
2019,,16 años y más,,,,,Barakaldo,%,Barakaldo,12.6
2015,,16 años y más,,,,,Barakaldo,%,Barakaldo,18.7
2018,,16 años y más,,,,,Barakaldo,%,Barakaldo,14.3
2021,,16 años y más,,,,,Barakaldo,%,Barakaldo,12.9
2010,,16 años y más,,,,,Barakaldo,%,Barakaldo,10.6
2020,,16 años y más,,,,,Barakaldo,%,Barakaldo,11.6
2021,,16 años y más,,,,,Barrika,%,Barrika,12.8
2016,,16 años y más,,,,,Barrika,%,Barrika,14.8
2019,,16 años y más,,,,,Barrika,%,Barrika,12.1
2010,,16 años y más,,,,,Barrika,%,Barrika,11.7
2020,,16 años y más,,,,,Barrika,%,Barrika,9.3
2015,,16 años y más,,,,,Barrika,%,Barrika,16.1
2018,,16 años y más,,,,,Barrika,%,Barrika,12.5
2015,,16 años y más,,,,,Barrundia,%,Barrundia,9.5
2019,,16 años y más,,,,,Barrundia,%,Barrundia,4.0
2018,,16 años y más,,,,,Barrundia,%,Barrundia,4.6
