Year,Series,Province,County,Municipality,Units,GeoCode,Value
2019,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2021,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2016,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2014,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2014,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2023,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2019,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2023,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.8
2020,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2010,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.8
2013,Proportion of households with running water,,,Aia,%,Aia,99.7
2022,Proportion of households with running water,,,Aia,%,Aia,99.7
2010,Proportion of households with a toilet,,,Aia,%,Aia,99.7
2020,Proportion of households with running water,,,Aia,%,Aia,99.7
2015,Proportion of households with a toilet,,,Aia,%,Aia,99.6
2016,Proportion of households with running water,,,Aia,%,Aia,99.7
2019,Proportion of households with running water,,,Aia,%,Aia,99.7
2018,Proportion of households with running water,,,Aia,%,Aia,99.7
2022,Proportion of households with a toilet,,,Aia,%,Aia,99.2
2019,Proportion of households with a toilet,,,Aia,%,Aia,99.4
2018,Proportion of households with a toilet,,,Aia,%,Aia,99.4
2015,Proportion of households with running water,,,Aia,%,Aia,99.7
2023,Proportion of households with running water,,,Aia,%,Aia,99.7
2020,Proportion of households with a toilet,,,Aia,%,Aia,99.4
2023,Proportion of households with a toilet,,,Aia,%,Aia,99.2
2021,Proportion of households with a toilet,,,Aia,%,Aia,99.5
2013,Proportion of households with a toilet,,,Aia,%,Aia,99.7
2021,Proportion of households with running water,,,Aia,%,Aia,99.7
2010,Proportion of households with running water,,,Aia,%,Aia,99.7
2016,Proportion of households with a toilet,,,Aia,%,Aia,99.4
2014,Proportion of households with running water,,,Aia,%,Aia,99.7
2014,Proportion of households with a toilet,,,Aia,%,Aia,99.6
2014,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2023,Proportion of households with running water,,,Aizarnazabal,%,Aizarnazabal,99.6
2018,Proportion of households with a toilet,,,Aizarnazabal,%,Aizarnazabal,100.0
