Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,AG_LND_FRST,,,ES48914,PT,ES48914,72.1
2020,AG_LND_FRST,,,ES48914,PT,ES48914,72.1
2021,AG_LND_FRST,,,ES48914,PT,ES48914,72.1
2018,AG_LND_FRST,,,ES48914,PT,ES48914,70.9
2019,AG_LND_FRST,,,ES48914,PT,ES48914,71.8
2020,AG_LND_FRST,,,ES01008,PT,ES01008,29.2
2019,AG_LND_FRST,,,ES01008,PT,ES01008,29.2
2010,AG_LND_FRST,,,ES01008,PT,ES01008,28.7
2021,AG_LND_FRST,,,ES01008,PT,ES01008,29.2
2016,AG_LND_FRST,,,ES01008,PT,ES01008,28.7
2018,AG_LND_FRST,,,ES01008,PT,ES01008,28.6
2022,AG_LND_FRST,,,ES01008,PT,ES01008,29.2
2022,AG_LND_FRST,,,ES48010,PT,ES48010,65.3
2020,AG_LND_FRST,,,ES48010,PT,ES48010,65.2
2010,AG_LND_FRST,,,ES48010,PT,ES48010,64.7
2016,AG_LND_FRST,,,ES48010,PT,ES48010,66.3
2021,AG_LND_FRST,,,ES48010,PT,ES48010,65.2
2019,AG_LND_FRST,,,ES48010,PT,ES48010,65.1
2018,AG_LND_FRST,,,ES48010,PT,ES48010,65.1
2019,AG_LND_FRST,,,ES48011,PT,ES48011,60.5
2010,AG_LND_FRST,,,ES48011,PT,ES48011,61.4
2022,AG_LND_FRST,,,ES48011,PT,ES48011,61.4
2018,AG_LND_FRST,,,ES48011,PT,ES48011,60.5
2020,AG_LND_FRST,,,ES48011,PT,ES48011,61.3
2021,AG_LND_FRST,,,ES48011,PT,ES48011,61.4
2016,AG_LND_FRST,,,ES48011,PT,ES48011,61.0
2022,AG_LND_FRST,,,ES48023,PT,ES48023,74.4
2018,AG_LND_FRST,,,ES48023,PT,ES48023,70.5
2016,AG_LND_FRST,,,ES48023,PT,ES48023,74.3
2019,AG_LND_FRST,,,ES48023,PT,ES48023,73.0
2021,AG_LND_FRST,,,ES48023,PT,ES48023,74.2
2010,AG_LND_FRST,,,ES48023,PT,ES48023,74.4
2020,AG_LND_FRST,,,ES48023,PT,ES48023,74.0
2020,AG_LND_FRST,,,ES48008,PT,ES48008,59.8
2018,AG_LND_FRST,,,ES48008,PT,ES48008,59.1
2021,AG_LND_FRST,,,ES48008,PT,ES48008,60.1
2019,AG_LND_FRST,,,ES48008,PT,ES48008,59.3
2010,AG_LND_FRST,,,ES48008,PT,ES48008,60.0
2022,AG_LND_FRST,,,ES48008,PT,ES48008,60.0
2016,AG_LND_FRST,,,ES48008,PT,ES48008,60.1
2022,AG_LND_FRST,,,ES01004,PT,ES01004,57.2
