Year,Sexo,Territorio,Units,Value
2015,M,ES213,PER_1000_LIVE_BIRTHS,3.47
2014,M,ES213,PER_1000_LIVE_BIRTHS,2.22
2013,M,ES213,PER_1000_LIVE_BIRTHS,2.2
2012,M,ES213,PER_1000_LIVE_BIRTHS,3.19
2011,M,ES213,PER_1000_LIVE_BIRTHS,2.78
2010,M,ES213,PER_1000_LIVE_BIRTHS,4.07
2020,M,ES212,PER_1000_LIVE_BIRTHS,3.09
2019,M,ES212,PER_1000_LIVE_BIRTHS,4.61
2018,M,ES212,PER_1000_LIVE_BIRTHS,2.83
2017,M,ES212,PER_1000_LIVE_BIRTHS,3.44
2016,M,ES212,PER_1000_LIVE_BIRTHS,2.6
2015,M,ES212,PER_1000_LIVE_BIRTHS,3.44
2011,M,ES212,PER_1000_LIVE_BIRTHS,2.2
2014,M,ES212,PER_1000_LIVE_BIRTHS,3.71
2012,M,ES212,PER_1000_LIVE_BIRTHS,2.46
2013,M,ES212,PER_1000_LIVE_BIRTHS,3.42
2010,M,ES212,PER_1000_LIVE_BIRTHS,1.91
2023,M,ES212,PER_1000_LIVE_BIRTHS,1.3
2022,M,ES212,PER_1000_LIVE_BIRTHS,4.22
2021,M,ES212,PER_1000_LIVE_BIRTHS,3.15
