Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,,,Ajangiz,Por 10.000,Ajangiz,0.0
2021,,,Ajangiz,Por 10.000,Ajangiz,0.0
2023,,,Ajangiz,Por 10.000,Ajangiz,0.0
2019,,,Ajangiz,Por 10.000,Ajangiz,0.0
2020,,,Ajangiz,Por 10.000,Ajangiz,0.0
2020,,,Albiztur,Por 10.000,Albiztur,0.0
2021,,,Albiztur,Por 10.000,Albiztur,0.0
2022,,,Albiztur,Por 10.000,Albiztur,0.0
2019,,,Albiztur,Por 10.000,Albiztur,0.0
2023,,,Albiztur,Por 10.000,Albiztur,0.0
2020,,,Alegia,Por 10.000,Alegia,0.0
2019,,,Alegia,Por 10.000,Alegia,0.0
2021,,,Alegia,Por 10.000,Alegia,0.0
2023,,,Alegia,Por 10.000,Alegia,0.0
2022,,,Alegia,Por 10.000,Alegia,0.0
2021,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,13.1
2019,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,0.0
2023,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,6.5
2022,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,0.0
2020,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,0.0
2022,,,Alkiza,Por 10.000,Alkiza,0.0
2021,,,Alkiza,Por 10.000,Alkiza,0.0
2019,,,Alkiza,Por 10.000,Alkiza,0.0
2023,,,Alkiza,Por 10.000,Alkiza,0.0
2020,,,Alkiza,Por 10.000,Alkiza,0.0
2023,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2022,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2019,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2020,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2021,,,Alonsotegi,Por 10.000,Alonsotegi,0.0
2020,,,Altzaga,Por 10.000,Altzaga,0.0
2019,,,Altzaga,Por 10.000,Altzaga,0.0
2023,,,Altzaga,Por 10.000,Altzaga,0.0
2021,,,Altzaga,Por 10.000,Altzaga,0.0
2022,,,Altzaga,Por 10.000,Altzaga,0.0
2020,,,Altzo,Por 10.000,Altzo,0.0
2019,,,Altzo,Por 10.000,Altzo,0.0
2023,,,Altzo,Por 10.000,Altzo,0.0
2022,,,Altzo,Por 10.000,Altzo,0.0
2021,,,Altzo,Por 10.000,Altzo,0.0
2022,,,Amezketa,Por 10.000,Amezketa,0.0
2023,,,Amezketa,Por 10.000,Amezketa,0.0
2020,,,Amezketa,Por 10.000,Amezketa,0.0
2021,,,Amezketa,Por 10.000,Amezketa,0.0
2019,,,Amezketa,Por 10.000,Amezketa,22.9
2022,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,3.1
2019,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,3.1
2023,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,2.0
2020,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,0.0
2021,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,1.0
2019,,,Amoroto,Por 10.000,Amoroto,0.0
2021,,,Amoroto,Por 10.000,Amoroto,0.0
2020,,,Amoroto,Por 10.000,Amoroto,0.0
2022,,,Amoroto,Por 10.000,Amoroto,0.0
2023,,,Amoroto,Por 10.000,Amoroto,0.0
2019,,,Amurrio,Por 10.000,Amurrio,0.0
2023,,,Amurrio,Por 10.000,Amurrio,1.9
2020,,,Amurrio,Por 10.000,Amurrio,0.0
2021,,,Amurrio,Por 10.000,Amurrio,3.8
2022,,,Amurrio,Por 10.000,Amurrio,7.6
2022,,,Andoain,Por 10.000,Andoain,2.7
2019,,,Andoain,Por 10.000,Andoain,0.0
2021,,,Andoain,Por 10.000,Andoain,0.0
2023,,,Andoain,Por 10.000,Andoain,4.1
2020,,,Andoain,Por 10.000,Andoain,0.0
2023,,,Anoeta,Por 10.000,Anoeta,9.7
2020,,,Anoeta,Por 10.000,Anoeta,0.0
2019,,,Anoeta,Por 10.000,Anoeta,0.0
2022,,,Anoeta,Por 10.000,Anoeta,0.0
2021,,,Anoeta,Por 10.000,Anoeta,0.0
2021,,,Antzuola,Por 10.000,Antzuola,0.0
2022,,,Antzuola,Por 10.000,Antzuola,0.0
2020,,,Antzuola,Por 10.000,Antzuola,0.0
2023,,,Antzuola,Por 10.000,Antzuola,0.0
2019,,,Antzuola,Por 10.000,Antzuola,0.0
2023,,,Añana,Por 10.000,Añana,0.0
2022,,,Añana,Por 10.000,Añana,0.0
2020,,,Añana,Por 10.000,Añana,0.0
2019,,,Añana,Por 10.000,Añana,0.0
2021,,,Añana,Por 10.000,Añana,0.0
2019,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,,,Arakaldo,Por 10.000,Arakaldo,0.0
2022,,,Arakaldo,Por 10.000,Arakaldo,0.0
2021,,,Arakaldo,Por 10.000,Arakaldo,0.0
2023,,,Arakaldo,Por 10.000,Arakaldo,0.0
2021,,,Arama,Por 10.000,Arama,0.0
2020,,,Arama,Por 10.000,Arama,0.0
2019,,,Arama,Por 10.000,Arama,0.0
2023,,,Arama,Por 10.000,Arama,0.0
2022,,,Arama,Por 10.000,Arama,0.0
2019,,,Aramaio,Por 10.000,Aramaio,13.9
2020,,,Aramaio,Por 10.000,Aramaio,0.0
2021,,,Aramaio,Por 10.000,Aramaio,0.0
2022,,,Aramaio,Por 10.000,Aramaio,0.0
2023,,,Aramaio,Por 10.000,Aramaio,0.0
2023,,,Arantzazu,Por 10.000,Arantzazu,0.0
2022,,,Arantzazu,Por 10.000,Arantzazu,0.0
2019,,,Arantzazu,Por 10.000,Arantzazu,0.0
2020,,,Arantzazu,Por 10.000,Arantzazu,0.0
2021,,,Arantzazu,Por 10.000,Arantzazu,0.0
2021,,,Areatza,Por 10.000,Areatza,0.0
2020,,,Areatza,Por 10.000,Areatza,0.0
2022,,,Areatza,Por 10.000,Areatza,0.0
2023,,,Areatza,Por 10.000,Areatza,15.4
2019,,,Areatza,Por 10.000,Areatza,0.0
2019,,,Aretxabaleta,Por 10.000,Aretxabaleta,0.0
2021,,,Aretxabaleta,Por 10.000,Aretxabaleta,0.0
2023,,,Aretxabaleta,Por 10.000,Aretxabaleta,0.0
2022,,,Aretxabaleta,Por 10.000,Aretxabaleta,5.6
2020,,,Aretxabaleta,Por 10.000,Aretxabaleta,2.8
2020,,,Armiñón,Por 10.000,Armiñón,0.0
2022,,,Armiñón,Por 10.000,Armiñón,0.0
2023,,,Armiñón,Por 10.000,Armiñón,0.0
2019,,,Armiñón,Por 10.000,Armiñón,0.0
2021,,,Armiñón,Por 10.000,Armiñón,0.0
2021,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2020,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2022,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2019,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2023,,,Arraia-Maeztu,Por 10.000,Arraia-Maeztu,0.0
2023,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2020,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2022,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2019,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,19.6
2021,,,Arrankudiaga-Zollo,Por 10.000,Arrankudiaga-Zollo,0.0
2019,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,2.7
2021,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,11.8
2022,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,4.5
2020,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,0.9
2023,,,Arrasate/Mondragón,Por 10.000,Arrasate/Mondragón,6.3
2020,,,Arratzu,Por 10.000,Arratzu,0.0
2019,,,Arratzu,Por 10.000,Arratzu,0.0
2022,,,Arratzu,Por 10.000,Arratzu,0.0
2021,,,Arratzu,Por 10.000,Arratzu,0.0
2023,,,Arratzu,Por 10.000,Arratzu,0.0
2023,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,0.0
2020,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,21.0
2019,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,0.0
2022,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,0.0
2021,,,Arratzua-Ubarrundia,Por 10.000,Arratzua-Ubarrundia,20.2
2023,,,Arrieta,Por 10.000,Arrieta,0.0
2021,,,Arrieta,Por 10.000,Arrieta,0.0
2019,,,Arrieta,Por 10.000,Arrieta,0.0
2022,,,Arrieta,Por 10.000,Arrieta,0.0
2020,,,Arrieta,Por 10.000,Arrieta,0.0
2023,,,Arrigorriaga,Por 10.000,Arrigorriaga,6.6
2022,,,Arrigorriaga,Por 10.000,Arrigorriaga,6.6
2021,,,Arrigorriaga,Por 10.000,Arrigorriaga,4.9
2019,,,Arrigorriaga,Por 10.000,Arrigorriaga,3.3
2020,,,Arrigorriaga,Por 10.000,Arrigorriaga,3.2
2020,,,Artea,Por 10.000,Artea,0.0
2021,,,Artea,Por 10.000,Artea,0.0
2019,,,Artea,Por 10.000,Artea,0.0
2022,,,Artea,Por 10.000,Artea,26.5
2023,,,Artea,Por 10.000,Artea,0.0
2023,,,Artzentales,Por 10.000,Artzentales,0.0
2022,,,Artzentales,Por 10.000,Artzentales,0.0
2021,,,Artzentales,Por 10.000,Artzentales,0.0
2019,,,Artzentales,Por 10.000,Artzentales,0.0
2020,,,Artzentales,Por 10.000,Artzentales,0.0
2023,,,Artziniega,Por 10.000,Artziniega,0.0
2020,,,Artziniega,Por 10.000,Artziniega,0.0
2022,,,Artziniega,Por 10.000,Artziniega,0.0
2019,,,Artziniega,Por 10.000,Artziniega,10.4
2021,,,Artziniega,Por 10.000,Artziniega,0.0
2019,,,Asparrena,Por 10.000,Asparrena,0.0
2022,,,Asparrena,Por 10.000,Asparrena,0.0
2021,,,Asparrena,Por 10.000,Asparrena,0.0
2023,,,Asparrena,Por 10.000,Asparrena,0.0
2020,,,Asparrena,Por 10.000,Asparrena,24.6
