Year,Sexo,Territorio histórico,Units,Value
2012,Mujer,,Porcentaje,7.6
2018,Mujer,,Porcentaje,8.9
2020,Mujer,,Porcentaje,6.0
2017,Mujer,,Porcentaje,7.5
2021,Mujer,,Porcentaje,7.0
2012,Mujer,Araba/Álava,Porcentaje,6.7
2016,Mujer,Araba/Álava,Porcentaje,6.6
2013,Mujer,Araba/Álava,Porcentaje,9.7
2022,Mujer,Araba/Álava,Porcentaje,6.3
2021,Mujer,Araba/Álava,Porcentaje,5.4
2020,Mujer,Araba/Álava,Porcentaje,6.9
2018,Mujer,Araba/Álava,Porcentaje,9.5
2017,Mujer,Araba/Álava,Porcentaje,5.4
2014,Mujer,Araba/Álava,Porcentaje,6.3
2023,Mujer,Araba/Álava,Porcentaje,6.5
2015,Mujer,Araba/Álava,Porcentaje,4.2
2019,Mujer,Araba/Álava,Porcentaje,10.2
2014,Mujer,Bizkaia,Porcentaje,0.0
2013,Mujer,Bizkaia,Porcentaje,0.0
2012,Mujer,Bizkaia,Porcentaje,0.0
2015,Mujer,Bizkaia,Porcentaje,0.0
2023,Mujer,Bizkaia,Porcentaje,0.0
2019,Mujer,Bizkaia,Porcentaje,0.0
2021,Mujer,Bizkaia,Porcentaje,0.0
2022,Mujer,Bizkaia,Porcentaje,0.0
2020,Mujer,Bizkaia,Porcentaje,0.0
2018,Mujer,Bizkaia,Porcentaje,0.0
2017,Mujer,Bizkaia,Porcentaje,0.0
2016,Mujer,Bizkaia,Porcentaje,0.0
2023,Mujer,Gipuzkoa,Porcentaje,12.5
2022,Mujer,Gipuzkoa,Porcentaje,16.7
2020,Mujer,Gipuzkoa,Porcentaje,9.5
2019,Mujer,Gipuzkoa,Porcentaje,12.5
2018,Mujer,Gipuzkoa,Porcentaje,11.1
2021,Mujer,Gipuzkoa,Porcentaje,13.8
2017,Mujer,Gipuzkoa,Porcentaje,17.2
2016,Mujer,Gipuzkoa,Porcentaje,10.5
2015,Mujer,Gipuzkoa,Porcentaje,0.0
2013,Mujer,Gipuzkoa,Porcentaje,13.9
2012,Mujer,Gipuzkoa,Porcentaje,13.8
2014,Mujer,Gipuzkoa,Porcentaje,0.0
2012,Hombre,,Porcentaje,13.3
2017,Hombre,,Porcentaje,10.5
2022,Hombre,,Porcentaje,11.5
2016,Hombre,,Porcentaje,10.6
2015,Hombre,,Porcentaje,10.1
2013,Hombre,,Porcentaje,9.2
2019,Hombre,,Porcentaje,13.1
2023,Hombre,,Porcentaje,13.5
2014,Hombre,,Porcentaje,8.3
2021,Hombre,,Porcentaje,10.7
2020,Hombre,,Porcentaje,12.8
2018,Hombre,,Porcentaje,13.4
2013,Hombre,Araba/Álava,Porcentaje,6.0
2018,Hombre,Araba/Álava,Porcentaje,8.4
2023,Hombre,Araba/Álava,Porcentaje,9.8
2021,Hombre,Araba/Álava,Porcentaje,8.1
2014,Hombre,Araba/Álava,Porcentaje,5.3
2022,Hombre,Araba/Álava,Porcentaje,7.8
2016,Hombre,Araba/Álava,Porcentaje,6.1
2020,Hombre,Araba/Álava,Porcentaje,8.2
2017,Hombre,Araba/Álava,Porcentaje,6.1
2012,Hombre,Araba/Álava,Porcentaje,9.8
2015,Hombre,Araba/Álava,Porcentaje,5.7
2019,Hombre,Araba/Álava,Porcentaje,9.0
2018,Hombre,Bizkaia,Porcentaje,16.8
2017,Hombre,Bizkaia,Porcentaje,13.4
2016,Hombre,Bizkaia,Porcentaje,15.7
2015,Hombre,Bizkaia,Porcentaje,15.4
2014,Hombre,Bizkaia,Porcentaje,11.9
2013,Hombre,Bizkaia,Porcentaje,14.2
2012,Hombre,Bizkaia,Porcentaje,18.1
2023,Hombre,Bizkaia,Porcentaje,16.8
2022,Hombre,Bizkaia,Porcentaje,16.1
2021,Hombre,Bizkaia,Porcentaje,13.7
2020,Hombre,Bizkaia,Porcentaje,14.3
2019,Hombre,Bizkaia,Porcentaje,19.3
2018,Hombre,Gipuzkoa,Porcentaje,21.1
2017,Hombre,Gipuzkoa,Porcentaje,17.7
2016,Hombre,Gipuzkoa,Porcentaje,17.2
2015,Hombre,Gipuzkoa,Porcentaje,15.0
2014,Hombre,Gipuzkoa,Porcentaje,10.2
2013,Hombre,Gipuzkoa,Porcentaje,10.0
2012,Hombre,Gipuzkoa,Porcentaje,15.6
2023,Hombre,Gipuzkoa,Porcentaje,18.3
2022,Hombre,Gipuzkoa,Porcentaje,15.3
2021,Hombre,Gipuzkoa,Porcentaje,13.9
2020,Hombre,Gipuzkoa,Porcentaje,22.2
2019,Hombre,Gipuzkoa,Porcentaje,16.9
