Year,Series,Sexua,Lurralde historikoa,Units,Value
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,163.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,228.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,185.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,,Gipuzkoa,Zenbakia,142.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,299.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,278.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,285.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,418.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,376.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,317.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,303.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,411.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,,Zenbakia,298.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,39.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,54.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,40.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,57.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,39.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,59.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,45.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,45.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Araba / Álava,Zenbakia,36.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,189.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,189.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,247.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,244.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,190.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,228.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,183.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,177.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Bizkaia,Zenbakia,190.0
2015,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,106.0
2016,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,61.0
2018,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,114.0
2020,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,67.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,68.0
2021,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,70.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,81.0
2023,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,64.0
2022,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Emakumea,Gipuzkoa,Zenbakia,93.0
2017,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,296.0
2019,Partikula finekiko esposizioagatiko heriotza goiztiarren kopurua,Gizona,,Zenbakia,319.0
