Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2012,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2018,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2017,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2024,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2014,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2015,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2020,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2019,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2023,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2021,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2022,,,,Arakaldo,Por 100.000 habitantes,Arakaldo,0.0
2011,,,,Arama,Por 100.000 habitantes,Arama,0.0
2015,,,,Arama,Por 100.000 habitantes,Arama,0.0
2021,,,,Arama,Por 100.000 habitantes,Arama,0.0
2022,,,,Arama,Por 100.000 habitantes,Arama,0.0
2014,,,,Arama,Por 100.000 habitantes,Arama,0.0
2012,,,,Arama,Por 100.000 habitantes,Arama,0.0
2016,,,,Arama,Por 100.000 habitantes,Arama,0.0
2010,,,,Arama,Por 100.000 habitantes,Arama,0.0
2019,,,,Arama,Por 100.000 habitantes,Arama,0.0
2020,,,,Arama,Por 100.000 habitantes,Arama,0.0
2018,,,,Arama,Por 100.000 habitantes,Arama,0.0
2023,,,,Arama,Por 100.000 habitantes,Arama,0.0
2024,,,,Arama,Por 100.000 habitantes,Arama,0.0
2017,,,,Arama,Por 100.000 habitantes,Arama,0.0
2013,,,,Arama,Por 100.000 habitantes,Arama,0.0
2018,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2014,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2010,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2023,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2013,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2022,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2024,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2016,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2020,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2021,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2011,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2019,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2012,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2017,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2015,,,,Aramaio,Por 100.000 habitantes,Aramaio,0.0
2014,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2010,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2018,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2015,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2013,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2020,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2016,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2023,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2011,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2019,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2021,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2012,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2017,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2022,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2024,,,,Arantzazu,Por 100.000 habitantes,Arantzazu,0.0
2011,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2014,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2016,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2018,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2023,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2015,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2024,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2017,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2013,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2019,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2012,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2022,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2021,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2010,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2020,,,,Areatza,Por 100.000 habitantes,Areatza,0.0
2017,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2023,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2019,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2013,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2015,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2018,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2016,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2010,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2021,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2024,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2011,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2020,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2014,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2012,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2022,,,,Aretxabaleta,Por 100.000 habitantes,Aretxabaleta,0.0
2023,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
2011,,,,Armiñón,Por 100.000 habitantes,Armiñón,0.0
