Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2018,,,,,,,Arrasate / Mondragón,%,Arrasate / Mondragón,10.2
2018,,,,,,,Arratzu,%,Arratzu,8.0
2016,,,,,,,Arratzu,%,Arratzu,12.1
2010,,,,,,,Arratzu,%,Arratzu,5.2
2021,,,,,,,Arratzu,%,Arratzu,6.6
2015,,,,,,,Arratzu,%,Arratzu,7.8
2020,,,,,,,Arratzu,%,Arratzu,5.3
2022,,,,,,,Arratzu,%,Arratzu,5.6
2023,,,,,,,Arratzu,%,Arratzu,5.3
2019,,,,,,,Arratzu,%,Arratzu,6.3
2018,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.9
2016,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.3
2021,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.8
2023,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,4.9
2010,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.7
2015,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,9.3
2020,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.7
2019,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.0
2022,,,,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.2
2015,,,,,,,Arrieta,%,Arrieta,10.0
2016,,,,,,,Arrieta,%,Arrieta,10.2
2019,,,,,,,Arrieta,%,Arrieta,6.9
2023,,,,,,,Arrieta,%,Arrieta,5.6
2010,,,,,,,Arrieta,%,Arrieta,7.7
2022,,,,,,,Arrieta,%,Arrieta,7.1
2020,,,,,,,Arrieta,%,Arrieta,8.1
2021,,,,,,,Arrieta,%,Arrieta,6.8
2018,,,,,,,Arrieta,%,Arrieta,7.2
2018,,,,,,,Arrigorriaga,%,Arrigorriaga,12.8
2022,,,,,,,Arrigorriaga,%,Arrigorriaga,10.1
2023,,,,,,,Arrigorriaga,%,Arrigorriaga,8.0
