Year,Sexua,Adina,Nazionalitatea,Desgaitasuna,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,,,,,,Donostialdea,,%,Donostialdea,9.5
2019,,,,,,Donostialdea,,%,Donostialdea,8.7
2022,,,,,,Donostialdea,,%,Donostialdea,7.8
2016,,,,,,Donostialdea,,%,Donostialdea,12.9
2010,,,,,,Donostialdea,,%,Donostialdea,8.8
2015,,,,,,Donostialdea,,%,Donostialdea,14.1
2023,,,,,,Donostialdea,,%,Donostialdea,7.1
2020,,,,,,Donostialdea,,%,Donostialdea,8.2
2022,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,8.4
2020,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.0
2019,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.3
2021,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,10.1
2015,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,15.0
2023,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,6.9
2010,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,9.5
2016,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,13.3
2018,,,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,10.0
2018,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,15.1
2019,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,13.8
2021,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,13.1
2020,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,12.4
2023,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,10.4
2015,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,19.1
2010,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,9.9
2016,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,19.6
2022,,,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,11.9
2015,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,17.0
2019,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.2
2020,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.0
2022,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,9.6
2021,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.6
2016,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,15.5
2023,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,8.2
2018,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,11.8
2010,,,,,,Gernika-Bermeo,,%,Gernika-Bermeo,9.8
2021,,,,,,Goierri,,%,Goierri,8.7
2023,,,,,,Goierri,,%,Goierri,7.0
2020,,,,,,Goierri,,%,Goierri,7.7
2022,,,,,,Goierri,,%,Goierri,7.3
2019,,,,,,Goierri,,%,Goierri,7.9
2016,,,,,,Goierri,,%,Goierri,11.6
2010,,,,,,Goierri,,%,Goierri,8.5
2015,,,,,,Goierri,,%,Goierri,13.1
2018,,,,,,Goierri,,%,Goierri,8.9
2020,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.6
2023,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.2
2018,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.3
2022,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.9
2021,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,8.3
2016,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,10.1
2015,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,11.3
2010,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,6.5
2019,,,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,7.0
2016,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,14.1
2015,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,16.5
2010,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,10.5
2022,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,8.2
2021,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,11.1
2023,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,7.0
2020,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,9.9
2018,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,10.6
2019,,,,,,Markina-Ondarroa,,%,Markina-Ondarroa,10.5
2015,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,14.6
2019,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,9.5
2022,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,8.5
2020,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,8.9
2021,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,10.3
2018,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,10.3
2016,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,13.6
2010,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,9.1
2023,,,,,,Plentzia-Mungia,,%,Plentzia-Mungia,7.1
2023,,,,,,Tolosaldea,,%,Tolosaldea,6.7
2021,,,,,,Tolosaldea,,%,Tolosaldea,8.5
2018,,,,,,Tolosaldea,,%,Tolosaldea,9.6
2022,,,,,,Tolosaldea,,%,Tolosaldea,7.1
2020,,,,,,Tolosaldea,,%,Tolosaldea,7.5
2016,,,,,,Tolosaldea,,%,Tolosaldea,12.4
2015,,,,,,Tolosaldea,,%,Tolosaldea,13.3
2010,,,,,,Tolosaldea,,%,Tolosaldea,8.0
2019,,,,,,Tolosaldea,,%,Tolosaldea,8.1
2018,,,,,,Urola Kosta,,%,Urola Kosta,9.2
2015,,,,,,Urola Kosta,,%,Urola Kosta,14.5
2020,,,,,,Urola Kosta,,%,Urola Kosta,8.0
2022,,,,,,Urola Kosta,,%,Urola Kosta,6.8
2021,,,,,,Urola Kosta,,%,Urola Kosta,8.8
2016,,,,,,Urola Kosta,,%,Urola Kosta,13.3
2023,,,,,,Urola Kosta,,%,Urola Kosta,5.9
2010,,,,,,Urola Kosta,,%,Urola Kosta,8.8
2019,,,,,,Urola Kosta,,%,Urola Kosta,8.3
2012,,,,,Araba / Álava,,,%,Araba / Álava,9.4
2019,,,,,Araba / Álava,,,%,Araba / Álava,10.8
2024,,,,,Araba / Álava,,,%,Araba / Álava,7.5
2016,,,,,Araba / Álava,,,%,Araba / Álava,14.1
2010,,,,,Araba / Álava,,,%,Araba / Álava,10.0
2017,,,,,Araba / Álava,,,%,Araba / Álava,11.9
2014,,,,,Araba / Álava,,,%,Araba / Álava,17.1
2022,,,,,Araba / Álava,,,%,Araba / Álava,9.5
2021,,,,,Araba / Álava,,,%,Araba / Álava,10.6
2018,,,,,Araba / Álava,,,%,Araba / Álava,11.2
2011,,,,,Araba / Álava,,,%,Araba / Álava,7.8
2020,,,,,Araba / Álava,,,%,Araba / Álava,11.0
2023,,,,,Araba / Álava,,,%,Araba / Álava,7.7
2015,,,,,Araba / Álava,,,%,Araba / Álava,16.3
2013,,,,,Araba / Álava,,,%,Araba / Álava,15.1
2010,,,,,Bizkaia,,,%,Bizkaia,10.0
2020,,,,,Bizkaia,,,%,Bizkaia,11.9
2021,,,,,Bizkaia,,,%,Bizkaia,11.2
2013,,,,,Bizkaia,,,%,Bizkaia,16.7
2024,,,,,Bizkaia,,,%,Bizkaia,8.5
2022,,,,,Bizkaia,,,%,Bizkaia,9.3
2018,,,,,Bizkaia,,,%,Bizkaia,11.9
2014,,,,,Bizkaia,,,%,Bizkaia,17.2
2011,,,,,Bizkaia,,,%,Bizkaia,13.2
2012,,,,,Bizkaia,,,%,Bizkaia,14.2
2017,,,,,Bizkaia,,,%,Bizkaia,12.9
2023,,,,,Bizkaia,,,%,Bizkaia,8.7
2015,,,,,Bizkaia,,,%,Bizkaia,17.0
2016,,,,,Bizkaia,,,%,Bizkaia,15.3
2019,,,,,Bizkaia,,,%,Bizkaia,11.1
2012,,,,,Gipuzkoa,,,%,Gipuzkoa,8.9
2019,,,,,Gipuzkoa,,,%,Gipuzkoa,7.4
2020,,,,,Gipuzkoa,,,%,Gipuzkoa,8.2
2017,,,,,Gipuzkoa,,,%,Gipuzkoa,9.3
2022,,,,,Gipuzkoa,,,%,Gipuzkoa,7.0
2023,,,,,Gipuzkoa,,,%,Gipuzkoa,6.5
2013,,,,,Gipuzkoa,,,%,Gipuzkoa,12.5
2024,,,,,Gipuzkoa,,,%,Gipuzkoa,5.7
2014,,,,,Gipuzkoa,,,%,Gipuzkoa,13.9
2018,,,,,Gipuzkoa,,,%,Gipuzkoa,8.1
2011,,,,,Gipuzkoa,,,%,Gipuzkoa,8.2
2016,,,,,Gipuzkoa,,,%,Gipuzkoa,11.3
2015,,,,,Gipuzkoa,,,%,Gipuzkoa,13.3
2021,,,,,Gipuzkoa,,,%,Gipuzkoa,7.9
2010,,,,,Gipuzkoa,,,%,Gipuzkoa,7.4
2017,,,Espainiako nazionalitatea,,,,,%,,9.8
2016,,,Espainiako nazionalitatea,,,,,%,,11.8
2023,,,Espainiako nazionalitatea,,,,,%,,6.2
2024,,,Espainiako nazionalitatea,,,,,%,,6.0
2015,,,Espainiako nazionalitatea,,,,,%,,13.2
2019,,,Espainiako nazionalitatea,,,,,%,,8.3
2021,,,Espainiako nazionalitatea,,,,,%,,8.3
2020,,,Espainiako nazionalitatea,,,,,%,,8.5
2018,,,Espainiako nazionalitatea,,,,,%,,8.9
2022,,,Espainiako nazionalitatea,,,,,%,,7.2
2020,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,8.2
2018,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,8.2
2021,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,7.6
2024,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,5.8
2015,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,13.3
2016,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,11.0
2017,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,9.0
2022,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,7.4
2023,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,6.0
2019,,,Espainiako nazionalitatea,,Araba / Álava,,,%,Araba / Álava,8.0
2020,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,9.9
2016,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,13.7
2024,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,6.8
2023,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,7.1
2018,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,10.4
2015,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,14.7
2017,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,11.7
2022,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,8.1
2021,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,9.6
2019,,,Espainiako nazionalitatea,,Bizkaia,,,%,Bizkaia,9.9
2021,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,6.5
2016,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,8.9
2024,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,4.7
2023,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,4.8
2017,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,7.2
2019,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,5.8
2018,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,6.7
2020,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,6.5
2015,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,10.6
2022,,,Espainiako nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,5.6
2018,,,Atzerriko nazionalitatea,,,,,%,,27.6
2022,,,Atzerriko nazionalitatea,,,,,%,,20.8
2024,,,Atzerriko nazionalitatea,,,,,%,,18.9
2016,,,Atzerriko nazionalitatea,,,,,%,,35.9
2023,,,Atzerriko nazionalitatea,,,,,%,,20.7
2017,,,Atzerriko nazionalitatea,,,,,%,,30.9
2015,,,Atzerriko nazionalitatea,,,,,%,,42.1
2020,,,Atzerriko nazionalitatea,,,,,%,,29.2
2019,,,Atzerriko nazionalitatea,,,,,%,,24.8
2021,,,Atzerriko nazionalitatea,,,,,%,,26.1
2020,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,29.9
2016,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,46.6
2023,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,20.6
2017,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,36.2
2021,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,31.6
2024,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,21.9
2019,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,29.8
2018,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,32.8
2015,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,49.2
2022,,,Atzerriko nazionalitatea,,Araba / Álava,,,%,Araba / Álava,24.4
2020,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,30.4
2017,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,27.6
2023,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,21.6
2016,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,33.2
2022,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,20.2
2019,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,23.6
2018,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,28.7
2015,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,44.3
2024,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,22.5
2021,,,Atzerriko nazionalitatea,,Bizkaia,,,%,Bizkaia,26.6
2021,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,21.8
2020,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,26.6
2023,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,19.4
2022,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,19.6
2017,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,32.8
2024,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,13.0
2019,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,23.3
2015,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,36.7
2016,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,35.1
2018,,,Atzerriko nazionalitatea,,Gipuzkoa,,,%,Gipuzkoa,22.6
2014,,,,Desgaitasunik gabeko pertsona,,,,%,,16.2
2015,,,,Desgaitasunik gabeko pertsona,,,,%,,14.8
2016,,,,Desgaitasunik gabeko pertsona,,,,%,,12.4
2017,,,,Desgaitasunik gabeko pertsona,,,,%,,11.2
2018,,,,Desgaitasunik gabeko pertsona,,,,%,,9.7
2014,,,,Desgaitasuna duen pertsona,,,,%,,21.5
2011,,16-24 urte,,,,,,%,,23.9
2014,,16-24 urte,,,,,,%,,38.2
2018,,16-24 urte,,,,,,%,,20.2
2015,,16-24 urte,,,,,,%,,35.7
2022,,16-24 urte,,,,,,%,,19.9
2016,,16-24 urte,,,,,,%,,29.5
2019,,16-24 urte,,,,,,%,,20.9
2021,,16-24 urte,,,,,,%,,21.9
2010,,16-24 urte,,,,,,%,,25.0
2013,,16-24 urte,,,,,,%,,38.3
2017,,16-24 urte,,,,,,%,,20.4
2023,,16-24 urte,,,,,,%,,17.4
2020,,16-24 urte,,,,,,%,,25.3
2024,,16-24 urte,,,,,,%,,13.2
2012,,16-24 urte,,,,,,%,,30.7
2022,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,14.8
2011,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,23.2
2014,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,41.5
2019,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,25.2
2012,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,24.7
2023,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,16.4
2016,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,35.0
2017,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,24.9
2015,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,41.0
2021,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,18.3
2024,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,12.1
2013,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,43.8
2010,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,27.8
2018,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,14.8
2020,,16-24 urte,,,Araba / Álava,,,%,Araba / Álava,32.9
2020,,16-24 urte,,,Bizkaia,,,%,Bizkaia,24.9
2014,,16-24 urte,,,Bizkaia,,,%,Bizkaia,40.8
2021,,16-24 urte,,,Bizkaia,,,%,Bizkaia,22.5
2018,,16-24 urte,,,Bizkaia,,,%,Bizkaia,25.8
2017,,16-24 urte,,,Bizkaia,,,%,Bizkaia,24.4
2024,,16-24 urte,,,Bizkaia,,,%,Bizkaia,16.7
2016,,16-24 urte,,,Bizkaia,,,%,Bizkaia,31.5
2012,,16-24 urte,,,Bizkaia,,,%,Bizkaia,33.5
2022,,16-24 urte,,,Bizkaia,,,%,Bizkaia,26.2
2019,,16-24 urte,,,Bizkaia,,,%,Bizkaia,24.3
2011,,16-24 urte,,,Bizkaia,,,%,Bizkaia,26.5
2013,,16-24 urte,,,Bizkaia,,,%,Bizkaia,40.6
2010,,16-24 urte,,,Bizkaia,,,%,Bizkaia,27.7
2015,,16-24 urte,,,Bizkaia,,,%,Bizkaia,38.1
2023,,16-24 urte,,,Bizkaia,,,%,Bizkaia,23.2
2024,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.8
2015,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,30.4
2010,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,18.5
2011,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,20.1
2020,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,21.7
2018,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,14.9
2023,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,10.3
2021,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,22.9
2014,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,34.2
2013,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,33.1
2012,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,30.1
2022,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,14.1
2017,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,13.5
2016,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,24.9
2019,,16-24 urte,,,Gipuzkoa,,,%,Gipuzkoa,14.9
2022,,16-29 urte,,,,,,%,,15.1
2011,,16-29 urte,,,,,,%,,19.1
2019,,16-29 urte,,,,,,%,,18.1
2012,,16-29 urte,,,,,,%,,23.0
2016,,16-29 urte,,,,,,%,,24.3
2015,,16-29 urte,,,,,,%,,28.4
2014,,16-29 urte,,,,,,%,,29.5
2017,,16-29 urte,,,,,,%,,17.0
2021,,16-29 urte,,,,,,%,,17.4
2013,,16-29 urte,,,,,,%,,29.0
2024,,16-29 urte,,,,,,%,,10.8
2020,,16-29 urte,,,,,,%,,21.8
2023,,16-29 urte,,,,,,%,,12.6
2010,,16-29 urte,,,,,,%,,18.4
2018,,16-29 urte,,,,,,%,,15.6
2015,,25-34 urte,,,,,,%,,17.4
2017,,25-34 urte,,,,,,%,,12.4
2021,,25-34 urte,,,,,,%,,11.5
2019,,25-34 urte,,,,,,%,,10.5
2024,,25-34 urte,,,,,,%,,8.0
2012,,25-34 urte,,,,,,%,,13.0
2022,,25-34 urte,,,,,,%,,8.6
2013,,25-34 urte,,,,,,%,,16.4
2018,,25-34 urte,,,,,,%,,11.0
2020,,25-34 urte,,,,,,%,,12.2
2023,,25-34 urte,,,,,,%,,8.7
2014,,25-34 urte,,,,,,%,,17.9
2016,,25-34 urte,,,,,,%,,15.4
2010,,25-34 urte,,,,,,%,,9.5
2011,,25-34 urte,,,,,,%,,12.0
2019,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,11.5
2016,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,15.0
2021,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,12.0
2015,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,16.0
2012,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,10.6
2018,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,12.7
2013,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,16.4
2023,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,9.4
2011,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,8.1
2024,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,8.7
2014,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,18.8
2017,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,11.6
2020,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,12.2
2022,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,9.5
2010,,25-34 urte,,,Araba / Álava,,,%,Araba / Álava,11.0
2013,,25-34 urte,,,Bizkaia,,,%,Bizkaia,18.2
2014,,25-34 urte,,,Bizkaia,,,%,Bizkaia,19.3
2016,,25-34 urte,,,Bizkaia,,,%,Bizkaia,17.0
2019,,25-34 urte,,,Bizkaia,,,%,Bizkaia,11.5
2012,,25-34 urte,,,Bizkaia,,,%,Bizkaia,16.2
2010,,25-34 urte,,,Bizkaia,,,%,Bizkaia,10.2
2022,,25-34 urte,,,Bizkaia,,,%,Bizkaia,8.9
2023,,25-34 urte,,,Bizkaia,,,%,Bizkaia,8.4
2015,,25-34 urte,,,Bizkaia,,,%,Bizkaia,19.1
2021,,25-34 urte,,,Bizkaia,,,%,Bizkaia,13.4
2018,,25-34 urte,,,Bizkaia,,,%,Bizkaia,11.9
2011,,25-34 urte,,,Bizkaia,,,%,Bizkaia,15.1
2017,,25-34 urte,,,Bizkaia,,,%,Bizkaia,13.7
2020,,25-34 urte,,,Bizkaia,,,%,Bizkaia,14.0
2024,,25-34 urte,,,Bizkaia,,,%,Bizkaia,8.4
2024,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,7.0
2019,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.2
2017,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,10.6
2014,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,15.4
2018,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.9
2012,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.6
2011,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.8
2020,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,9.2
2021,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.2
2013,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,13.5
2015,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,15.3
2023,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,8.9
2016,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,13.0
2010,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,7.8
2022,,25-34 urte,,,Gipuzkoa,,,%,Gipuzkoa,7.8
2023,,35 urte eta gehiago,,,,,,%,,6.1
2024,,35 urte eta gehiago,,,,,,%,,6.3
2010,,35 urte eta gehiago,,,,,,%,,6.4
2018,,35 urte eta gehiago,,,,,,%,,9.1
2011,,35 urte eta gehiago,,,,,,%,,7.5
2022,,35 urte eta gehiago,,,,,,%,,7.3
2013,,35 urte eta gehiago,,,,,,%,,11.0
2017,,35 urte eta gehiago,,,,,,%,,10.0
2020,,35 urte eta gehiago,,,,,,%,,7.6
2014,,35 urte eta gehiago,,,,,,%,,11.5
2016,,35 urte eta gehiago,,,,,,%,,10.6
2019,,35 urte eta gehiago,,,,,,%,,8.2
2021,,35 urte eta gehiago,,,,,,%,,7.6
2015,,35 urte eta gehiago,,,,,,%,,11.8
2012,,35 urte eta gehiago,,,,,,%,,8.3
2014,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,12.1
2021,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,8.6
2010,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,5.7
2016,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,10.9
2017,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,11.1
2018,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,9.3
2019,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,8.7
2023,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,5.6
2011,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,5.3
2020,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,7.2
2024,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,6.1
2012,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,6.2
2022,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,9.0
2015,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,13.8
2013,,35 urte eta gehiago,,,Araba / Álava,,,%,Araba / Álava,10.0
2016,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,12.0
2013,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,12.6
2015,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,12.8
2020,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,8.9
2022,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,8.0
2010,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,7.2
2014,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,12.6
2021,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,8.3
2024,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,7.6
2019,,35 urte eta gehiago,,,Bizkaia,,,%,Bizkaia,9.6
