Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,,%,46.84
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,,%,42.74
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,,%,41.65
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,,%,40.29
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Araba / Álava,%,42.74
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Araba / Álava,%,40.61
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Araba / Álava,%,48.29
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Araba / Álava,%,37.2
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Araba / Álava,%,43.65
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Bizkaia,%,39.15
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Bizkaia,%,41.79
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Bizkaia,%,44.18
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Bizkaia,%,46.29
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Bizkaia,%,48.37
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Gipuzkoa,%,43.52
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Gipuzkoa,%,41.41
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Gipuzkoa,%,40.93
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Gipuzkoa,%,44.97
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,16-74 urte,Gipuzkoa,%,43.74
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,,%,38.27
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,,%,40.12
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,,%,41.72
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,,%,35.13
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,,%,36.79
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Araba / Álava,%,38.95
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Araba / Álava,%,30.92
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Araba / Álava,%,38.34
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Araba / Álava,%,35.55
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Araba / Álava,%,44.79
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Bizkaia,%,43.41
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Bizkaia,%,36.43
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Bizkaia,%,34.36
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Bizkaia,%,39.73
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Bizkaia,%,41.38
2021,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Gipuzkoa,%,37.52
2020,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Gipuzkoa,%,38.9
2023,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Gipuzkoa,%,38.29
2019,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Gipuzkoa,%,37.15
2022,"Testua, irudiak, taulak edo grafikoak osatzen dituzten aurkezpenak edo dokumentuak sortzea",Gizona,25-74 urte,Gipuzkoa,%,36.33
2021,Kalkulu-orriak erabiltzea,,16-24 urte,,%,67.34
2020,Kalkulu-orriak erabiltzea,,16-24 urte,,%,70.73
2019,Kalkulu-orriak erabiltzea,,16-24 urte,,%,70.08
2022,Kalkulu-orriak erabiltzea,,16-24 urte,,%,68.34
2023,Kalkulu-orriak erabiltzea,,16-24 urte,,%,63.58
2021,Kalkulu-orriak erabiltzea,,16-24 urte,Araba / Álava,%,61.31
2023,Kalkulu-orriak erabiltzea,,16-24 urte,Araba / Álava,%,57.79
2020,Kalkulu-orriak erabiltzea,,16-24 urte,Araba / Álava,%,68.93
2022,Kalkulu-orriak erabiltzea,,16-24 urte,Araba / Álava,%,74.63
2019,Kalkulu-orriak erabiltzea,,16-24 urte,Araba / Álava,%,70.0
2021,Kalkulu-orriak erabiltzea,,16-24 urte,Bizkaia,%,64.2
2023,Kalkulu-orriak erabiltzea,,16-24 urte,Bizkaia,%,60.93
2019,Kalkulu-orriak erabiltzea,,16-24 urte,Bizkaia,%,69.07
2020,Kalkulu-orriak erabiltzea,,16-24 urte,Bizkaia,%,68.82
2022,Kalkulu-orriak erabiltzea,,16-24 urte,Bizkaia,%,69.09
2019,Kalkulu-orriak erabiltzea,,16-24 urte,Gipuzkoa,%,71.5
2021,Kalkulu-orriak erabiltzea,,16-24 urte,Gipuzkoa,%,74.53
2022,Kalkulu-orriak erabiltzea,,16-24 urte,Gipuzkoa,%,64.64
2020,Kalkulu-orriak erabiltzea,,16-24 urte,Gipuzkoa,%,74.4
2023,Kalkulu-orriak erabiltzea,,16-24 urte,Gipuzkoa,%,70.09
2021,Kalkulu-orriak erabiltzea,,16-74 urte,,%,44.44
2023,Kalkulu-orriak erabiltzea,,16-74 urte,,%,41.85
2020,Kalkulu-orriak erabiltzea,,16-74 urte,,%,41.11
2019,Kalkulu-orriak erabiltzea,,16-74 urte,,%,41.92
2022,Kalkulu-orriak erabiltzea,,16-74 urte,,%,42.23
2019,Kalkulu-orriak erabiltzea,,16-74 urte,Araba / Álava,%,42.89
2022,Kalkulu-orriak erabiltzea,,16-74 urte,Araba / Álava,%,44.9
2020,Kalkulu-orriak erabiltzea,,16-74 urte,Araba / Álava,%,39.71
2023,Kalkulu-orriak erabiltzea,,16-74 urte,Araba / Álava,%,37.35
2021,Kalkulu-orriak erabiltzea,,16-74 urte,Araba / Álava,%,44.08
2021,Kalkulu-orriak erabiltzea,,16-74 urte,Bizkaia,%,44.57
2022,Kalkulu-orriak erabiltzea,,16-74 urte,Bizkaia,%,40.86
2023,Kalkulu-orriak erabiltzea,,16-74 urte,Bizkaia,%,41.54
2020,Kalkulu-orriak erabiltzea,,16-74 urte,Bizkaia,%,41.21
2019,Kalkulu-orriak erabiltzea,,16-74 urte,Bizkaia,%,41.11
2023,Kalkulu-orriak erabiltzea,,16-74 urte,Gipuzkoa,%,44.42
2021,Kalkulu-orriak erabiltzea,,16-74 urte,Gipuzkoa,%,44.39
2022,Kalkulu-orriak erabiltzea,,16-74 urte,Gipuzkoa,%,43.22
2020,Kalkulu-orriak erabiltzea,,16-74 urte,Gipuzkoa,%,41.61
2019,Kalkulu-orriak erabiltzea,,16-74 urte,Gipuzkoa,%,42.77
2020,Kalkulu-orriak erabiltzea,,25-74 urte,,%,37.44
2021,Kalkulu-orriak erabiltzea,,25-74 urte,,%,41.37
2022,Kalkulu-orriak erabiltzea,,25-74 urte,,%,38.78
2023,Kalkulu-orriak erabiltzea,,25-74 urte,,%,38.98
2019,Kalkulu-orriak erabiltzea,,25-74 urte,,%,38.75
2022,Kalkulu-orriak erabiltzea,,25-74 urte,Araba / Álava,%,41.35
2023,Kalkulu-orriak erabiltzea,,25-74 urte,Araba / Álava,%,34.53
2019,Kalkulu-orriak erabiltzea,,25-74 urte,Araba / Álava,%,39.83
2020,Kalkulu-orriak erabiltzea,,25-74 urte,Araba / Álava,%,36.04
2021,Kalkulu-orriak erabiltzea,,25-74 urte,Araba / Álava,%,41.73
2019,Kalkulu-orriak erabiltzea,,25-74 urte,Bizkaia,%,38.17
2020,Kalkulu-orriak erabiltzea,,25-74 urte,Bizkaia,%,37.91
2023,Kalkulu-orriak erabiltzea,,25-74 urte,Bizkaia,%,39.1
2022,Kalkulu-orriak erabiltzea,,25-74 urte,Bizkaia,%,37.17
2021,Kalkulu-orriak erabiltzea,,25-74 urte,Bizkaia,%,42.07
2020,Kalkulu-orriak erabiltzea,,25-74 urte,Gipuzkoa,%,37.32
2023,Kalkulu-orriak erabiltzea,,25-74 urte,Gipuzkoa,%,40.84
2021,Kalkulu-orriak erabiltzea,,25-74 urte,Gipuzkoa,%,40.03
2019,Kalkulu-orriak erabiltzea,,25-74 urte,Gipuzkoa,%,39.19
2022,Kalkulu-orriak erabiltzea,,25-74 urte,Gipuzkoa,%,40.21
2021,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,,%,64.17
2020,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,,%,68.82
2019,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,,%,70.34
2022,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,,%,68.72
2023,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,,%,64.48
2023,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Araba / Álava,%,62.43
2022,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Araba / Álava,%,72.24
2020,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Araba / Álava,%,64.62
2019,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Araba / Álava,%,70.26
2021,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Araba / Álava,%,62.48
2023,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Bizkaia,%,58.92
2019,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Bizkaia,%,67.84
2020,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Bizkaia,%,65.82
2022,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Bizkaia,%,69.38
2021,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Bizkaia,%,59.54
2022,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Gipuzkoa,%,66.21
2023,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Gipuzkoa,%,73.46
2020,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Gipuzkoa,%,75.14
2019,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Gipuzkoa,%,73.9
2021,Kalkulu-orriak erabiltzea,Emakumea,16-24 urte,Gipuzkoa,%,72.32
2019,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,,%,39.57
2023,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,,%,40.89
2020,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,,%,39.77
2021,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,,%,42.32
2022,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,,%,41.07
2019,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Araba / Álava,%,40.2
2021,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Araba / Álava,%,43.21
2023,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Araba / Álava,%,39.31
2020,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Araba / Álava,%,39.72
2022,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Araba / Álava,%,43.88
2020,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Bizkaia,%,38.18
2019,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Bizkaia,%,38.1
2021,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Bizkaia,%,41.04
2023,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Bizkaia,%,39.9
2022,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Bizkaia,%,38.9
2021,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Gipuzkoa,%,44.01
2023,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Gipuzkoa,%,43.22
2022,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Gipuzkoa,%,43.39
2019,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Gipuzkoa,%,41.65
2020,Kalkulu-orriak erabiltzea,Emakumea,16-74 urte,Gipuzkoa,%,42.34
2022,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,,%,37.57
2021,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,,%,39.58
2020,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,,%,36.35
2019,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,,%,36.14
2023,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,,%,37.94
2023,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Araba / Álava,%,36.57
2022,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Araba / Álava,%,40.58
2021,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Araba / Álava,%,40.86
2019,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Araba / Álava,%,36.59
2020,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Araba / Álava,%,36.87
2021,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Bizkaia,%,38.74
2023,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Bizkaia,%,37.61
2022,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Bizkaia,%,35.08
2019,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Bizkaia,%,35.04
2020,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Bizkaia,%,35.03
2022,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Gipuzkoa,%,40.32
2023,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Gipuzkoa,%,39.13
2021,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Gipuzkoa,%,40.36
2020,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Gipuzkoa,%,38.26
2019,Kalkulu-orriak erabiltzea,Emakumea,25-74 urte,Gipuzkoa,%,37.74
2021,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,,%,70.16
2019,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,,%,69.81
2022,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,,%,67.98
2020,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,,%,72.51
2023,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,,%,62.72
2020,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Araba / Álava,%,72.68
2022,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Araba / Álava,%,76.98
2021,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Araba / Álava,%,60.36
2023,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Araba / Álava,%,54.19
2019,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Araba / Álava,%,69.71
2021,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Bizkaia,%,68.76
2019,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Bizkaia,%,70.3
2023,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Bizkaia,%,62.89
2020,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Bizkaia,%,71.66
2022,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Bizkaia,%,68.79
2021,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Gipuzkoa,%,76.33
2023,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Gipuzkoa,%,66.82
2020,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Gipuzkoa,%,73.69
2022,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Gipuzkoa,%,63.16
2019,Kalkulu-orriak erabiltzea,Gizona,16-24 urte,Gipuzkoa,%,69.19
2023,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,,%,42.84
2021,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,,%,46.58
2019,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,,%,44.35
2022,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,,%,43.44
2020,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,,%,42.48
2020,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Araba / Álava,%,39.7
2022,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Araba / Álava,%,45.95
2021,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Araba / Álava,%,44.95
2023,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Araba / Álava,%,35.4
2019,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Araba / Álava,%,45.71
2019,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Bizkaia,%,44.24
2022,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Bizkaia,%,42.95
2020,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Bizkaia,%,44.29
2021,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Bizkaia,%,48.18
2023,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Bizkaia,%,43.27
2019,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Gipuzkoa,%,43.91
2020,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Gipuzkoa,%,40.86
2021,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Gipuzkoa,%,44.77
2023,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Gipuzkoa,%,45.65
2022,Kalkulu-orriak erabiltzea,Gizona,16-74 urte,Gipuzkoa,%,43.05
2023,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,,%,40.06
2019,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,,%,41.44
2021,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,,%,43.19
2022,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,,%,40.07
2020,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,,%,38.56
2023,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Araba / Álava,%,32.43
2020,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Araba / Álava,%,35.19
2021,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Araba / Álava,%,42.61
2019,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Araba / Álava,%,43.17
2022,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Araba / Álava,%,42.14
2022,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Bizkaia,%,39.43
2020,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Bizkaia,%,40.89
2021,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Bizkaia,%,45.5
2019,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Bizkaia,%,41.44
2023,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Bizkaia,%,40.68
2020,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Gipuzkoa,%,36.35
2021,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Gipuzkoa,%,39.7
2019,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Gipuzkoa,%,40.67
2023,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Gipuzkoa,%,42.6
2022,Kalkulu-orriak erabiltzea,Gizona,25-74 urte,Gipuzkoa,%,40.1
2020,Programazio-lengoaia batean programatzea,,16-24 urte,,%,13.21
2022,Programazio-lengoaia batean programatzea,,16-24 urte,,%,11.04
2023,Programazio-lengoaia batean programatzea,,16-24 urte,,%,16.58
2019,Programazio-lengoaia batean programatzea,,16-24 urte,,%,12.34
2021,Programazio-lengoaia batean programatzea,,16-24 urte,,%,14.65
2021,Programazio-lengoaia batean programatzea,,16-24 urte,Araba / Álava,%,14.49
2023,Programazio-lengoaia batean programatzea,,16-24 urte,Araba / Álava,%,14.41
2022,Programazio-lengoaia batean programatzea,,16-24 urte,Araba / Álava,%,11.05
2020,Programazio-lengoaia batean programatzea,,16-24 urte,Araba / Álava,%,7.03
2019,Programazio-lengoaia batean programatzea,,16-24 urte,Araba / Álava,%,10.56
2022,Programazio-lengoaia batean programatzea,,16-24 urte,Bizkaia,%,11.36
2023,Programazio-lengoaia batean programatzea,,16-24 urte,Bizkaia,%,20.07
2019,Programazio-lengoaia batean programatzea,,16-24 urte,Bizkaia,%,14.19
2021,Programazio-lengoaia batean programatzea,,16-24 urte,Bizkaia,%,14.51
2020,Programazio-lengoaia batean programatzea,,16-24 urte,Bizkaia,%,16.12
2020,Programazio-lengoaia batean programatzea,,16-24 urte,Gipuzkoa,%,11.7
2022,Programazio-lengoaia batean programatzea,,16-24 urte,Gipuzkoa,%,10.53
2019,Programazio-lengoaia batean programatzea,,16-24 urte,Gipuzkoa,%,10.54
2023,Programazio-lengoaia batean programatzea,,16-24 urte,Gipuzkoa,%,12.47
2021,Programazio-lengoaia batean programatzea,,16-24 urte,Gipuzkoa,%,14.93
2021,Programazio-lengoaia batean programatzea,,16-74 urte,,%,5.27
2023,Programazio-lengoaia batean programatzea,,16-74 urte,,%,6.23
2020,Programazio-lengoaia batean programatzea,,16-74 urte,,%,5.69
2022,Programazio-lengoaia batean programatzea,,16-74 urte,,%,5.26
2019,Programazio-lengoaia batean programatzea,,16-74 urte,,%,5.56
2020,Programazio-lengoaia batean programatzea,,16-74 urte,Araba / Álava,%,5.73
2022,Programazio-lengoaia batean programatzea,,16-74 urte,Araba / Álava,%,4.73
2023,Programazio-lengoaia batean programatzea,,16-74 urte,Araba / Álava,%,4.26
2021,Programazio-lengoaia batean programatzea,,16-74 urte,Araba / Álava,%,5.7
2019,Programazio-lengoaia batean programatzea,,16-74 urte,Araba / Álava,%,5.27
2020,Programazio-lengoaia batean programatzea,,16-74 urte,Bizkaia,%,5.74
2023,Programazio-lengoaia batean programatzea,,16-74 urte,Bizkaia,%,6.86
2022,Programazio-lengoaia batean programatzea,,16-74 urte,Bizkaia,%,5.14
2019,Programazio-lengoaia batean programatzea,,16-74 urte,Bizkaia,%,5.83
2021,Programazio-lengoaia batean programatzea,,16-74 urte,Bizkaia,%,5.17
2022,Programazio-lengoaia batean programatzea,,16-74 urte,Gipuzkoa,%,5.69
2019,Programazio-lengoaia batean programatzea,,16-74 urte,Gipuzkoa,%,5.24
2021,Programazio-lengoaia batean programatzea,,16-74 urte,Gipuzkoa,%,5.21
2020,Programazio-lengoaia batean programatzea,,16-74 urte,Gipuzkoa,%,5.58
2023,Programazio-lengoaia batean programatzea,,16-74 urte,Gipuzkoa,%,6.12
2023,Programazio-lengoaia batean programatzea,,25-74 urte,,%,4.86
2019,Programazio-lengoaia batean programatzea,,25-74 urte,,%,4.79
2020,Programazio-lengoaia batean programatzea,,25-74 urte,,%,4.76
2021,Programazio-lengoaia batean programatzea,,25-74 urte,,%,4.0
2022,Programazio-lengoaia batean programatzea,,25-74 urte,,%,4.49
2019,Programazio-lengoaia batean programatzea,,25-74 urte,Araba / Álava,%,4.67
2023,Programazio-lengoaia batean programatzea,,25-74 urte,Araba / Álava,%,2.86
2020,Programazio-lengoaia batean programatzea,,25-74 urte,Araba / Álava,%,5.57
2022,Programazio-lengoaia batean programatzea,,25-74 urte,Araba / Álava,%,3.98
2021,Programazio-lengoaia batean programatzea,,25-74 urte,Araba / Álava,%,4.5
2023,Programazio-lengoaia batean programatzea,,25-74 urte,Bizkaia,%,5.19
2021,Programazio-lengoaia batean programatzea,,25-74 urte,Bizkaia,%,3.98
2022,Programazio-lengoaia batean programatzea,,25-74 urte,Bizkaia,%,4.33
2019,Programazio-lengoaia batean programatzea,,25-74 urte,Bizkaia,%,4.96
2020,Programazio-lengoaia batean programatzea,,25-74 urte,Bizkaia,%,4.51
2022,Programazio-lengoaia batean programatzea,,25-74 urte,Gipuzkoa,%,5.01
2023,Programazio-lengoaia batean programatzea,,25-74 urte,Gipuzkoa,%,5.23
2021,Programazio-lengoaia batean programatzea,,25-74 urte,Gipuzkoa,%,3.81
2019,Programazio-lengoaia batean programatzea,,25-74 urte,Gipuzkoa,%,4.58
2020,Programazio-lengoaia batean programatzea,,25-74 urte,Gipuzkoa,%,4.78
2023,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,,%,12.07
2020,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,,%,9.66
2021,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,,%,11.1
2022,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,,%,9.13
2019,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,,%,8.88
2022,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Araba / Álava,%,4.68
2021,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Araba / Álava,%,9.22
2020,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Araba / Álava,%,4.12
2023,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Araba / Álava,%,8.98
2019,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Araba / Álava,%,7.88
2021,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Bizkaia,%,13.4
2022,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Bizkaia,%,13.13
2019,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Bizkaia,%,10.67
2023,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Bizkaia,%,15.5
2020,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Bizkaia,%,11.49
2020,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Gipuzkoa,%,9.35
2019,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Gipuzkoa,%,6.83
2021,Programazio-lengoaia batean programatzea,Emakumea,16-24 urte,Gipuzkoa,%,8.26
