Year,Trebetasun informatikoa,Sexua,Adina,Lurralde historikoa,Units,Value
2023,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,70.91
2020,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,68.07
2019,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,63.58
2021,Trebetasun informatikoren bat behintzat,Emakumea,16-74 urte,Gipuzkoa,%,75.04
2023,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,,%,66.96
2022,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,,%,64.48
2020,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,,%,64.99
2021,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,,%,70.9
2019,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,,%,60.78
2019,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Araba / Álava,%,62.2
2023,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Araba / Álava,%,69.76
2020,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Araba / Álava,%,67.82
2022,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Araba / Álava,%,64.47
2021,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Araba / Álava,%,71.75
2022,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Bizkaia,%,63.29
2021,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Bizkaia,%,69.98
2023,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Bizkaia,%,66.18
2020,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Bizkaia,%,64.43
2019,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Bizkaia,%,61.28
2023,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Gipuzkoa,%,66.96
2020,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Gipuzkoa,%,64.55
2021,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Gipuzkoa,%,72.0
2019,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Gipuzkoa,%,59.31
2022,Trebetasun informatikoren bat behintzat,Emakumea,25-74 urte,Gipuzkoa,%,66.5
2021,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,,%,95.71
2022,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,,%,93.54
2023,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,,%,93.15
2020,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,,%,95.33
2019,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,,%,93.6
2020,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Araba / Álava,%,100.0
2023,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Araba / Álava,%,100.0
2022,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Araba / Álava,%,92.71
2019,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Araba / Álava,%,91.9
2021,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Araba / Álava,%,97.21
2019,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Bizkaia,%,97.15
2022,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Bizkaia,%,91.84
2021,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Bizkaia,%,93.28
2023,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Bizkaia,%,89.75
2020,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Bizkaia,%,91.99
2022,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Gipuzkoa,%,96.4
2023,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Gipuzkoa,%,94.65
2021,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Gipuzkoa,%,98.26
2020,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Gipuzkoa,%,98.09
2019,Trebetasun informatikoren bat behintzat,Gizona,16-24 urte,Gipuzkoa,%,89.45
2021,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,,%,76.24
2019,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,,%,69.65
2023,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,,%,72.52
2022,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,,%,69.4
2020,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,,%,71.39
2020,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Araba / Álava,%,69.49
2022,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Araba / Álava,%,68.86
2023,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Araba / Álava,%,69.77
2019,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Araba / Álava,%,71.05
2021,Trebetasun informatikoren bat behintzat,Gizona,16-74 urte,Araba / Álava,%,76.36
