Year,Teknologia berriztagarri mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2013,,,,Hondarribia,Watts per capita,Hondarribia,13.3
2019,,,,Hondarribia,Watts per capita,Hondarribia,20.4
2015,,,,Hondarribia,Watts per capita,Hondarribia,15.5
2019,,,,Ibarra,Watts per capita,Ibarra,14.1
2021,,,,Ibarra,Watts per capita,Ibarra,59.1
2018,,,,Ibarra,Watts per capita,Ibarra,14.2
2017,,,,Ibarra,Watts per capita,Ibarra,14.3
2011,,,,Ibarra,Watts per capita,Ibarra,7.5
2014,,,,Ibarra,Watts per capita,Ibarra,10.6
2020,,,,Ibarra,Watts per capita,Ibarra,21.1
2022,,,,Ibarra,Watts per capita,Ibarra,86.2
2016,,,,Ibarra,Watts per capita,Ibarra,14.3
2015,,,,Ibarra,Watts per capita,Ibarra,10.8
2013,,,,Ibarra,Watts per capita,Ibarra,7.9
2010,,,,Ibarra,Watts per capita,Ibarra,7.5
2012,,,,Ibarra,Watts per capita,Ibarra,7.9
2023,,,,Ibarra,Watts per capita,Ibarra,159.5
2020,,,,Ibarrangelu,Watts per capita,Ibarrangelu,51.4
2018,,,,Ibarrangelu,Watts per capita,Ibarrangelu,56.2
2023,,,,Ibarrangelu,Watts per capita,Ibarrangelu,98.0
2022,,,,Ibarrangelu,Watts per capita,Ibarrangelu,59.6
2017,,,,Ibarrangelu,Watts per capita,Ibarrangelu,51.0
2019,,,,Ibarrangelu,Watts per capita,Ibarrangelu,56.5
2014,,,,Ibarrangelu,Watts per capita,Ibarrangelu,43.5
2021,,,,Ibarrangelu,Watts per capita,Ibarrangelu,60.8
2011,,,,Ibarrangelu,Watts per capita,Ibarrangelu,17.2
2013,,,,Ibarrangelu,Watts per capita,Ibarrangelu,35.3
2016,,,,Ibarrangelu,Watts per capita,Ibarrangelu,50.4
2012,,,,Ibarrangelu,Watts per capita,Ibarrangelu,28.6
2010,,,,Ibarrangelu,Watts per capita,Ibarrangelu,17.2
2015,,,,Ibarrangelu,Watts per capita,Ibarrangelu,43.2
2011,,,,Idiazabal,Watts per capita,Idiazabal,12.1
2019,,,,Idiazabal,Watts per capita,Idiazabal,16.7
2016,,,,Idiazabal,Watts per capita,Idiazabal,16.7
2020,,,,Idiazabal,Watts per capita,Idiazabal,17.5
2022,,,,Idiazabal,Watts per capita,Idiazabal,19.3
2017,,,,Idiazabal,Watts per capita,Idiazabal,16.7
2014,,,,Idiazabal,Watts per capita,Idiazabal,16.2
2023,,,,Idiazabal,Watts per capita,Idiazabal,29.8
2013,,,,Idiazabal,Watts per capita,Idiazabal,16.1
2012,,,,Idiazabal,Watts per capita,Idiazabal,14.9
2010,,,,Idiazabal,Watts per capita,Idiazabal,1.7
2018,,,,Idiazabal,Watts per capita,Idiazabal,16.6
2015,,,,Idiazabal,Watts per capita,Idiazabal,16.1
2021,,,,Idiazabal,Watts per capita,Idiazabal,19.2
2023,,,,Igorre,Watts per capita,Igorre,62.1
2014,,,,Igorre,Watts per capita,Igorre,11.5
2022,,,,Igorre,Watts per capita,Igorre,51.7
2019,,,,Igorre,Watts per capita,Igorre,19.0
2010,,,,Igorre,Watts per capita,Igorre,8.0
2020,,,,Igorre,Watts per capita,Igorre,19.0
2018,,,,Igorre,Watts per capita,Igorre,17.6
2013,,,,Igorre,Watts per capita,Igorre,11.0
2011,,,,Igorre,Watts per capita,Igorre,10.8
2015,,,,Igorre,Watts per capita,Igorre,11.6
2012,,,,Igorre,Watts per capita,Igorre,10.9
2016,,,,Igorre,Watts per capita,Igorre,11.6
2017,,,,Igorre,Watts per capita,Igorre,16.7
2021,,,,Igorre,Watts per capita,Igorre,50.6
2010,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2320.3
2021,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2246.3
2017,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2155.6
2023,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2168.7
2015,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2204.5
2016,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2173.1
2014,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2204.5
2012,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2314.5
2019,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2195.5
2013,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2314.5
2020,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2241.6
2018,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2108.7
2022,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2241.6
2011,,,,Ikaztegieta,Watts per capita,Ikaztegieta,2300.4
2023,,,,Irun,Watts per capita,Irun,79.1
2014,,,,Irun,Watts per capita,Irun,46.1
2015,,,,Irun,Watts per capita,Irun,46.0
2010,,,,Irun,Watts per capita,Irun,43.2
2018,,,,Irun,Watts per capita,Irun,52.2
2017,,,,Irun,Watts per capita,Irun,48.8
2019,,,,Irun,Watts per capita,Irun,56.5
2012,,,,Irun,Watts per capita,Irun,43.9
2021,,,,Irun,Watts per capita,Irun,63.2
2013,,,,Irun,Watts per capita,Irun,46.1
2020,,,,Irun,Watts per capita,Irun,60.1
2016,,,,Irun,Watts per capita,Irun,47.3
2022,,,,Irun,Watts per capita,Irun,63.6
2011,,,,Irun,Watts per capita,Irun,43.8
2017,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,97.0
2016,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,98.8
2014,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,103.2
2020,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,195.0
2021,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,204.6
2015,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,100.1
2010,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,107.0
2011,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,104.3
2012,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,103.2
2023,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,311.9
2022,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,285.0
2013,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,104.9
2019,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,190.4
2018,,,,Iruña Oka / Iruña de Oca,Watts per capita,Iruña Oka / Iruña de Oca,95.8
2016,,,,Irura,Watts per capita,Irura,272.3
2019,,,,Irura,Watts per capita,Irura,269.4
2011,,,,Irura,Watts per capita,Irura,300.7
2010,,,,Irura,Watts per capita,Irura,303.8
2015,,,,Irura,Watts per capita,Irura,279.0
2022,,,,Irura,Watts per capita,Irura,267.4
2012,,,,Irura,Watts per capita,Irura,297.4
2018,,,,Irura,Watts per capita,Irura,269.6
2013,,,,Irura,Watts per capita,Irura,297.7
2021,,,,Irura,Watts per capita,Irura,264.5
2014,,,,Irura,Watts per capita,Irura,294.1
2023,,,,Irura,Watts per capita,Irura,287.9
2020,,,,Irura,Watts per capita,Irura,265.8
2017,,,,Irura,Watts per capita,Irura,267.9
2021,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,103.5
2023,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,179.5
2020,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,89.7
2019,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,92.7
2012,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,45.7
2013,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,46.4
2022,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,106.4
2016,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,66.0
2014,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,57.4
2010,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,10.6
2018,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,67.0
2015,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,57.1
2017,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,66.8
2011,,,,Iruraiz-Gauna,Watts per capita,Iruraiz-Gauna,43.6
2021,,,,Ispaster,Watts per capita,Ispaster,78.4
2014,,,,Ispaster,Watts per capita,Ispaster,49.9
2020,,,,Ispaster,Watts per capita,Ispaster,73.7
2017,,,,Ispaster,Watts per capita,Ispaster,63.6
2015,,,,Ispaster,Watts per capita,Ispaster,48.2
2022,,,,Ispaster,Watts per capita,Ispaster,77.9
2016,,,,Ispaster,Watts per capita,Ispaster,48.4
2010,,,,Ispaster,Watts per capita,Ispaster,40.7
2011,,,,Ispaster,Watts per capita,Ispaster,39.1
2019,,,,Ispaster,Watts per capita,Ispaster,62.2
2013,,,,Ispaster,Watts per capita,Ispaster,44.5
2012,,,,Ispaster,Watts per capita,Ispaster,37.6
2018,,,,Ispaster,Watts per capita,Ispaster,62.5
2023,,,,Ispaster,Watts per capita,Ispaster,116.6
2018,,,,Itsasondo,Watts per capita,Itsasondo,1.4
2014,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2012,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2016,,,,Itsasondo,Watts per capita,Itsasondo,1.4
2015,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2021,,,,Itsasondo,Watts per capita,Itsasondo,16.6
2023,,,,Itsasondo,Watts per capita,Itsasondo,79.7
2011,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2019,,,,Itsasondo,Watts per capita,Itsasondo,1.4
2010,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2013,,,,Itsasondo,Watts per capita,Itsasondo,1.5
2022,,,,Itsasondo,Watts per capita,Itsasondo,16.3
2017,,,,Itsasondo,Watts per capita,Itsasondo,1.4
2020,,,,Itsasondo,Watts per capita,Itsasondo,16.1
2014,,,,Iurreta,Watts per capita,Iurreta,206.3
2020,,,,Iurreta,Watts per capita,Iurreta,236.9
2019,,,,Iurreta,Watts per capita,Iurreta,233.7
2010,,,,Iurreta,Watts per capita,Iurreta,166.0
2016,,,,Iurreta,Watts per capita,Iurreta,208.2
2013,,,,Iurreta,Watts per capita,Iurreta,204.3
2021,,,,Iurreta,Watts per capita,Iurreta,278.0
2015,,,,Iurreta,Watts per capita,Iurreta,208.1
2011,,,,Iurreta,Watts per capita,Iurreta,165.0
2018,,,,Iurreta,Watts per capita,Iurreta,207.5
2012,,,,Iurreta,Watts per capita,Iurreta,191.5
2017,,,,Iurreta,Watts per capita,Iurreta,208.7
2023,,,,Iurreta,Watts per capita,Iurreta,446.7
2022,,,,Iurreta,Watts per capita,Iurreta,275.2
2011,,,,Izurtza,Watts per capita,Izurtza,0.0
2017,,,,Izurtza,Watts per capita,Izurtza,0.0
2013,,,,Izurtza,Watts per capita,Izurtza,0.0
2016,,,,Izurtza,Watts per capita,Izurtza,0.0
2010,,,,Izurtza,Watts per capita,Izurtza,0.0
2018,,,,Izurtza,Watts per capita,Izurtza,0.0
2023,,,,Izurtza,Watts per capita,Izurtza,134.2
2015,,,,Izurtza,Watts per capita,Izurtza,0.0
2014,,,,Izurtza,Watts per capita,Izurtza,0.0
2022,,,,Izurtza,Watts per capita,Izurtza,0.0
2019,,,,Izurtza,Watts per capita,Izurtza,0.0
2012,,,,Izurtza,Watts per capita,Izurtza,0.0
2021,,,,Izurtza,Watts per capita,Izurtza,0.0
2020,,,,Izurtza,Watts per capita,Izurtza,0.0
2014,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,6.1
2018,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,10.7
2016,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,7.3
2023,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,43.0
2021,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,29.6
2013,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,5.9
2015,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,6.0
2022,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,37.4
2011,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,6.1
2019,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,10.6
2020,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,13.4
2010,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,6.1
2017,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,7.3
2012,,,,Karrantza Harana / Valle de Carranza,Watts per capita,Karrantza Harana / Valle de Carranza,6.0
2019,,,,Kortezubi,Watts per capita,Kortezubi,89.6
2017,,,,Kortezubi,Watts per capita,Kortezubi,82.9
2023,,,,Kortezubi,Watts per capita,Kortezubi,205.7
2013,,,,Kortezubi,Watts per capita,Kortezubi,57.2
2022,,,,Kortezubi,Watts per capita,Kortezubi,185.9
2011,,,,Kortezubi,Watts per capita,Kortezubi,17.2
2016,,,,Kortezubi,Watts per capita,Kortezubi,84.2
2020,,,,Kortezubi,Watts per capita,Kortezubi,102.7
2021,,,,Kortezubi,Watts per capita,Kortezubi,180.8
2014,,,,Kortezubi,Watts per capita,Kortezubi,78.9
2015,,,,Kortezubi,Watts per capita,Kortezubi,82.8
2010,,,,Kortezubi,Watts per capita,Kortezubi,16.9
2012,,,,Kortezubi,Watts per capita,Kortezubi,59.3
2018,,,,Kortezubi,Watts per capita,Kortezubi,90.6
2010,,,,Kripan,Watts per capita,Kripan,575.8
2016,,,,Kripan,Watts per capita,Kripan,612.9
2013,,,,Kripan,Watts per capita,Kripan,606.4
2011,,,,Kripan,Watts per capita,Kripan,584.6
2015,,,,Kripan,Watts per capita,Kripan,609.6
2022,,,,Kripan,Watts per capita,Kripan,629.8
2020,,,,Kripan,Watts per capita,Kripan,629.8
2014,,,,Kripan,Watts per capita,Kripan,626.4
2018,,,,Kripan,Watts per capita,Kripan,616.2
2017,,,,Kripan,Watts per capita,Kripan,609.6
2019,,,,Kripan,Watts per capita,Kripan,623.0
2021,,,,Kripan,Watts per capita,Kripan,626.4
2023,,,,Kripan,Watts per capita,Kripan,632.6
2012,,,,Kripan,Watts per capita,Kripan,578.7
2016,,,,Kuartango,Watts per capita,Kuartango,118615.2
2010,,,,Kuartango,Watts per capita,Kuartango,127745.8
2018,,,,Kuartango,Watts per capita,Kuartango,119606.4
2017,,,,Kuartango,Watts per capita,Kuartango,117318.9
2022,,,,Kuartango,Watts per capita,Kuartango,111852.6
2023,,,,Kuartango,Watts per capita,Kuartango,109373.5
2019,,,,Kuartango,Watts per capita,Kuartango,115438.4
2015,,,,Kuartango,Watts per capita,Kuartango,120613.6
2020,,,,Kuartango,Watts per capita,Kuartango,108992.6
2013,,,,Kuartango,Watts per capita,Kuartango,124821.8
2011,,,,Kuartango,Watts per capita,Kuartango,125138.8
2012,,,,Kuartango,Watts per capita,Kuartango,125138.5
2021,,,,Kuartango,Watts per capita,Kuartango,106037.8
2014,,,,Kuartango,Watts per capita,Kuartango,123033.1
2016,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4651.0
2023,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4268.5
2010,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4577.4
2015,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4623.0
2012,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4534.5
2018,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4631.7
2017,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4635.4
2020,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4327.2
2013,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4537.9
2014,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4601.6
2019,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4429.7
2021,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4348.0
2011,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4454.5
2022,,,,Labastida / Bastida,Watts per capita,Labastida / Bastida,4237.1
2017,,,,Lagrán,Watts per capita,Lagrán,0.0
2012,,,,Lagrán,Watts per capita,Lagrán,0.0
2023,,,,Lagrán,Watts per capita,Lagrán,154.1
2020,,,,Lagrán,Watts per capita,Lagrán,0.0
2021,,,,Lagrán,Watts per capita,Lagrán,0.0
2016,,,,Lagrán,Watts per capita,Lagrán,0.0
2022,,,,Lagrán,Watts per capita,Lagrán,0.0
2013,,,,Lagrán,Watts per capita,Lagrán,0.0
2019,,,,Lagrán,Watts per capita,Lagrán,0.0
2018,,,,Lagrán,Watts per capita,Lagrán,0.0
2011,,,,Lagrán,Watts per capita,Lagrán,0.0
2015,,,,Lagrán,Watts per capita,Lagrán,0.0
2010,,,,Lagrán,Watts per capita,Lagrán,0.0
2014,,,,Lagrán,Watts per capita,Lagrán,0.0
2014,,,,Laguardia,Watts per capita,Laguardia,205.4
2011,,,,Laguardia,Watts per capita,Laguardia,204.8
2016,,,,Laguardia,Watts per capita,Laguardia,211.7
2023,,,,Laguardia,Watts per capita,Laguardia,659.4
2015,,,,Laguardia,Watts per capita,Laguardia,211.7
2018,,,,Laguardia,Watts per capita,Laguardia,211.7
2021,,,,Laguardia,Watts per capita,Laguardia,370.7
2019,,,,Laguardia,Watts per capita,Laguardia,213.8
2022,,,,Laguardia,Watts per capita,Laguardia,369.8
2017,,,,Laguardia,Watts per capita,Laguardia,208.9
2010,,,,Laguardia,Watts per capita,Laguardia,160.6
2012,,,,Laguardia,Watts per capita,Laguardia,204.0
2020,,,,Laguardia,Watts per capita,Laguardia,214.1
2013,,,,Laguardia,Watts per capita,Laguardia,639.4
2010,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1773.7
2012,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1777.4
2015,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1786.0
2023,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1961.1
2017,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1778.4
2013,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,801.7
2019,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1662.7
2011,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1783.2
2020,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1854.6
2018,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1729.3
2022,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1783.8
2014,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1783.2
2016,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1780.9
2021,,,,Lanciego / Lantziego,Watts per capita,Lanciego / Lantziego,1760.6
2021,,,,Lanestosa,Watts per capita,Lanestosa,75.2
2015,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2020,,,,Lanestosa,Watts per capita,Lanestosa,4.2
2023,,,,Lanestosa,Watts per capita,Lanestosa,145.7
2014,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2019,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2018,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2013,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2010,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2022,,,,Lanestosa,Watts per capita,Lanestosa,79.3
2011,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2012,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2016,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2017,,,,Lanestosa,Watts per capita,Lanestosa,0.0
2012,,,,Lantarón,Watts per capita,Lantarón,34108.3
2016,,,,Lantarón,Watts per capita,Lantarón,34946.5
2010,,,,Lantarón,Watts per capita,Lantarón,34693.9
2014,,,,Lantarón,Watts per capita,Lantarón,35477.8
2018,,,,Lantarón,Watts per capita,Lantarón,34734.4
2022,,,,Lantarón,Watts per capita,Lantarón,33169.7
2023,,,,Lantarón,Watts per capita,Lantarón,33483.9
2019,,,,Lantarón,Watts per capita,Lantarón,34624.1
2017,,,,Lantarón,Watts per capita,Lantarón,34909.2
2015,,,,Lantarón,Watts per capita,Lantarón,35866.4
2020,,,,Lantarón,Watts per capita,Lantarón,34273.1
2021,,,,Lantarón,Watts per capita,Lantarón,33643.6
2011,,,,Lantarón,Watts per capita,Lantarón,34420.9
2013,,,,Lantarón,Watts per capita,Lantarón,34359.1
2018,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,234.9
2010,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,163.2
2013,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,192.8
2011,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,169.2
2021,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,237.6
2019,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,235.7
2020,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,239.5
2012,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,198.8
2014,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,191.5
2017,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,191.7
2023,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,270.2
2022,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,239.5
2016,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,190.2
2015,,,,Lapuebla de Labarca,Watts per capita,Lapuebla de Labarca,192.1
2010,,,,Larrabetzu,Watts per capita,Larrabetzu,6.8
2023,,,,Larrabetzu,Watts per capita,Larrabetzu,127.4
2017,,,,Larrabetzu,Watts per capita,Larrabetzu,18.8
2011,,,,Larrabetzu,Watts per capita,Larrabetzu,7.2
2022,,,,Larrabetzu,Watts per capita,Larrabetzu,77.6
2018,,,,Larrabetzu,Watts per capita,Larrabetzu,18.8
2014,,,,Larrabetzu,Watts per capita,Larrabetzu,17.2
2019,,,,Larrabetzu,Watts per capita,Larrabetzu,18.8
2021,,,,Larrabetzu,Watts per capita,Larrabetzu,78.2
2015,,,,Larrabetzu,Watts per capita,Larrabetzu,17.3
2012,,,,Larrabetzu,Watts per capita,Larrabetzu,7.1
2016,,,,Larrabetzu,Watts per capita,Larrabetzu,18.9
2020,,,,Larrabetzu,Watts per capita,Larrabetzu,19.0
2013,,,,Larrabetzu,Watts per capita,Larrabetzu,17.4
2020,,,,Larraul,Watts per capita,Larraul,9.2
2019,,,,Larraul,Watts per capita,Larraul,9.6
2011,,,,Larraul,Watts per capita,Larraul,9.6
2010,,,,Larraul,Watts per capita,Larraul,9.8
2013,,,,Larraul,Watts per capita,Larraul,9.2
2023,,,,Larraul,Watts per capita,Larraul,25.3
2017,,,,Larraul,Watts per capita,Larraul,9.7
2016,,,,Larraul,Watts per capita,Larraul,9.9
2022,,,,Larraul,Watts per capita,Larraul,9.3
2015,,,,Larraul,Watts per capita,Larraul,9.8
2012,,,,Larraul,Watts per capita,Larraul,9.2
2018,,,,Larraul,Watts per capita,Larraul,9.8
2014,,,,Larraul,Watts per capita,Larraul,9.6
2021,,,,Larraul,Watts per capita,Larraul,9.2
2012,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.9
2021,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,190.6
2023,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,189.2
2011,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.9
2015,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.9
2016,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,5.4
2022,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,189.6
2010,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,2.7
2014,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.9
2017,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,6.6
2018,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,165.7
2020,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,189.4
2013,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,3.9
2019,,,,Lasarte-Oria,Watts per capita,Lasarte-Oria,179.3
2010,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.1
2018,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.5
2011,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.2
2013,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.3
2015,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.4
2022,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,17.5
2014,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.4
2020,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,16.2
2023,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,39.7
2019,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.5
2012,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.2
2021,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,17.5
2017,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.4
2016,,,,Laudio / Llodio,Watts per capita,Laudio / Llodio,15.4
2013,,,,Laukiz,Watts per capita,Laukiz,40.9
2011,,,,Laukiz,Watts per capita,Laukiz,40.7
2012,,,,Laukiz,Watts per capita,Laukiz,40.3
2019,,,,Laukiz,Watts per capita,Laukiz,45.8
2021,,,,Laukiz,Watts per capita,Laukiz,75.6
2014,,,,Laukiz,Watts per capita,Laukiz,40.5
2017,,,,Laukiz,Watts per capita,Laukiz,40.3
2023,,,,Laukiz,Watts per capita,Laukiz,114.4
2015,,,,Laukiz,Watts per capita,Laukiz,39.4
2020,,,,Laukiz,Watts per capita,Laukiz,65.0
2016,,,,Laukiz,Watts per capita,Laukiz,40.5
2010,,,,Laukiz,Watts per capita,Laukiz,41.0
2022,,,,Laukiz,Watts per capita,Laukiz,75.8
2018,,,,Laukiz,Watts per capita,Laukiz,40.2
2014,,,,Lazkao,Watts per capita,Lazkao,9.6
2020,,,,Lazkao,Watts per capita,Lazkao,12.1
2022,,,,Lazkao,Watts per capita,Lazkao,17.0
2012,,,,Lazkao,Watts per capita,Lazkao,8.6
2023,,,,Lazkao,Watts per capita,Lazkao,40.7
2021,,,,Lazkao,Watts per capita,Lazkao,14.6
2013,,,,Lazkao,Watts per capita,Lazkao,8.6
2018,,,,Lazkao,Watts per capita,Lazkao,12.0
2017,,,,Lazkao,Watts per capita,Lazkao,10.5
2011,,,,Lazkao,Watts per capita,Lazkao,8.1
2010,,,,Lazkao,Watts per capita,Lazkao,8.1
2015,,,,Lazkao,Watts per capita,Lazkao,9.5
2016,,,,Lazkao,Watts per capita,Lazkao,10.5
