Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2024,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,67.5
2023,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,74.2
2013,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,0.7
2019,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,65.8
2014,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,1.4
2013,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,58.8
2012,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,57.5
2022,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,64.0
2021,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,63.6
2015,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,61.9
2018,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,64.0
2023,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,9.0
2016,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,3.2
2013,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,59.5
2010,Medikua,Erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,0.6
2014,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,61.0
2016,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,63.3
2021,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,70.3
2011,Medikua,,Emakumea,Araba / Álava,10.000 biztanleko,54.7
2015,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,59.7
2010,Medikua,Ez erretiratuak,Emakumea,Araba / Álava,10.000 biztanleko,51.8
2018,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,70.7
2016,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,66.2
2024,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,11.6
2014,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,62.4
2010,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,53.2
2017,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,4.1
2023,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,85.3
2018,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,5.0
2013,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,59.3
2023,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,10.5
2020,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,7.5
2024,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,88.0
2018,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,65.7
2019,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,67.2
2015,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,64.3
2020,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,77.1
2011,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,56.4
2014,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,60.4
2013,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,61.1
2012,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,59.2
2015,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,61.8
2017,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,64.2
2011,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,1.5
2015,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.5
2012,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,1.8
2012,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,57.4
2017,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,68.3
2024,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,76.5
2022,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,73.7
2021,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,71.1
2023,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,74.8
2021,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,79.8
2011,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,54.9
2016,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,62.9
2020,Medikua,Ez erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,69.6
2021,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,8.7
2019,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,6.5
2010,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,54.4
2010,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,1.2
2019,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,73.7
2016,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,3.3
2022,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,8.7
2022,Medikua,,Emakumea,Bizkaia,10.000 biztanleko,82.3
2014,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,2.0
2013,Medikua,Erretiratuak,Emakumea,Bizkaia,10.000 biztanleko,1.9
2016,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,58.1
2024,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,11.3
2023,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,10.3
2019,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,6.1
2018,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,5.2
2014,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,2.8
2013,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,2.3
2012,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,2.2
2010,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,1.1
2015,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,57.1
2012,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,52.4
2023,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,75.0
2015,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,53.9
2018,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,62.1
2014,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,55.7
2010,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,48.9
2021,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,70.6
2010,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,47.7
2016,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,54.4
2019,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,58.1
2020,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,60.7
2019,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,64.2
2018,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,56.9
2012,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,50.3
2011,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,49.1
2017,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,55.6
2021,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,62.8
2014,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,53.0
2013,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,51.8
2017,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,60.1
2024,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,76.8
2022,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,72.9
2011,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,50.8
2011,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,1.4
2024,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,65.5
2023,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,64.8
2020,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,6.7
2020,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,67.4
2022,Medikua,Ez erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,63.6
2015,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,3.2
2016,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,3.8
2017,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,4.5
2021,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,7.8
2022,Medikua,Erretiratuak,Emakumea,Gipuzkoa,10.000 biztanleko,9.3
2013,Medikua,,Emakumea,Gipuzkoa,10.000 biztanleko,54.1
2018,Medikua,,Gizona,,10.000 biztanleko,59.7
2013,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,8.7
2024,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,42.7
2021,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,45.0
2014,Medikua,,Gizona,,10.000 biztanleko,58.5
2010,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,7.3
2022,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,44.6
2012,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,8.4
2020,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,15.8
2019,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,14.6
2012,Medikua,,Gizona,,10.000 biztanleko,57.4
2017,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,11.9
2023,Medikua,,Gizona,,10.000 biztanleko,62.7
2014,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,9.3
2010,Medikua,,Gizona,,10.000 biztanleko,56.5
2023,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,19.4
2018,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,12.8
2021,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,17.0
2011,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,7.5
2015,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,10.2
2024,Medikua,,Gizona,,10.000 biztanleko,63.1
2020,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,45.6
2016,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,10.9
2022,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,17.8
2019,Medikua,,Gizona,,10.000 biztanleko,60.4
2019,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,45.8
2023,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,43.3
2022,Medikua,,Gizona,,10.000 biztanleko,62.3
2015,Medikua,,Gizona,,10.000 biztanleko,58.4
2024,Medikua,Erretiratuak,Gizona,,10.000 biztanleko,20.4
2013,Medikua,,Gizona,,10.000 biztanleko,57.9
2021,Medikua,,Gizona,,10.000 biztanleko,62.0
2011,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,49.4
2017,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,47.1
2018,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,46.9
2013,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,49.2
2014,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,49.2
2015,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,48.2
2020,Medikua,,Gizona,,10.000 biztanleko,61.4
2017,Medikua,,Gizona,,10.000 biztanleko,59.1
2010,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,49.2
2011,Medikua,,Gizona,,10.000 biztanleko,56.9
2016,Medikua,,Gizona,,10.000 biztanleko,58.7
2016,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,47.8
2012,Medikua,Ez erretiratuak,Gizona,,10.000 biztanleko,49.0
2020,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,39.1
2023,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.8
2015,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,53.8
2012,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,45.7
2019,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.7
2019,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,14.7
2021,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,16.4
2017,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,13.2
2015,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,43.4
2020,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,15.7
2021,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,38.2
2024,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.4
2017,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.6
2012,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,7.5
2022,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,18.2
2023,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,18.8
2018,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,40.3
2016,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,12.0
2015,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,10.5
2010,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,50.9
2013,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,53.4
2024,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,35.8
2022,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.7
2019,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,39.9
2012,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,53.2
2014,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,9.3
2011,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,6.7
2011,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,52.2
2021,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.6
2016,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,53.8
2018,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.3
2024,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,18.6
2023,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,35.9
2022,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,36.5
2013,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,8.6
2018,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,13.9
2010,Medikua,Erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,6.9
2016,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,41.8
2013,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,44.8
2017,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,41.4
2011,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,45.5
2014,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.0
2014,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,44.7
2020,Medikua,,Gizona,Araba / Álava,10.000 biztanleko,54.8
2010,Medikua,Ez erretiratuak,Gizona,Araba / Álava,10.000 biztanleko,44.0
2022,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,50.2
2020,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,50.5
2021,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,50.3
2023,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,48.8
2012,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,51.8
2019,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,50.4
2018,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.0
2024,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,22.5
2024,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,48.0
2013,Medikua,,Gizona,Bizkaia,10.000 biztanleko,62.0
2013,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.7
2015,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.5
2016,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,11.0
2014,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,53.0
2016,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.4
2018,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,13.3
2011,Medikua,,Gizona,Bizkaia,10.000 biztanleko,60.7
2021,Medikua,,Gizona,Bizkaia,10.000 biztanleko,68.6
2023,Medikua,,Gizona,Bizkaia,10.000 biztanleko,70.1
2010,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,8.1
2014,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,9.7
2011,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.1
2010,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,52.1
2017,Medikua,Ez erretiratuak,Gizona,Bizkaia,10.000 biztanleko,51.7
2016,Medikua,,Gizona,Bizkaia,10.000 biztanleko,63.4
2015,Medikua,,Gizona,Bizkaia,10.000 biztanleko,62.7
2012,Medikua,,Gizona,Bizkaia,10.000 biztanleko,61.1
2019,Medikua,,Gizona,Bizkaia,10.000 biztanleko,66.0
2020,Medikua,,Gizona,Bizkaia,10.000 biztanleko,67.6
2017,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,12.2
2015,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,10.3
2013,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,9.2
2019,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,15.6
2020,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,17.1
2021,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,18.3
2022,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,18.9
2012,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,9.3
2017,Medikua,,Gizona,Bizkaia,10.000 biztanleko,63.9
2010,Medikua,,Gizona,Bizkaia,10.000 biztanleko,60.2
2023,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,21.2
2018,Medikua,,Gizona,Bizkaia,10.000 biztanleko,65.3
2024,Medikua,,Gizona,Bizkaia,10.000 biztanleko,70.6
2022,Medikua,,Gizona,Bizkaia,10.000 biztanleko,69.0
2011,Medikua,Erretiratuak,Gizona,Bizkaia,10.000 biztanleko,8.6
2014,Medikua,,Gizona,Bizkaia,10.000 biztanleko,62.7
2010,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,46.9
2016,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,43.4
2014,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,45.1
2015,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,43.7
2012,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,46.0
2020,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,40.8
2010,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.0
2018,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,41.8
2021,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,40.0
2019,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,41.4
2024,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,37.6
2023,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,38.1
2022,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,39.5
2020,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,54.7
2015,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.5
2023,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,55.0
2017,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.6
2013,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,7.8
2014,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,8.7
2011,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,6.0
2016,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,10.2
2017,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,10.9
2012,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,7.3
2018,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,11.6
2020,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,13.9
2021,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,15.0
2022,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,15.9
2019,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,12.8
2023,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,16.9
2012,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.3
2019,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,54.2
2011,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,52.9
2014,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.8
2013,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.4
2021,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,55.0
2022,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,55.4
2013,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,45.6
2024,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,55.4
2016,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.6
2024,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,17.8
2010,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,6.1
2017,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,42.6
2018,Medikua,,Gizona,Gipuzkoa,10.000 biztanleko,53.4
2011,Medikua,Ez erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,46.7
2015,Medikua,Erretiratuak,Gizona,Gipuzkoa,10.000 biztanleko,9.8
2015,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2023,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,80.8
2010,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,68.0
2020,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2010,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,67.9
2023,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,89.2
2014,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.0
2017,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,75.2
2013,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,70.7
2022,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2012,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2018,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,75.8
2011,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,69.9
2012,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,70.4
2024,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,81.7
2016,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2020,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,78.6
2021,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,79.3
2012,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,70.3
2024,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,6.7
2021,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,79.4
2022,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,79.6
2023,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,8.4
2024,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,88.5
2015,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,73.5
2021,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2013,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,70.7
2019,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,76.5
2010,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2017,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.0
2013,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.1
2020,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,78.6
2019,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.0
2017,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,75.1
2016,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,74.5
2018,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.0
2011,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,,10.000 biztanleko,0.2
2014,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,72.1
2022,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,79.5
2016,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,74.5
2018,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,75.8
2015,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,73.6
2019,Erizaintzako eta obstetriziako profesionalak,,,,10.000 biztanleko,76.5
2014,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,72.1
2011,Erizaintzako eta obstetriziako profesionalak,Ez erretiratuak,,,10.000 biztanleko,69.7
2021,Erizaintzako eta obstetriziako profesionalak,Erretiratuak,,Araba / Álava,10.000 biztanleko,0.4
