Year,Lanbidea,Lan-egoera,Sexua,Lurralde historikoa,Units,Value
2012,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,6.0
2017,,,,Gipuzkoa,10.000 biztanleko,152.9
2011,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,4.6
2022,,,,Gipuzkoa,10.000 biztanleko,167.0
2023,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,152.4
2020,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,12.8
2023,,,,Gipuzkoa,10.000 biztanleko,194.7
2021,,,,Gipuzkoa,10.000 biztanleko,164.7
2018,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,10.3
2012,,,,Gipuzkoa,10.000 biztanleko,144.3
2018,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,144.0
2012,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,138.3
2010,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,135.6
2019,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,145.6
2015,,,,Gipuzkoa,10.000 biztanleko,150.2
2024,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,153.5
2024,,,,Gipuzkoa,10.000 biztanleko,191.8
2010,,,,Gipuzkoa,10.000 biztanleko,140.0
2016,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,143.3
2016,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,8.6
2024,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,38.2
2014,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,141.5
2022,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,15.6
2010,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,4.4
2020,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,149.1
2015,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,142.2
2018,,,,Gipuzkoa,10.000 biztanleko,154.3
2017,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,143.5
2013,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,6.4
2016,,,,Gipuzkoa,10.000 biztanleko,151.8
2011,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,130.7
2013,,,,Gipuzkoa,10.000 biztanleko,145.8
2013,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,139.4
2017,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,9.4
2014,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,7.0
2023,,Erretiratuak,,Gipuzkoa,10.000 biztanleko,42.3
2014,,,,Gipuzkoa,10.000 biztanleko,148.5
2021,,Ez erretiratuak,,Gipuzkoa,10.000 biztanleko,150.8
2011,,,,Gipuzkoa,10.000 biztanleko,142.8
2023,,Ez erretiratuak,Emakumea,,10.000 biztanleko,244.4
2014,,Ez erretiratuak,Emakumea,,10.000 biztanleko,216.1
2021,,Ez erretiratuak,Emakumea,,10.000 biztanleko,239.3
2024,,Ez erretiratuak,Emakumea,,10.000 biztanleko,247.4
2023,,Erretiratuak,Emakumea,,10.000 biztanleko,27.1
2012,,Erretiratuak,Emakumea,,10.000 biztanleko,2.8
2020,,Erretiratuak,Emakumea,,10.000 biztanleko,8.9
2024,,,Emakumea,,10.000 biztanleko,273.3
2020,,Ez erretiratuak,Emakumea,,10.000 biztanleko,236.0
2013,,,Emakumea,,10.000 biztanleko,215.2
2019,,,Emakumea,,10.000 biztanleko,238.1
2017,,Ez erretiratuak,Emakumea,,10.000 biztanleko,225.4
2012,,,Emakumea,,10.000 biztanleko,211.3
2014,,Erretiratuak,Emakumea,,10.000 biztanleko,3.2
2017,,,Emakumea,,10.000 biztanleko,231.4
2014,,,Emakumea,,10.000 biztanleko,219.8
2018,,,Emakumea,,10.000 biztanleko,234.8
2023,,,Emakumea,,10.000 biztanleko,271.4
2022,,Erretiratuak,Emakumea,,10.000 biztanleko,10.9
2010,,,Emakumea,,10.000 biztanleko,201.2
2015,,Erretiratuak,Emakumea,,10.000 biztanleko,3.9
2013,,Erretiratuak,Emakumea,,10.000 biztanleko,2.9
2019,,Erretiratuak,Emakumea,,10.000 biztanleko,7.9
2018,,Erretiratuak,Emakumea,,10.000 biztanleko,6.6
2016,,Erretiratuak,Emakumea,,10.000 biztanleko,4.8
2017,,Erretiratuak,Emakumea,,10.000 biztanleko,5.7
2010,,Erretiratuak,Emakumea,,10.000 biztanleko,2.1
2020,,,Emakumea,,10.000 biztanleko,245.2
2011,,Erretiratuak,Emakumea,,10.000 biztanleko,2.7
2010,,Ez erretiratuak,Emakumea,,10.000 biztanleko,198.8
2012,,Ez erretiratuak,Emakumea,,10.000 biztanleko,208.1
