Year,Sexua,Lurralde historikoa,Units,Value
2012,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.3
2015,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.67
2013,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.33
2020,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,4.85
2011,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.29
2018,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,5.77
2016,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.88
2014,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.58
2010,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.45
2023,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,6.85
2017,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,3.34
2019,Gizona,Araba / Álava,Bizirik jaiotako 1.000 umeko,2.29
2023,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.22
2022,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,4.31
2021,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,2.76
2020,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,2.88
2019,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.76
2018,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.22
2016,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.83
2017,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.17
2015,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.47
2014,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,2.22
2013,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,2.2
2012,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,3.19
2011,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,2.78
2010,Gizona,Bizkaia,Bizirik jaiotako 1.000 umeko,4.07
2020,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.09
2019,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,4.61
2018,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.83
2017,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.44
2016,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.6
2015,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.44
2011,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.2
2014,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.71
2012,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,2.46
2013,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.42
2010,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,1.91
2023,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,1.3
2022,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,4.22
2021,Gizona,Gipuzkoa,Bizirik jaiotako 1.000 umeko,3.15
