Year,Series,Lurralde historikoa,Units,Value
2025,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,7062.7
2014,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4015.4
2017,Airez garraiatutako bidaiariak,Bizkaia,Bidaiariak milaka,4973.8
2022,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,383.6
2011,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,248.1
2025,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,472.7
2024,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,486.5
2020,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,83.9
2023,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,482.7
2021,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,155.3
2019,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,320.4
2018,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,289.4
2017,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,281.9
2016,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,264.4
2015,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,255.1
2013,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,245.0
2012,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,262.8
2010,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,286.1
2014,Airez garraiatutako bidaiariak,Gipuzkoa,Bidaiariak milaka,245.4
2022,Airez garraiatutako salgaiak,,Kilotonak,74.3
2019,Airez garraiatutako salgaiak,,Kilotonak,65.5
2014,Airez garraiatutako salgaiak,,Kilotonak,45.0
2015,Airez garraiatutako salgaiak,,Kilotonak,49.2
2016,Airez garraiatutako salgaiak,,Kilotonak,55.1
2017,Airez garraiatutako salgaiak,,Kilotonak,62.4
2010,Airez garraiatutako salgaiak,,Kilotonak,30.5
2020,Airez garraiatutako salgaiak,,Kilotonak,64.7
2012,Airez garraiatutako salgaiak,,Kilotonak,36.9
2024,Airez garraiatutako salgaiak,,Kilotonak,71.4
2021,Airez garraiatutako salgaiak,,Kilotonak,73.0
2011,Airez garraiatutako salgaiak,,Kilotonak,37.4
2013,Airez garraiatutako salgaiak,,Kilotonak,40.0
2018,Airez garraiatutako salgaiak,,Kilotonak,63.4
2025,Airez garraiatutako salgaiak,,Kilotonak,70.2
2023,Airez garraiatutako salgaiak,,Kilotonak,72.4
2015,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,46.4
2013,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,37.5
2012,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,34.6
2016,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,52.1
2025,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,69.0
2011,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,34.7
2010,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,28.0
2021,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,72.5
2022,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,73.6
2024,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,70.5
2019,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,64.5
2017,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,60.5
2018,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,62.1
2014,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,42.2
2020,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,64.3
2023,Airez garraiatutako salgaiak,Araba / Álava,Kilotonak,71.7
2018,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,1.2
2017,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.0
2025,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,1.1
2020,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,0.4
2023,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,0.8
2022,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,0.7
2024,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,0.9
2013,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.5
2011,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.6
2010,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.5
2012,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.3
2015,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.9
2021,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,0.5
2014,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,2.9
2019,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,1.0
2016,Airez garraiatutako salgaiak,Bizkaia,Kilotonak,3.0
2022,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2016,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2014,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2015,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2019,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2013,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2012,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2021,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2023,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2011,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2010,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2024,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2018,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2017,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2025,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
2020,Airez garraiatutako salgaiak,Gipuzkoa,Kilotonak,0.0
