Year,Lurralde historikoa,Sexua,Units,Value
2012,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2020,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.62
2023,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,4.28
2014,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,1.79
2018,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.89
2019,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,0.76
2010,Araba / Álava,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2022,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.3
2021,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.38
2020,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.05
2019,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.76
2018,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.23
2017,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.81
2016,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.7
2015,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.43
2014,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.41
2013,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.0
2012,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.5
2011,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,0.93
2010,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,2.4
2023,Bizkaia,Gizona,Bizirik jaiotako 1.000 umeko,1.76
2015,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.19
2014,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.16
2013,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,3.11
2012,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.37
2011,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.28
2017,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.38
2010,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.55
2023,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,0.86
2022,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,2.11
2021,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.57
2020,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.93
2019,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.92
2018,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.41
2016,Gipuzkoa,Gizona,Bizirik jaiotako 1.000 umeko,1.3
