Year,Series,Sexua,Kontratu mota,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2023,Okupazio-tasa,,,,,Antzuola,%,Antzuola,81.1
2015,Okupazio-tasa,,,,,Antzuola,%,Antzuola,74.3
2021,Okupazio-tasa,,,,,Antzuola,%,Antzuola,78.7
2019,Okupazio-tasa,,,,,Antzuola,%,Antzuola,79.3
2010,Okupazio-tasa,,,,,Antzuola,%,Antzuola,71.5
2016,Okupazio-tasa,,,,,Antzuola,%,Antzuola,74.9
2020,Okupazio-tasa,,,,,Antzuola,%,Antzuola,79.6
2022,Okupazio-tasa,,,,,Antzuola,%,Antzuola,81.5
2023,Okupazio-tasa,,,,,Añana,%,Añana,76.5
2021,Okupazio-tasa,,,,,Añana,%,Añana,76.1
2019,Okupazio-tasa,,,,,Añana,%,Añana,78.3
2015,Okupazio-tasa,,,,,Añana,%,Añana,66.3
2010,Okupazio-tasa,,,,,Añana,%,Añana,71.2
2016,Okupazio-tasa,,,,,Añana,%,Añana,74.8
2020,Okupazio-tasa,,,,,Añana,%,Añana,78.6
2018,Okupazio-tasa,,,,,Añana,%,Añana,75.2
2022,Okupazio-tasa,,,,,Añana,%,Añana,75.2
2019,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,77.4
2022,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,78.8
2020,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,73.8
2023,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,80.5
2016,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,80.6
2010,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,82.5
2015,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,70.5
2021,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,73.4
2018,Okupazio-tasa,,,,,Arakaldo,%,Arakaldo,75.5
2020,Okupazio-tasa,,,,,Arama,%,Arama,76.6
2018,Okupazio-tasa,,,,,Arama,%,Arama,82.6
2010,Okupazio-tasa,,,,,Arama,%,Arama,72.4
2022,Okupazio-tasa,,,,,Arama,%,Arama,74.4
2016,Okupazio-tasa,,,,,Arama,%,Arama,80.7
2015,Okupazio-tasa,,,,,Arama,%,Arama,75.6
2023,Okupazio-tasa,,,,,Arama,%,Arama,80.7
2019,Okupazio-tasa,,,,,Arama,%,Arama,78.8
2021,Okupazio-tasa,,,,,Arama,%,Arama,76.1
2016,Okupazio-tasa,,,,,Aramaio,%,Aramaio,72.3
2015,Okupazio-tasa,,,,,Aramaio,%,Aramaio,72.0
2022,Okupazio-tasa,,,,,Aramaio,%,Aramaio,77.4
2021,Okupazio-tasa,,,,,Aramaio,%,Aramaio,73.7
2023,Okupazio-tasa,,,,,Aramaio,%,Aramaio,78.6
2020,Okupazio-tasa,,,,,Aramaio,%,Aramaio,76.1
2019,Okupazio-tasa,,,,,Aramaio,%,Aramaio,77.2
2010,Okupazio-tasa,,,,,Aramaio,%,Aramaio,74.0
2018,Okupazio-tasa,,,,,Aramaio,%,Aramaio,77.3
2020,Okupazio-tasa,,,,,Arantzazu,%,Arantzazu,71.6
