Year,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2020,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2016,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2014,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2017,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2015,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2012,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Aduna,100.000 biztanleko,Aduna,0.0
2013,,,,Aduna,100.000 biztanleko,Aduna,0.0
2014,,,,Aduna,100.000 biztanleko,Aduna,0.0
2019,,,,Aduna,100.000 biztanleko,Aduna,0.0
2011,,,,Aduna,100.000 biztanleko,Aduna,0.0
2020,,,,Aduna,100.000 biztanleko,Aduna,0.0
2022,,,,Aduna,100.000 biztanleko,Aduna,0.0
2021,,,,Aduna,100.000 biztanleko,Aduna,0.0
2010,,,,Aduna,100.000 biztanleko,Aduna,0.0
2016,,,,Aduna,100.000 biztanleko,Aduna,0.0
2018,,,,Aduna,100.000 biztanleko,Aduna,0.0
2012,,,,Aduna,100.000 biztanleko,Aduna,0.0
2023,,,,Aduna,100.000 biztanleko,Aduna,0.0
2015,,,,Aduna,100.000 biztanleko,Aduna,0.0
2017,,,,Aduna,100.000 biztanleko,Aduna,0.0
2014,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2010,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2020,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2024,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2023,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2018,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2019,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2012,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2021,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2016,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2015,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2022,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2013,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2017,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2011,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,0.0
2017,,,,Aia,100.000 biztanleko,Aia,0.0
2010,,,,Aia,100.000 biztanleko,Aia,0.0
2013,,,,Aia,100.000 biztanleko,Aia,0.0
2021,,,,Aia,100.000 biztanleko,Aia,0.0
2011,,,,Aia,100.000 biztanleko,Aia,0.0
2014,,,,Aia,100.000 biztanleko,Aia,0.0
2018,,,,Aia,100.000 biztanleko,Aia,0.0
2020,,,,Aia,100.000 biztanleko,Aia,0.0
2023,,,,Aia,100.000 biztanleko,Aia,0.0
2015,,,,Aia,100.000 biztanleko,Aia,0.0
2024,,,,Aia,100.000 biztanleko,Aia,0.0
2022,,,,Aia,100.000 biztanleko,Aia,0.0
2012,,,,Aia,100.000 biztanleko,Aia,0.0
2019,,,,Aia,100.000 biztanleko,Aia,0.0
2016,,,,Aia,100.000 biztanleko,Aia,0.0
2020,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2018,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2019,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2015,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2022,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2021,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2011,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2012,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2010,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2014,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2016,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2013,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2017,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2023,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2024,,,,Aizarnazabal,100.000 biztanleko,Aizarnazabal,0.0
2024,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2022,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2020,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2012,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2016,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2021,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2014,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2015,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2018,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2019,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2011,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2017,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2010,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2013,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2023,,,,Ajangiz,100.000 biztanleko,Ajangiz,0.0
2024,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2011,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2017,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2022,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2020,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2016,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2015,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2021,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2014,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2010,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2012,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2019,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2013,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2023,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2018,,,,Albiztur,100.000 biztanleko,Albiztur,0.0
2019,,,,Alegia,100.000 biztanleko,Alegia,0.0
2016,,,,Alegia,100.000 biztanleko,Alegia,0.0
2023,,,,Alegia,100.000 biztanleko,Alegia,0.0
2022,,,,Alegia,100.000 biztanleko,Alegia,0.0
2024,,,,Alegia,100.000 biztanleko,Alegia,0.0
2012,,,,Alegia,100.000 biztanleko,Alegia,0.0
2014,,,,Alegia,100.000 biztanleko,Alegia,0.0
2017,,,,Alegia,100.000 biztanleko,Alegia,0.0
2018,,,,Alegia,100.000 biztanleko,Alegia,0.0
2010,,,,Alegia,100.000 biztanleko,Alegia,0.0
2013,,,,Alegia,100.000 biztanleko,Alegia,0.0
2020,,,,Alegia,100.000 biztanleko,Alegia,0.0
2011,,,,Alegia,100.000 biztanleko,Alegia,0.0
2015,,,,Alegia,100.000 biztanleko,Alegia,0.0
2021,,,,Alegia,100.000 biztanleko,Alegia,0.0
2011,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2014,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2020,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2017,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2021,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2019,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2018,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2024,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2010,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2016,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2023,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2015,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2022,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2012,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2013,,,,Alegría-Dulantzi,100.000 biztanleko,Alegría-Dulantzi,0.0
2010,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2012,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2015,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2020,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2018,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2013,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2014,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2017,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2024,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2016,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2022,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2019,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2021,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2023,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2011,,,,Alkiza,100.000 biztanleko,Alkiza,0.0
2022,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2010,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2021,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2016,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2023,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2015,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2019,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2013,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2012,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2020,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2017,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2018,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2011,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2024,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2014,,,,Alonsotegi,100.000 biztanleko,Alonsotegi,0.0
2020,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2019,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2013,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2023,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2017,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2024,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2021,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2015,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2014,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2012,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2016,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2018,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2011,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2010,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2022,,,,Altzaga,100.000 biztanleko,Altzaga,0.0
2022,,,,Altzo,100.000 biztanleko,Altzo,0.0
2017,,,,Altzo,100.000 biztanleko,Altzo,0.0
2010,,,,Altzo,100.000 biztanleko,Altzo,0.0
2013,,,,Altzo,100.000 biztanleko,Altzo,0.0
2024,,,,Altzo,100.000 biztanleko,Altzo,0.0
2014,,,,Altzo,100.000 biztanleko,Altzo,0.0
2019,,,,Altzo,100.000 biztanleko,Altzo,0.0
2016,,,,Altzo,100.000 biztanleko,Altzo,0.0
2011,,,,Altzo,100.000 biztanleko,Altzo,0.0
2012,,,,Altzo,100.000 biztanleko,Altzo,0.0
2020,,,,Altzo,100.000 biztanleko,Altzo,0.0
2015,,,,Altzo,100.000 biztanleko,Altzo,0.0
2023,,,,Altzo,100.000 biztanleko,Altzo,0.0
2018,,,,Altzo,100.000 biztanleko,Altzo,0.0
2021,,,,Altzo,100.000 biztanleko,Altzo,0.0
2014,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2017,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2024,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2020,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2022,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2016,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2015,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2021,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2019,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2018,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2010,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2011,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2012,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2023,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2013,,,,Amezketa,100.000 biztanleko,Amezketa,0.0
2022,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2015,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2014,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2019,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2013,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2018,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2012,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2023,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2021,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2016,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2017,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2020,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2024,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2011,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2010,,,,Amorebieta-Etxano,100.000 biztanleko,Amorebieta-Etxano,0.0
2016,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2019,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2017,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2010,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2018,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2022,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2012,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2023,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2024,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2014,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2011,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2013,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2015,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2021,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2020,,,,Amoroto,100.000 biztanleko,Amoroto,0.0
2011,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2015,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2012,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2021,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2017,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2022,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2014,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2024,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2013,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2018,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2019,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2010,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2020,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2016,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2023,,,,Amurrio,100.000 biztanleko,Amurrio,0.0
2015,,,,Andoain,100.000 biztanleko,Andoain,0.0
2022,,,,Andoain,100.000 biztanleko,Andoain,0.0
2011,,,,Andoain,100.000 biztanleko,Andoain,0.0
2019,,,,Andoain,100.000 biztanleko,Andoain,0.0
2014,,,,Andoain,100.000 biztanleko,Andoain,0.0
2018,,,,Andoain,100.000 biztanleko,Andoain,0.0
2021,,,,Andoain,100.000 biztanleko,Andoain,0.0
2010,,,,Andoain,100.000 biztanleko,Andoain,0.0
2013,,,,Andoain,100.000 biztanleko,Andoain,0.0
2024,,,,Andoain,100.000 biztanleko,Andoain,0.0
2023,,,,Andoain,100.000 biztanleko,Andoain,0.0
2012,,,,Andoain,100.000 biztanleko,Andoain,0.0
2016,,,,Andoain,100.000 biztanleko,Andoain,0.0
2017,,,,Andoain,100.000 biztanleko,Andoain,0.0
2020,,,,Andoain,100.000 biztanleko,Andoain,0.0
2016,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2019,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2015,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2010,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2012,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2023,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2018,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2020,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2024,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2013,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2022,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2017,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2021,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2014,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2011,,,,Anoeta,100.000 biztanleko,Anoeta,0.0
2010,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2013,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2016,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2011,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2022,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2012,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2023,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2015,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2021,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2017,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2020,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2024,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2018,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2019,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2014,,,,Antzuola,100.000 biztanleko,Antzuola,0.0
2024,,,,Añana,100.000 biztanleko,Añana,0.0
2011,,,,Añana,100.000 biztanleko,Añana,0.0
2014,,,,Añana,100.000 biztanleko,Añana,0.0
2019,,,,Añana,100.000 biztanleko,Añana,0.0
2017,,,,Añana,100.000 biztanleko,Añana,0.0
2021,,,,Añana,100.000 biztanleko,Añana,0.0
2010,,,,Añana,100.000 biztanleko,Añana,0.0
2018,,,,Añana,100.000 biztanleko,Añana,0.0
2012,,,,Añana,100.000 biztanleko,Añana,0.0
2020,,,,Añana,100.000 biztanleko,Añana,0.0
2023,,,,Añana,100.000 biztanleko,Añana,0.0
2016,,,,Añana,100.000 biztanleko,Añana,0.0
2015,,,,Añana,100.000 biztanleko,Añana,0.0
2013,,,,Añana,100.000 biztanleko,Añana,0.0
2022,,,,Añana,100.000 biztanleko,Añana,0.0
2016,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2011,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2013,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2010,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2012,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2018,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2017,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2024,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2014,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2015,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2020,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2019,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2023,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2021,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2022,,,,Arakaldo,100.000 biztanleko,Arakaldo,0.0
2011,,,,Arama,100.000 biztanleko,Arama,0.0
2015,,,,Arama,100.000 biztanleko,Arama,0.0
2021,,,,Arama,100.000 biztanleko,Arama,0.0
2022,,,,Arama,100.000 biztanleko,Arama,0.0
2014,,,,Arama,100.000 biztanleko,Arama,0.0
2012,,,,Arama,100.000 biztanleko,Arama,0.0
2016,,,,Arama,100.000 biztanleko,Arama,0.0
2010,,,,Arama,100.000 biztanleko,Arama,0.0
2019,,,,Arama,100.000 biztanleko,Arama,0.0
2020,,,,Arama,100.000 biztanleko,Arama,0.0
2018,,,,Arama,100.000 biztanleko,Arama,0.0
2023,,,,Arama,100.000 biztanleko,Arama,0.0
2024,,,,Arama,100.000 biztanleko,Arama,0.0
2017,,,,Arama,100.000 biztanleko,Arama,0.0
2013,,,,Arama,100.000 biztanleko,Arama,0.0
2018,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2014,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2010,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2023,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2013,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2022,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2024,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2016,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2020,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2021,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2011,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2019,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2012,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2017,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2015,,,,Aramaio,100.000 biztanleko,Aramaio,0.0
2014,,,,Arantzazu,100.000 biztanleko,Arantzazu,0.0
2010,,,,Arantzazu,100.000 biztanleko,Arantzazu,0.0
