Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,201.4
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,68.7
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,68.9
2019,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,14.0
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,213.2
2018,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,243.0
2020,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,224.1
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,217.6
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,546.4
2012,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,232.0
2011,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,257.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,51.5
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,536.3
2022,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,243.6
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,553.9
2022,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.6
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,77.8
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,574.1
2013,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,247.7
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,55.4
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,67.8
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,207.1
2017,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,268.7
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,71.5
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,538.1
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,546.6
2015,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,21.1
2012,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,19.3
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,209.3
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,191.6
2021,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,23.0
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,491.8
2014,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,12.5
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Araba / Álava,,,100.000 biztanleko,Araba / Álava,544.7
2011,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,22.5
2015,Heriotza-tasa,Minbizia,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,263.6
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,57.4
2010,Heriotza-tasa,Diabetesa,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,25.5
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,,Araba / Álava,,,100.000 biztanleko,Araba / Álava,69.2
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",,Bizkaia,,,100.000 biztanleko,Bizkaia,684.1
2022,Heriotza-tasa,Minbizia,,Bizkaia,,,100.000 biztanleko,Bizkaia,301.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,,Bizkaia,,,100.000 biztanleko,Bizkaia,285.3
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,,Bizkaia,,,100.000 biztanleko,Bizkaia,72.9
