Year,Series,Gaixotasun ez-kutsakorra,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,23.6
2011,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,222.7
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,556.6
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,72.3
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,68.6
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,57.8
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,52.3
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,285.4
2013,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,206.0
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,583.9
2019,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,226.5
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,619.1
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,46.9
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,601.9
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,605.0
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,564.5
2010,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,209.0
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,51.0
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,300.9
2021,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,229.8
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,614.1
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,587.6
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,294.9
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,61.8
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,286.1
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,289.9
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,278.7
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,268.2
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,620.9
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,278.1
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,607.0
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,289.4
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,620.5
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,298.2
2018,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,22.6
2016,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,22.0
2014,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,25.5
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,292.8
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,81.7
2010,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,24.9
2015,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,25.7
2012,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,24.2
2023,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,22.4
2017,Heriotza-tasa,Minbizia,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,218.5
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,563.5
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,594.9
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,292.8
2011,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,21.8
2020,Heriotza-tasa,Diabetesa,Emakumea,Bizkaia,,,100.000 biztanleko,Bizkaia,25.2
2010,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,188.0
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,68.0
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,565.7
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,47.3
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,530.0
2010,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,28.8
2011,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,203.9
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,260.4
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,539.6
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,546.6
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,535.3
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,526.4
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,59.6
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,543.8
2019,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,209.8
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,71.3
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,554.0
2015,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,214.6
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,575.1
2011,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,26.7
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,274.3
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,264.5
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,250.5
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,566.4
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,274.6
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,65.0
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,528.7
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,572.4
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,259.8
2023,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,209.5
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,230.5
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,258.1
2017,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,16.7
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,253.0
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,264.7
2012,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,26.6
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,243.4
2022,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,23.7
2021,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,19.1
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,74.0
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,65.4
2018,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,22.4
2016,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,17.9
2013,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,27.7
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,257.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,55.6
2019,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,21.2
2015,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,22.6
2023,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,27.1
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,256.3
2020,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,21.7
2022,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,208.5
2014,Heriotza-tasa,Diabetesa,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,20.7
2020,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,201.6
2021,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,213.6
2016,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,200.2
2014,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,208.7
2013,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,196.9
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,553.8
2017,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,214.6
2018,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,216.9
2012,Heriotza-tasa,Minbizia,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,189.3
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,47.1
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,41.7
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,71.0
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,68.8
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,60.2
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,58.4
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,560.7
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Emakumea,Gipuzkoa,,,100.000 biztanleko,Gipuzkoa,298.0
2015,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,20.2
2019,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,699.3
2011,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,351.9
2023,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,19.9
2018,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,260.1
2013,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,19.2
2020,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,668.5
2015,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,256.4
2018,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,88.8
2014,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,689.1
2020,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,340.3
2020,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,62.6
2018,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,353.9
2017,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,257.1
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,85.6
2012,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,355.1
2014,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,238.7
2021,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,18.7
2011,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,253.9
2011,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,77.6
2011,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,19.5
2017,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,89.9
2022,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,21.5
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,251.5
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,82.2
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,678.7
2012,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,706.3
2017,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,716.5
2010,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,260.1
2022,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,681.6
2016,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,258.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,721.4
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,719.8
2021,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,681.7
2010,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,699.3
2014,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,17.6
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,90.1
2011,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,702.9
2016,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,85.2
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,66.0
2023,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,251.8
2023,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,340.0
2017,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,353.3
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,75.1
2010,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,343.2
2013,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,348.9
2012,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,249.9
2015,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,%,,14.0
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,714.0
2020,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,243.3
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,77.9
2021,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,260.7
2019,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,%,,12.8
2015,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,353.1
2019,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,18.4
2010,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,20.9
2020,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,22.3
2017,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,16.3
2014,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,354.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,67.0
2022,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,67.2
2022,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,340.1
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,100.000 biztanleko,,691.4
2010,Hilkortasun goiztiarraren tasa (30-70 urte),"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,,,,%,,15.4
2013,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,244.5
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,,,,100.000 biztanleko,,78.8
2019,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,343.8
2022,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,,,,100.000 biztanleko,,252.9
2021,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,336.3
2016,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,18.7
2016,Heriotza-tasa,Minbizia,Gizona,,,,100.000 biztanleko,,352.1
2018,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,18.7
2012,Heriotza-tasa,Diabetesa,Gizona,,,,100.000 biztanleko,,19.1
2015,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,79.2
2010,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,70.0
2023,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,595.0
2019,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,92.1
2013,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,85.7
2014,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,291.0
2019,Heriotza-tasa,Gaixotasun kardiobaskularrak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,203.3
2021,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,53.0
2018,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,319.7
2023,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,292.9
2023,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,65.3
2013,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,624.5
2016,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,641.5
2020,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,271.8
2012,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,86.4
2013,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,318.9
2014,Heriotza-tasa,Arnas gaixotasun kronikoak,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,67.4
2021,Heriotza-tasa,Minbizia,Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,300.1
2018,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,630.8
2015,Heriotza-tasa,"Gaixotasun kardiobaskularrak, arnas gaixotasun kronikoak, minbizia edo diabetesa",Gizona,Araba / Álava,,,100.000 biztanleko,Araba / Álava,622.7
