Year,Series,Isurketa sektorea,Units,Value
2016,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.24
2018,"Berotegi-efektuko gasen isurketak, guztira, BPGren unitateko",,CO2 kg baliokideak euroko,0.23
2021,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.04
2019,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.48
2016,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.62
2017,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,9.06
2023,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,7.36
2018,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.74
2010,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,10.01
2012,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,9.38
2014,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.67
2015,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.96
2013,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.65
2020,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,7.49
2011,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,9.3
2022,"Berotegi-efektuko gasen isurketak, guztira, biztanleko",,Tona CO2 baliokide biztanle bakoitzeko ,8.34
2011,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-2.46
2019,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-10.39
2012,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-1.49
2017,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-4.9
2018,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-8.07
2016,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-9.69
2010,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,4.77
2021,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-15.17
2020,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-20.71
2013,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-9.36
2023,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-21.98
2014,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-9.21
2015,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-6.21
2022,"Berotegi-efektuko gasen isuriak, 1990. urtearekiko",,%,-12.04
2020,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-35.52
2014,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-26.17
2022,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-28.47
2019,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-27.13
2012,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-19.89
2013,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-26.29
2016,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-26.56
2018,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-25.24
2015,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-23.73
2023,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-36.55
2017,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-22.67
2021,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-31.02
2010,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-14.8
2011,"Berotegi-efektuko gasen isuriak, 2005. urtearekiko",,%,-20.68
