Year,Series,Sexo,Territorio histórico,Units,Value
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,1.1
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,0.4
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,,Gipuzkoa,Por 100.000 habitantes,2.2
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.8
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.2
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.4
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.2
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.0
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.2
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.4
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.3
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.6
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.2
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.8
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,1.3
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.4
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,,Por 100.000 habitantes,0.7
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,2.4
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.8
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,0.6
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,3.0
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.2
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.8
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.2
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,0.0
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,0.0
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.2
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,0.0
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,0.0
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.3
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Araba/Álava,Por 100.000 habitantes,1.2
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.8
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.8
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.4
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.0
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.8
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.8
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.0
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.7
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.5
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.7
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.8
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.5
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,1.3
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Bizkaia,Por 100.000 habitantes,0.3
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.3
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.8
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.1
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.1
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.9
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.6
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.8
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.5
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.4
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.3
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.6
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.3
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,1.4
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Mujer,Gipuzkoa,Por 100.000 habitantes,0.3
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,1.5
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.0
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.4
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.5
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.2
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.0
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.1
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.4
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,3.0
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.2
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.6
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.5
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,3.2
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,,Por 100.000 habitantes,2.4
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,2.4
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.3
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.2
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.3
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.9
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,2.5
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,0.6
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,0.6
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.9
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,2.5
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,3.1
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,4.3
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,3.1
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Araba/Álava,Por 100.000 habitantes,1.9
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.0
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.4
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.9
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.3
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.3
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,1.8
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.4
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.7
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.5
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.2
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.6
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.2
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,3.1
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Bizkaia,Por 100.000 habitantes,2.7
2023,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,1.1
2021,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.3
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,0.9
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,0.9
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,1.7
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.6
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.8
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.9
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.9
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.0
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,2.0
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,0.6
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,0.9
2022,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Hombre,Gipuzkoa,Por 100.000 habitantes,1.4
