Year,Teknologia,Lurralde historikoa,Units,Value
2022,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,29.8
2021,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,26.6
2020,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,22.3
2019,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,20.0
2018,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,16.7
2017,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,13.4
2016,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,9.3
2015,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,4.0
2014,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,2.2
2013,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,0.7
2012,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,0.2
2011,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,0.1
2010,Zuntz optikoko kablea (FTTH),Gipuzkoa,100 pertsonako,0.0
2022,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,7.5
2014,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,11.9
2011,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,11.1
2020,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,11.9
2016,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,12.5
2019,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,12.5
2010,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,10.2
2018,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,12.5
2024,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,2.4
2012,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,11.2
2013,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,11.7
2021,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,10.1
2015,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,12.2
2017,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,12.6
2023,"Zuntz hibridoa, kable ardazkidea (HFC)",,100 pertsonako,4.9
2014,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,9.2
2019,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.5
2010,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,6.7
2016,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,9.2
2015,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,9.1
2013,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.9
2012,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.2
2011,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.0
2022,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,4.8
2018,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.6
2023,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,2.7
2021,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,7.3
2017,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,8.7
2024,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,0.7
2020,"Zuntz hibridoa, kable ardazkidea (HFC)",Araba / Álava,100 pertsonako,7.2
2024,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,2.4
2023,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,5.4
2022,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,7.9
2021,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,11.0
2019,"Zuntz hibridoa, kable ardazkidea (HFC)",Bizkaia,100 pertsonako,13.8
