Year,Ocupacion,Territorio,Units,Value
2010,SELF_EMP,ES211,PT,35.2
2012,SELF_EMP,ES211,PT,33.6
2014,SELF_EMP,ES211,PT,33.3
2021,SELF_EMP,ES211,PT,31.3
2023,SELF_EMP,ES211,PT,27.7
2015,SELF_EMP,ES213,PT,33.0
2024,SELF_EMP,ES213,PT,37.7
2023,SELF_EMP,ES213,PT,37.0
2022,SELF_EMP,ES213,PT,34.6
2021,SELF_EMP,ES213,PT,33.5
2020,SELF_EMP,ES213,PT,35.8
2019,SELF_EMP,ES213,PT,34.9
2017,SELF_EMP,ES213,PT,33.8
2016,SELF_EMP,ES213,PT,34.0
2014,SELF_EMP,ES213,PT,34.9
2013,SELF_EMP,ES213,PT,35.7
2012,SELF_EMP,ES213,PT,36.9
2011,SELF_EMP,ES213,PT,36.6
2018,SELF_EMP,ES213,PT,35.0
2010,SELF_EMP,ES213,PT,33.5
2022,SELF_EMP,ES212,PT,32.0
2021,SELF_EMP,ES212,PT,34.3
2019,SELF_EMP,ES212,PT,35.6
2018,SELF_EMP,ES212,PT,35.7
2024,SELF_EMP,ES212,PT,40.0
2017,SELF_EMP,ES212,PT,36.2
2013,SELF_EMP,ES212,PT,34.5
2016,SELF_EMP,ES212,PT,35.6
2012,SELF_EMP,ES212,PT,35.6
2010,SELF_EMP,ES212,PT,30.5
2011,SELF_EMP,ES212,PT,32.6
2020,SELF_EMP,ES212,PT,33.4
2014,SELF_EMP,ES212,PT,36.4
2015,SELF_EMP,ES212,PT,33.2
2023,SELF_EMP,ES212,PT,35.3
