Year,Edad,Territorio histórico,Units,Value
2011,15-19 años,,Por 1.000 habitantes,5.94
2010,15-19 años,,Por 1.000 habitantes,6.42
2020,15-19 años,,Por 1.000 habitantes,3.31
2025,15-19 años,,Por 1.000 habitantes,2.98
2023,15-19 años,,Por 1.000 habitantes,3.12
2012,15-19 años,,Por 1.000 habitantes,5.95
2012,15-19 años,Araba/Álava,Por 1.000 habitantes,7.43
2010,15-19 años,Araba/Álava,Por 1.000 habitantes,8.6
2020,15-19 años,Araba/Álava,Por 1.000 habitantes,3.63
2011,15-19 años,Araba/Álava,Por 1.000 habitantes,8.6
2014,15-19 años,Araba/Álava,Por 1.000 habitantes,6.67
2019,15-19 años,Araba/Álava,Por 1.000 habitantes,5.23
2018,15-19 años,Araba/Álava,Por 1.000 habitantes,5.24
2022,15-19 años,Araba/Álava,Por 1.000 habitantes,3.83
2024,15-19 años,Araba/Álava,Por 1.000 habitantes,3.26
2016,15-19 años,Araba/Álava,Por 1.000 habitantes,6.69
2025,15-19 años,Araba/Álava,Por 1.000 habitantes,3.25
2023,15-19 años,Araba/Álava,Por 1.000 habitantes,3.33
2021,15-19 años,Araba/Álava,Por 1.000 habitantes,2.63
2017,15-19 años,Araba/Álava,Por 1.000 habitantes,6.69
2015,15-19 años,Araba/Álava,Por 1.000 habitantes,7.21
2013,15-19 años,Araba/Álava,Por 1.000 habitantes,6.46
2025,15-19 años,Bizkaia,Por 1.000 habitantes,3.46
2024,15-19 años,Bizkaia,Por 1.000 habitantes,2.63
2023,15-19 años,Bizkaia,Por 1.000 habitantes,3.56
2022,15-19 años,Bizkaia,Por 1.000 habitantes,3.38
2021,15-19 años,Bizkaia,Por 1.000 habitantes,3.76
2020,15-19 años,Bizkaia,Por 1.000 habitantes,3.94
2019,15-19 años,Bizkaia,Por 1.000 habitantes,4.46
2018,15-19 años,Bizkaia,Por 1.000 habitantes,3.58
2017,15-19 años,Bizkaia,Por 1.000 habitantes,4.59
2016,15-19 años,Bizkaia,Por 1.000 habitantes,4.84
2015,15-19 años,Bizkaia,Por 1.000 habitantes,5.41
2014,15-19 años,Bizkaia,Por 1.000 habitantes,6.69
2013,15-19 años,Bizkaia,Por 1.000 habitantes,6.5
2012,15-19 años,Bizkaia,Por 1.000 habitantes,6.85
2011,15-19 años,Bizkaia,Por 1.000 habitantes,6.19
2010,15-19 años,Bizkaia,Por 1.000 habitantes,6.85
2021,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.2
2020,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.24
2019,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.71
2017,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.22
2016,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.89
2014,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.91
2015,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.46
2013,15-19 años,Gipuzkoa,Por 1.000 habitantes,4.14
2012,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.92
2011,15-19 años,Gipuzkoa,Por 1.000 habitantes,4.36
2018,15-19 años,Gipuzkoa,Por 1.000 habitantes,3.11
2022,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.47
2010,15-19 años,Gipuzkoa,Por 1.000 habitantes,4.77
2025,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.17
2024,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.17
2023,15-19 años,Gipuzkoa,Por 1.000 habitantes,2.41
