Year,Profesion,SituacLabor,Sexo,Territorio,Units,Value
2022,,EU_SIT_NOJUB,,ES212,PER_10000_POP,151.3
2024,,EU_SIT_JUB,,ES212,PER_10000_POP,38.2
2013,,EU_SIT_JUB,,ES212,PER_10000_POP,6.4
2021,,,,ES212,PER_10000_POP,164.7
2014,,,,ES212,PER_10000_POP,148.5
2020,,,,ES212,PER_10000_POP,161.9
2025,,EU_SIT_NOJUB,,ES212,PER_10000_POP,155.5
2011,,EU_SIT_JUB,,ES212,PER_10000_POP,4.6
2016,,EU_SIT_NOJUB,,ES212,PER_10000_POP,143.3
2016,,EU_SIT_JUB,,ES212,PER_10000_POP,8.6
2015,,,,ES212,PER_10000_POP,150.2
2013,,,,ES212,PER_10000_POP,145.8
2023,,EU_SIT_NOJUB,,ES212,PER_10000_POP,152.4
2019,,,,ES212,PER_10000_POP,157.3
2018,,EU_SIT_JUB,,ES212,PER_10000_POP,10.3
2019,,EU_SIT_NOJUB,,ES212,PER_10000_POP,145.6
2020,,EU_SIT_NOJUB,,ES212,PER_10000_POP,149.1
2022,,,,ES212,PER_10000_POP,167.0
2017,,EU_SIT_NOJUB,,ES212,PER_10000_POP,143.5
2011,,EU_SIT_NOJUB,,ES212,PER_10000_POP,130.7
2012,,EU_SIT_NOJUB,,ES212,PER_10000_POP,138.3
2020,,EU_SIT_JUB,,ES212,PER_10000_POP,12.8
2016,,,,ES212,PER_10000_POP,151.8
2025,,,,ES212,PER_10000_POP,196.6
2010,,,,ES212,PER_10000_POP,140.0
2024,,,,ES212,PER_10000_POP,191.8
2021,,EU_SIT_JUB,,ES212,PER_10000_POP,14.0
2015,,EU_SIT_JUB,,ES212,PER_10000_POP,8.0
2011,,,,ES212,PER_10000_POP,142.8
2017,,EU_SIT_JUB,,ES212,PER_10000_POP,9.4
2021,,EU_SIT_NOJUB,,ES212,PER_10000_POP,150.8
2024,,EU_SIT_NOJUB,,ES212,PER_10000_POP,153.5
2012,,EU_SIT_JUB,,ES212,PER_10000_POP,6.0
2017,,EU_SIT_NOJUB,F,,PER_10000_POP,225.4
2010,,EU_SIT_JUB,F,,PER_10000_POP,2.1
2024,,EU_SIT_NOJUB,F,,PER_10000_POP,247.4
2017,,,F,,PER_10000_POP,231.4
2020,,EU_SIT_JUB,F,,PER_10000_POP,8.9
2012,,EU_SIT_JUB,F,,PER_10000_POP,2.8
2011,,EU_SIT_JUB,F,,PER_10000_POP,2.7
2020,,,F,,PER_10000_POP,245.2
2023,,,F,,PER_10000_POP,271.4
2021,,,F,,PER_10000_POP,249.8
2021,,EU_SIT_JUB,F,,PER_10000_POP,10.1
2012,,EU_SIT_NOJUB,F,,PER_10000_POP,208.1
2013,,,F,,PER_10000_POP,215.2
2021,,EU_SIT_NOJUB,F,,PER_10000_POP,239.3
2016,,EU_SIT_JUB,F,,PER_10000_POP,4.8
2022,,,F,,PER_10000_POP,252.6
2014,,,F,,PER_10000_POP,219.8
2011,,,F,,PER_10000_POP,205.6
2011,,EU_SIT_NOJUB,F,,PER_10000_POP,195.7
2018,,EU_SIT_JUB,F,,PER_10000_POP,6.6
2016,,,F,,PER_10000_POP,228.0
2022,,EU_SIT_NOJUB,F,,PER_10000_POP,241.7
2017,,EU_SIT_JUB,F,,PER_10000_POP,5.7
2023,,EU_SIT_NOJUB,F,,PER_10000_POP,244.4
2014,,EU_SIT_NOJUB,F,,PER_10000_POP,216.1
2018,,EU_SIT_NOJUB,F,,PER_10000_POP,228.0
2019,,,F,,PER_10000_POP,238.1
2013,,EU_SIT_NOJUB,F,,PER_10000_POP,211.9
2016,,EU_SIT_NOJUB,F,,PER_10000_POP,222.9
2020,,EU_SIT_NOJUB,F,,PER_10000_POP,236.0
2015,,EU_SIT_NOJUB,F,,PER_10000_POP,220.1
2015,,EU_SIT_JUB,F,,PER_10000_POP,3.9
2022,,EU_SIT_JUB,F,,PER_10000_POP,10.9
2012,,,F,,PER_10000_POP,211.3
2015,,,F,,PER_10000_POP,224.4
2018,,,F,,PER_10000_POP,234.8
2010,,EU_SIT_NOJUB,F,,PER_10000_POP,198.8
2010,,,F,,PER_10000_POP,201.2
2025,,EU_SIT_NOJUB,F,,PER_10000_POP,252.0
2025,,EU_SIT_JUB,F,,PER_10000_POP,28.3
2019,,EU_SIT_NOJUB,F,,PER_10000_POP,229.9
2013,,EU_SIT_JUB,F,,PER_10000_POP,2.9
2024,,,F,,PER_10000_POP,273.3
2014,,EU_SIT_JUB,F,,PER_10000_POP,3.2
2024,,EU_SIT_JUB,F,,PER_10000_POP,25.9
2019,,EU_SIT_JUB,F,,PER_10000_POP,7.9
2025,,,F,,PER_10000_POP,280.3
2023,,EU_SIT_JUB,F,,PER_10000_POP,27.1
2016,,EU_SIT_JUB,F,ES211,PER_10000_POP,4.8
2022,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,252.6
2010,,EU_SIT_JUB,F,ES211,PER_10000_POP,2.3
2014,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,236.4
2021,,EU_SIT_JUB,F,ES211,PER_10000_POP,8.3
2020,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,248.3
2010,,,F,ES211,PER_10000_POP,216.1
2021,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,250.6
2013,,EU_SIT_JUB,F,ES211,PER_10000_POP,2.1
2015,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,238.9
2021,,,F,ES211,PER_10000_POP,258.9
2012,,,F,ES211,PER_10000_POP,229.9
2024,,,F,ES211,PER_10000_POP,267.6
2017,,,F,ES211,PER_10000_POP,248.5
2010,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,213.8
2011,,EU_SIT_JUB,F,ES211,PER_10000_POP,3.8
2022,,,F,ES211,PER_10000_POP,262.2
2013,,,F,ES211,PER_10000_POP,233.0
2025,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,258.4
2022,,EU_SIT_JUB,F,ES211,PER_10000_POP,9.6
2023,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,253.4
2011,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,212.9
2024,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,254.6
2011,,,F,ES211,PER_10000_POP,222.3
2025,,EU_SIT_JUB,F,ES211,PER_10000_POP,14.7
2020,,,F,ES211,PER_10000_POP,256.1
2024,,EU_SIT_JUB,F,ES211,PER_10000_POP,13.0
2016,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,241.4
2018,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,245.4
2017,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,243.2
2012,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,227.5
2013,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,230.8
2020,,EU_SIT_JUB,F,ES211,PER_10000_POP,7.8
2023,,,F,ES211,PER_10000_POP,264.4
2025,,,F,ES211,PER_10000_POP,273.0
2019,,,F,ES211,PER_10000_POP,251.0
2016,,,F,ES211,PER_10000_POP,246.1
2018,,EU_SIT_JUB,F,ES211,PER_10000_POP,5.9
2023,,EU_SIT_JUB,F,ES211,PER_10000_POP,11.0
2019,,EU_SIT_NOJUB,F,ES211,PER_10000_POP,243.8
2018,,,F,ES211,PER_10000_POP,251.2
2014,,EU_SIT_JUB,F,ES211,PER_10000_POP,2.1
2015,,,F,ES211,PER_10000_POP,242.7
2015,,EU_SIT_JUB,F,ES211,PER_10000_POP,3.9
2012,,EU_SIT_JUB,F,ES211,PER_10000_POP,2.3
2014,,,F,ES211,PER_10000_POP,238.5
2017,,EU_SIT_JUB,F,ES211,PER_10000_POP,5.4
2019,,EU_SIT_JUB,F,ES211,PER_10000_POP,7.1
2019,,EU_SIT_JUB,F,ES213,PER_10000_POP,7.7
2018,,EU_SIT_JUB,F,ES213,PER_10000_POP,6.2
2023,,EU_SIT_JUB,F,ES213,PER_10000_POP,12.1
2025,,EU_SIT_JUB,F,ES213,PER_10000_POP,14.7
2011,,,F,ES213,PER_10000_POP,202.2
2013,,EU_SIT_JUB,F,ES213,PER_10000_POP,2.8
2015,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,216.9
2016,,EU_SIT_JUB,F,ES213,PER_10000_POP,4.4
2021,,,F,ES213,PER_10000_POP,249.8
2014,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,211.6
2023,,,F,ES213,PER_10000_POP,257.4
2020,,,F,ES213,PER_10000_POP,245.0
2010,,EU_SIT_JUB,F,ES213,PER_10000_POP,2.1
2011,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,191.9
2010,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,193.2
2020,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,235.6
2018,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,227.4
2021,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,238.9
2025,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,254.2
2023,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,245.3
2014,,EU_SIT_JUB,F,ES213,PER_10000_POP,3.0
2020,,EU_SIT_JUB,F,ES213,PER_10000_POP,8.7
2012,,EU_SIT_JUB,F,ES213,PER_10000_POP,2.8
2022,,,F,ES213,PER_10000_POP,252.7
2013,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,207.9
2024,,EU_SIT_JUB,F,ES213,PER_10000_POP,13.2
2012,,,F,ES213,PER_10000_POP,208.3
2016,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,220.5
2017,,EU_SIT_JUB,F,ES213,PER_10000_POP,5.3
2018,,,F,ES213,PER_10000_POP,234.2
2019,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,229.6
2022,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,242.7
2024,,,F,ES213,PER_10000_POP,262.1
2015,,,F,ES213,PER_10000_POP,221.2
2019,,,F,ES213,PER_10000_POP,238.0
2021,,EU_SIT_JUB,F,ES213,PER_10000_POP,10.2
2014,,,F,ES213,PER_10000_POP,215.4
2016,,,F,ES213,PER_10000_POP,225.6
2017,,,F,ES213,PER_10000_POP,229.7
2015,,EU_SIT_JUB,F,ES213,PER_10000_POP,3.5
2022,,EU_SIT_JUB,F,ES213,PER_10000_POP,10.0
2013,,,F,ES213,PER_10000_POP,211.4
2025,,,F,ES213,PER_10000_POP,268.9
2010,,,F,ES213,PER_10000_POP,195.9
2012,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,204.9
2017,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,223.8
2011,,EU_SIT_JUB,F,ES213,PER_10000_POP,2.5
2024,,EU_SIT_NOJUB,F,ES213,PER_10000_POP,249.0
