Year,Sexo,Territorio,Units,Value
2017,F,ES213,PER_100000_POP,0.8
2019,F,ES213,PER_100000_POP,0.8
2018,F,ES213,PER_100000_POP,1.0
2015,F,ES213,PER_100000_POP,1.5
2013,F,ES213,PER_100000_POP,0.3
2012,F,ES213,PER_100000_POP,0.7
2011,F,ES213,PER_100000_POP,0.7
2014,F,ES213,PER_100000_POP,1.0
2010,F,ES213,PER_100000_POP,0.8
2022,F,ES213,PER_100000_POP,1.4
2016,F,ES213,PER_100000_POP,0.8
2023,F,ES212,PER_100000_POP,0.8
2022,F,ES212,PER_100000_POP,1.6
2021,F,ES212,PER_100000_POP,1.4
2020,F,ES212,PER_100000_POP,1.1
2019,F,ES212,PER_100000_POP,0.8
2018,F,ES212,PER_100000_POP,1.1
2017,F,ES212,PER_100000_POP,0.5
2016,F,ES212,PER_100000_POP,1.9
2010,F,ES212,PER_100000_POP,0.3
2015,F,ES212,PER_100000_POP,0.3
2014,F,ES212,PER_100000_POP,1.4
2013,F,ES212,PER_100000_POP,0.6
2012,F,ES212,PER_100000_POP,0.3
2011,F,ES212,PER_100000_POP,0.3
2024,F,ES212,PER_100000_POP,0.5
2012,M,,PER_100000_POP,2.0
2015,M,,PER_100000_POP,2.1
2022,M,,PER_100000_POP,2.2
2020,M,,PER_100000_POP,2.6
2013,M,,PER_100000_POP,3.0
2021,M,,PER_100000_POP,2.4
2016,M,,PER_100000_POP,2.4
2018,M,,PER_100000_POP,1.5
2019,M,,PER_100000_POP,2.5
2011,M,,PER_100000_POP,2.2
2014,M,,PER_100000_POP,2.5
2023,M,,PER_100000_POP,2.4
2024,M,,PER_100000_POP,1.6
2017,M,,PER_100000_POP,3.2
2010,M,,PER_100000_POP,2.0
2024,M,ES211,PER_100000_POP,0.0
2016,M,ES211,PER_100000_POP,0.6
2019,M,ES211,PER_100000_POP,2.5
2023,M,ES211,PER_100000_POP,2.4
2022,M,ES211,PER_100000_POP,1.2
2012,M,ES211,PER_100000_POP,1.3
2015,M,ES211,PER_100000_POP,1.9
2021,M,ES211,PER_100000_POP,3.1
2020,M,ES211,PER_100000_POP,4.3
2010,M,ES211,PER_100000_POP,0.6
2017,M,ES211,PER_100000_POP,2.5
2014,M,ES211,PER_100000_POP,3.1
2018,M,ES211,PER_100000_POP,1.9
2013,M,ES211,PER_100000_POP,1.9
2011,M,ES211,PER_100000_POP,1.3
2024,M,ES213,PER_100000_POP,1.6
2023,M,ES213,PER_100000_POP,3.3
2022,M,ES213,PER_100000_POP,2.9
2021,M,ES213,PER_100000_POP,2.2
2014,M,ES213,PER_100000_POP,2.5
2020,M,ES213,PER_100000_POP,3.3
2016,M,ES213,PER_100000_POP,2.7
2019,M,ES213,PER_100000_POP,2.4
2018,M,ES213,PER_100000_POP,1.8
2017,M,ES213,PER_100000_POP,3.6
2015,M,ES213,PER_100000_POP,2.2
2013,M,ES213,PER_100000_POP,3.4
2012,M,ES213,PER_100000_POP,3.1
2011,M,ES213,PER_100000_POP,2.7
2010,M,ES213,PER_100000_POP,3.0
2018,M,ES212,PER_100000_POP,0.9
2017,M,ES212,PER_100000_POP,2.9
2016,M,ES212,PER_100000_POP,2.6
2015,M,ES212,PER_100000_POP,2.0
2011,M,ES212,PER_100000_POP,1.7
2014,M,ES212,PER_100000_POP,2.0
2013,M,ES212,PER_100000_POP,2.9
2012,M,ES212,PER_100000_POP,0.6
2010,M,ES212,PER_100000_POP,0.9
2024,M,ES212,PER_100000_POP,2.3
2023,M,ES212,PER_100000_POP,1.1
2022,M,ES212,PER_100000_POP,1.4
2021,M,ES212,PER_100000_POP,2.3
2020,M,ES212,PER_100000_POP,0.9
2019,M,ES212,PER_100000_POP,2.8
