Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2017,,,Ajangiz,%,Ajangiz,0.9
2016,,,Ajangiz,%,Ajangiz,0.9
2019,,,Ajangiz,%,Ajangiz,0.8
2022,,,Ajangiz,%,Ajangiz,0.9
2015,,,Ajangiz,%,Ajangiz,0.8
2020,,,Ajangiz,%,Ajangiz,0.9
2021,,,Ajangiz,%,Ajangiz,0.9
2014,,,Ajangiz,%,Ajangiz,0.8
2016,,,Albiztur,%,Albiztur,3.3
2020,,,Albiztur,%,Albiztur,2.9
2018,,,Albiztur,%,Albiztur,2.5
2019,,,Albiztur,%,Albiztur,3.3
2015,,,Albiztur,%,Albiztur,3.1
2014,,,Albiztur,%,Albiztur,3.6
2022,,,Albiztur,%,Albiztur,3.8
2017,,,Albiztur,%,Albiztur,3.7
2021,,,Albiztur,%,Albiztur,3.0
2017,,,Alegia,%,Alegia,0.8
2022,,,Alegia,%,Alegia,0.8
2014,,,Alegia,%,Alegia,0.6
2016,,,Alegia,%,Alegia,0.7
2015,,,Alegia,%,Alegia,0.6
2018,,,Alegia,%,Alegia,0.5
2021,,,Alegia,%,Alegia,0.6
2020,,,Alegia,%,Alegia,0.5
2019,,,Alegia,%,Alegia,0.7
2014,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.0
2022,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.6
2015,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.9
2017,,,Alegría-Dulantzi,%,Alegría-Dulantzi,3.3
2021,,,Alegría-Dulantzi,%,Alegría-Dulantzi,3.0
2018,,,Alegría-Dulantzi,%,Alegría-Dulantzi,3.1
2016,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.7
2019,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.8
2020,,,Alegría-Dulantzi,%,Alegría-Dulantzi,2.6
2018,,,Alkiza,%,Alkiza,7.1
2021,,,Alkiza,%,Alkiza,9.4
2017,,,Alkiza,%,Alkiza,8.5
2020,,,Alkiza,%,Alkiza,8.8
2015,,,Alkiza,%,Alkiza,8.0
2019,,,Alkiza,%,Alkiza,8.8
2022,,,Alkiza,%,Alkiza,9.5
2016,,,Alkiza,%,Alkiza,7.2
2014,,,Alkiza,%,Alkiza,6.6
2017,,,Alonsotegi,%,Alonsotegi,0.7
2021,,,Alonsotegi,%,Alonsotegi,1.0
2018,,,Alonsotegi,%,Alonsotegi,0.6
2015,,,Alonsotegi,%,Alonsotegi,0.5
2022,,,Alonsotegi,%,Alonsotegi,1.2
2020,,,Alonsotegi,%,Alonsotegi,0.7
2019,,,Alonsotegi,%,Alonsotegi,0.7
2014,,,Alonsotegi,%,Alonsotegi,0.6
2016,,,Alonsotegi,%,Alonsotegi,0.7
2015,,,Altzaga,%,Altzaga,4.0
2022,,,Altzaga,%,Altzaga,8.1
2020,,,Altzaga,%,Altzaga,3.7
2016,,,Altzaga,%,Altzaga,4.0
2018,,,Altzaga,%,Altzaga,3.5
2021,,,Altzaga,%,Altzaga,5.0
2017,,,Altzaga,%,Altzaga,4.2
2014,,,Altzaga,%,Altzaga,3.4
2019,,,Altzaga,%,Altzaga,4.2
2015,,,Altzo,%,Altzo,1.0
2017,,,Altzo,%,Altzo,1.5
2022,,,Altzo,%,Altzo,0.9
2021,,,Altzo,%,Altzo,1.0
2020,,,Altzo,%,Altzo,0.8
2014,,,Altzo,%,Altzo,1.1
2019,,,Altzo,%,Altzo,1.1
2016,,,Altzo,%,Altzo,1.0
2018,,,Altzo,%,Altzo,1.0
2019,,,Amezketa,%,Amezketa,1.3
2017,,,Amezketa,%,Amezketa,1.7
2015,,,Amezketa,%,Amezketa,1.5
2014,,,Amezketa,%,Amezketa,1.6
2018,,,Amezketa,%,Amezketa,1.3
2021,,,Amezketa,%,Amezketa,1.2
2020,,,Amezketa,%,Amezketa,1.3
2016,,,Amezketa,%,Amezketa,1.6
2022,,,Amezketa,%,Amezketa,1.7
2020,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2022,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2021,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2017,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2018,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.2
2014,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2019,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2016,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.3
2015,,,Amorebieta-Etxano,%,Amorebieta-Etxano,0.4
2019,,,Amoroto,%,Amoroto,3.6
2018,,,Amoroto,%,Amoroto,3.5
2016,,,Amoroto,%,Amoroto,4.9
2020,,,Amoroto,%,Amoroto,3.6
2022,,,Amoroto,%,Amoroto,5.3
2021,,,Amoroto,%,Amoroto,5.0
2017,,,Amoroto,%,Amoroto,4.1
2015,,,Amoroto,%,Amoroto,5.1
2014,,,Amoroto,%,Amoroto,4.2
2014,,,Amurrio,%,Amurrio,1.3
2021,,,Amurrio,%,Amurrio,1.2
2019,,,Amurrio,%,Amurrio,0.8
2015,,,Amurrio,%,Amurrio,1.1
2018,,,Amurrio,%,Amurrio,1.0
2016,,,Amurrio,%,Amurrio,1.0
2020,,,Amurrio,%,Amurrio,0.8
2017,,,Amurrio,%,Amurrio,1.1
2022,,,Amurrio,%,Amurrio,1.5
2017,,,Andoain,%,Andoain,0.2
2014,,,Andoain,%,Andoain,0.2
2016,,,Andoain,%,Andoain,0.2
2022,,,Andoain,%,Andoain,0.2
2020,,,Andoain,%,Andoain,0.2
2021,,,Andoain,%,Andoain,0.2
2019,,,Andoain,%,Andoain,0.2
2015,,,Andoain,%,Andoain,0.3
2018,,,Andoain,%,Andoain,0.2
2019,,,Anoeta,%,Anoeta,0.4
2014,,,Anoeta,%,Anoeta,0.3
2021,,,Anoeta,%,Anoeta,0.4
2020,,,Anoeta,%,Anoeta,0.4
2022,,,Anoeta,%,Anoeta,0.4
2018,,,Anoeta,%,Anoeta,0.4
2017,,,Anoeta,%,Anoeta,0.4
2015,,,Anoeta,%,Anoeta,0.4
2016,,,Anoeta,%,Anoeta,0.4
2021,,,Antzuola,%,Antzuola,1.4
2014,,,Antzuola,%,Antzuola,0.9
2016,,,Antzuola,%,Antzuola,1.0
2019,,,Antzuola,%,Antzuola,1.3
2022,,,Antzuola,%,Antzuola,1.9
2017,,,Antzuola,%,Antzuola,1.3
2018,,,Antzuola,%,Antzuola,1.0
2015,,,Antzuola,%,Antzuola,1.1
2020,,,Antzuola,%,Antzuola,1.2
2020,,,Añana,%,Añana,12.1
2019,,,Añana,%,Añana,13.2
2022,,,Añana,%,Añana,11.0
2021,,,Añana,%,Añana,15.4
2015,,,Añana,%,Añana,14.4
2018,,,Añana,%,Añana,10.5
2017,,,Añana,%,Añana,12.4
2016,,,Añana,%,Añana,13.8
2014,,,Añana,%,Añana,11.6
2019,,,Arakaldo,%,Arakaldo,3.3
2018,,,Arakaldo,%,Arakaldo,3.1
2016,,,Arakaldo,%,Arakaldo,3.9
2021,,,Arakaldo,%,Arakaldo,5.5
2017,,,Arakaldo,%,Arakaldo,3.6
2014,,,Arakaldo,%,Arakaldo,2.1
2022,,,Arakaldo,%,Arakaldo,6.2
2015,,,Arakaldo,%,Arakaldo,3.8
2020,,,Arakaldo,%,Arakaldo,4.2
2016,,,Arama,%,Arama,0.4
2015,,,Arama,%,Arama,1.1
2017,,,Arama,%,Arama,0.4
2022,,,Arama,%,Arama,0.3
2021,,,Arama,%,Arama,0.3
2014,,,Arama,%,Arama,1.1
2020,,,Arama,%,Arama,0.4
2018,,,Arama,%,Arama,0.3
2019,,,Arama,%,Arama,0.3
2014,,,Aramaio,%,Aramaio,13.5
2018,,,Aramaio,%,Aramaio,14.8
2017,,,Aramaio,%,Aramaio,14.8
2015,,,Aramaio,%,Aramaio,14.6
2020,,,Aramaio,%,Aramaio,11.3
2022,,,Aramaio,%,Aramaio,21.3
2021,,,Aramaio,%,Aramaio,15.1
2016,,,Aramaio,%,Aramaio,13.0
2019,,,Aramaio,%,Aramaio,12.4
2018,,,Arantzazu,%,Arantzazu,4.2
2014,,,Arantzazu,%,Arantzazu,3.2
2021,,,Arantzazu,%,Arantzazu,7.2
2020,,,Arantzazu,%,Arantzazu,5.9
2016,,,Arantzazu,%,Arantzazu,3.7
2022,,,Arantzazu,%,Arantzazu,7.8
2019,,,Arantzazu,%,Arantzazu,5.1
2015,,,Arantzazu,%,Arantzazu,3.0
2017,,,Arantzazu,%,Arantzazu,3.6
2019,,,Areatza,%,Areatza,2.1
2015,,,Areatza,%,Areatza,1.6
2022,,,Areatza,%,Areatza,4.0
2018,,,Areatza,%,Areatza,1.9
2014,,,Areatza,%,Areatza,1.6
2020,,,Areatza,%,Areatza,2.5
2021,,,Areatza,%,Areatza,3.3
2017,,,Areatza,%,Areatza,1.9
2016,,,Areatza,%,Areatza,2.1
2017,,,Aretxabaleta,%,Aretxabaleta,0.4
2019,,,Aretxabaleta,%,Aretxabaleta,0.4
2014,,,Aretxabaleta,%,Aretxabaleta,0.3
2015,,,Aretxabaleta,%,Aretxabaleta,0.3
2016,,,Aretxabaleta,%,Aretxabaleta,0.4
2020,,,Aretxabaleta,%,Aretxabaleta,0.3
2018,,,Aretxabaleta,%,Aretxabaleta,0.3
2021,,,Aretxabaleta,%,Aretxabaleta,0.4
2022,,,Aretxabaleta,%,Aretxabaleta,0.6
2022,,,Armiñón,%,Armiñón,4.4
2018,,,Armiñón,%,Armiñón,6.3
2019,,,Armiñón,%,Armiñón,7.0
2016,,,Armiñón,%,Armiñón,7.9
2017,,,Armiñón,%,Armiñón,6.4
2015,,,Armiñón,%,Armiñón,6.3
2020,,,Armiñón,%,Armiñón,8.3
2014,,,Armiñón,%,Armiñón,5.7
2021,,,Armiñón,%,Armiñón,9.1
2020,,,Arraia-Maeztu,%,Arraia-Maeztu,10.4
2017,,,Arraia-Maeztu,%,Arraia-Maeztu,11.8
2016,,,Arraia-Maeztu,%,Arraia-Maeztu,11.2
2021,,,Arraia-Maeztu,%,Arraia-Maeztu,12.5
2015,,,Arraia-Maeztu,%,Arraia-Maeztu,9.2
2022,,,Arraia-Maeztu,%,Arraia-Maeztu,13.8
2018,,,Arraia-Maeztu,%,Arraia-Maeztu,11.6
2014,,,Arraia-Maeztu,%,Arraia-Maeztu,10.4
2019,,,Arraia-Maeztu,%,Arraia-Maeztu,10.8
2015,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.8
2020,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.5
2021,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.8
2014,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,2.0
2017,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.4
2018,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.3
2016,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.8
2022,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,2.5
2019,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,1.6
2021,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.2
2018,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.1
2020,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.1
2017,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.2
2022,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.2
2016,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.1
2015,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.1
2014,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.1
2019,,,Arrasate / Mondragón,%,Arrasate / Mondragón,0.2
2021,,,Arratzu,%,Arratzu,8.8
2017,,,Arratzu,%,Arratzu,9.3
2019,,,Arratzu,%,Arratzu,9.4
2022,,,Arratzu,%,Arratzu,10.2
2014,,,Arratzu,%,Arratzu,8.1
2018,,,Arratzu,%,Arratzu,8.1
2015,,,Arratzu,%,Arratzu,9.7
2016,,,Arratzu,%,Arratzu,9.6
2020,,,Arratzu,%,Arratzu,8.7
2020,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.2
2018,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.9
2019,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.5
2021,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.7
2015,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.5
2022,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,5.6
2017,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,6.8
2016,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,7.0
2014,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,8.6
2018,,,Arrieta,%,Arrieta,11.6
2016,,,Arrieta,%,Arrieta,13.2
2019,,,Arrieta,%,Arrieta,11.0
2020,,,Arrieta,%,Arrieta,12.1
2021,,,Arrieta,%,Arrieta,13.3
2017,,,Arrieta,%,Arrieta,12.7
2015,,,Arrieta,%,Arrieta,13.1
2014,,,Arrieta,%,Arrieta,11.8
2022,,,Arrieta,%,Arrieta,14.9
2018,,,Arrigorriaga,%,Arrigorriaga,0.2
2020,,,Arrigorriaga,%,Arrigorriaga,0.3
2016,,,Arrigorriaga,%,Arrigorriaga,0.2
2021,,,Arrigorriaga,%,Arrigorriaga,0.4
2014,,,Arrigorriaga,%,Arrigorriaga,0.2
2019,,,Arrigorriaga,%,Arrigorriaga,0.2
2022,,,Arrigorriaga,%,Arrigorriaga,0.4
2017,,,Arrigorriaga,%,Arrigorriaga,0.2
2015,,,Arrigorriaga,%,Arrigorriaga,0.2
2021,,,Artea,%,Artea,2.1
2018,,,Artea,%,Artea,1.5
2017,,,Artea,%,Artea,1.7
2022,,,Artea,%,Artea,2.3
2020,,,Artea,%,Artea,1.9
2019,,,Artea,%,Artea,1.7
2014,,,Artea,%,Artea,1.4
2016,,,Artea,%,Artea,1.8
2015,,,Artea,%,Artea,1.8
2015,,,Artzentales,%,Artzentales,8.6
2020,,,Artzentales,%,Artzentales,12.5
2021,,,Artzentales,%,Artzentales,16.6
2018,,,Artzentales,%,Artzentales,11.2
2016,,,Artzentales,%,Artzentales,10.3
2022,,,Artzentales,%,Artzentales,18.7
2017,,,Artzentales,%,Artzentales,10.6
2014,,,Artzentales,%,Artzentales,10.2
2019,,,Artzentales,%,Artzentales,11.6
2017,,,Artziniega,%,Artziniega,2.0
2021,,,Artziniega,%,Artziniega,2.2
2020,,,Artziniega,%,Artziniega,1.4
2019,,,Artziniega,%,Artziniega,1.6
2016,,,Artziniega,%,Artziniega,1.7
2014,,,Artziniega,%,Artziniega,2.4
2015,,,Artziniega,%,Artziniega,1.8
2018,,,Artziniega,%,Artziniega,2.2
2022,,,Artziniega,%,Artziniega,3.0
2015,,,Asparrena,%,Asparrena,2.6
2021,,,Asparrena,%,Asparrena,1.3
2014,,,Asparrena,%,Asparrena,2.9
2016,,,Asparrena,%,Asparrena,2.0
2022,,,Asparrena,%,Asparrena,1.5
2017,,,Asparrena,%,Asparrena,1.4
2018,,,Asparrena,%,Asparrena,1.3
2019,,,Asparrena,%,Asparrena,1.1
2020,,,Asparrena,%,Asparrena,1.4
2017,,,Asteasu,%,Asteasu,1.3
2014,,,Asteasu,%,Asteasu,1.9
2021,,,Asteasu,%,Asteasu,1.1
2015,,,Asteasu,%,Asteasu,1.8
2016,,,Asteasu,%,Asteasu,1.4
2019,,,Asteasu,%,Asteasu,1.3
2018,,,Asteasu,%,Asteasu,1.1
2020,,,Asteasu,%,Asteasu,1.3
2022,,,Asteasu,%,Asteasu,1.2
2014,,,Astigarraga,%,Astigarraga,0.1
2016,,,Astigarraga,%,Astigarraga,0.1
2017,,,Astigarraga,%,Astigarraga,0.1
2021,,,Astigarraga,%,Astigarraga,0.2
2019,,,Astigarraga,%,Astigarraga,0.2
2022,,,Astigarraga,%,Astigarraga,0.2
2018,,,Astigarraga,%,Astigarraga,0.1
2015,,,Astigarraga,%,Astigarraga,0.1
2020,,,Astigarraga,%,Astigarraga,0.2
2018,,,Ataun,%,Ataun,4.4
2014,,,Ataun,%,Ataun,6.0
2016,,,Ataun,%,Ataun,5.3
2015,,,Ataun,%,Ataun,5.5
2022,,,Ataun,%,Ataun,7.7
2021,,,Ataun,%,Ataun,6.4
2017,,,Ataun,%,Ataun,5.7
2019,,,Ataun,%,Ataun,5.6
2020,,,Ataun,%,Ataun,5.4
2016,,,Atxondo,%,Atxondo,0.8
2015,,,Atxondo,%,Atxondo,0.6
2018,,,Atxondo,%,Atxondo,0.8
2017,,,Atxondo,%,Atxondo,0.8
2014,,,Atxondo,%,Atxondo,0.6
2020,,,Atxondo,%,Atxondo,0.9
2019,,,Atxondo,%,Atxondo,0.9
2021,,,Atxondo,%,Atxondo,1.2
2022,,,Atxondo,%,Atxondo,1.5
2014,,,Aulesti,%,Aulesti,5.5
2021,,,Aulesti,%,Aulesti,9.8
2018,,,Aulesti,%,Aulesti,7.3
2022,,,Aulesti,%,Aulesti,11.0
2016,,,Aulesti,%,Aulesti,7.9
2015,,,Aulesti,%,Aulesti,5.8
2019,,,Aulesti,%,Aulesti,8.5
2020,,,Aulesti,%,Aulesti,6.7
2017,,,Aulesti,%,Aulesti,7.5
2015,,,Ayala / Aiara,%,Ayala / Aiara,7.4
2017,,,Ayala / Aiara,%,Ayala / Aiara,6.6
2018,,,Ayala / Aiara,%,Ayala / Aiara,6.3
2014,,,Ayala / Aiara,%,Ayala / Aiara,9.4
2022,,,Ayala / Aiara,%,Ayala / Aiara,9.5
2019,,,Ayala / Aiara,%,Ayala / Aiara,4.9
2020,,,Ayala / Aiara,%,Ayala / Aiara,4.8
2016,,,Ayala / Aiara,%,Ayala / Aiara,6.2
2021,,,Ayala / Aiara,%,Ayala / Aiara,6.2
2021,,,Azkoitia,%,Azkoitia,0.7
2020,,,Azkoitia,%,Azkoitia,0.7
2019,,,Azkoitia,%,Azkoitia,0.8
2018,,,Azkoitia,%,Azkoitia,0.6
2022,,,Azkoitia,%,Azkoitia,0.8
2017,,,Azkoitia,%,Azkoitia,0.8
2016,,,Azkoitia,%,Azkoitia,0.6
2015,,,Azkoitia,%,Azkoitia,0.5
2014,,,Azkoitia,%,Azkoitia,0.5
2015,,,Azpeitia,%,Azpeitia,0.6
2019,,,Azpeitia,%,Azpeitia,0.8
2014,,,Azpeitia,%,Azpeitia,0.5
2016,,,Azpeitia,%,Azpeitia,0.6
2017,,,Azpeitia,%,Azpeitia,0.8
2022,,,Azpeitia,%,Azpeitia,1.0
2020,,,Azpeitia,%,Azpeitia,0.8
2018,,,Azpeitia,%,Azpeitia,0.6
2021,,,Azpeitia,%,Azpeitia,0.9
2022,,,Bakio,%,Bakio,3.2
2021,,,Bakio,%,Bakio,3.5
2015,,,Bakio,%,Bakio,4.6
2018,,,Bakio,%,Bakio,2.5
2020,,,Bakio,%,Bakio,2.9
2019,,,Bakio,%,Bakio,2.7
2014,,,Bakio,%,Bakio,4.7
2017,,,Bakio,%,Bakio,3.1
2016,,,Bakio,%,Bakio,3.8
2015,,,Baliarrain,%,Baliarrain,7.0
2017,,,Baliarrain,%,Baliarrain,6.0
2014,,,Baliarrain,%,Baliarrain,7.8
2019,,,Baliarrain,%,Baliarrain,5.9
2018,,,Baliarrain,%,Baliarrain,5.2
2016,,,Baliarrain,%,Baliarrain,6.0
2021,,,Baliarrain,%,Baliarrain,4.4
2020,,,Baliarrain,%,Baliarrain,5.3
2022,,,Baliarrain,%,Baliarrain,5.6
2014,,,Balmaseda,%,Balmaseda,0.6
2017,,,Balmaseda,%,Balmaseda,0.8
2020,,,Balmaseda,%,Balmaseda,0.9
2018,,,Balmaseda,%,Balmaseda,0.8
2022,,,Balmaseda,%,Balmaseda,1.4
2021,,,Balmaseda,%,Balmaseda,1.2
2019,,,Balmaseda,%,Balmaseda,0.8
2016,,,Balmaseda,%,Balmaseda,0.8
2015,,,Balmaseda,%,Balmaseda,0.6
2016,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,30.0
2021,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,31.4
2020,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,34.1
2015,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,28.6
2019,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,30.3
2017,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,30.3
2014,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,23.2
2022,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,26.3
2018,,,Baños de Ebro / Mañueta,%,Baños de Ebro / Mañueta,32.6
2020,,,Barakaldo,%,Barakaldo,0.0
2015,,,Barakaldo,%,Barakaldo,0.0
2021,,,Barakaldo,%,Barakaldo,0.0
2017,,,Barakaldo,%,Barakaldo,0.0
2019,,,Barakaldo,%,Barakaldo,0.0
2018,,,Barakaldo,%,Barakaldo,0.0
2014,,,Barakaldo,%,Barakaldo,0.0
2022,,,Barakaldo,%,Barakaldo,0.0
2016,,,Barakaldo,%,Barakaldo,0.0
2015,,,Barrika,%,Barrika,1.0
2016,,,Barrika,%,Barrika,1.2
2020,,,Barrika,%,Barrika,1.6
2019,,,Barrika,%,Barrika,1.4
2017,,,Barrika,%,Barrika,1.5
2021,,,Barrika,%,Barrika,1.5
2014,,,Barrika,%,Barrika,0.9
2018,,,Barrika,%,Barrika,1.3
2022,,,Barrika,%,Barrika,1.3
2018,,,Barrundia,%,Barrundia,22.1
2015,,,Barrundia,%,Barrundia,20.7
2019,,,Barrundia,%,Barrundia,21.2
2022,,,Barrundia,%,Barrundia,25.5
2021,,,Barrundia,%,Barrundia,25.0
2017,,,Barrundia,%,Barrundia,22.4
2016,,,Barrundia,%,Barrundia,21.7
2014,,,Barrundia,%,Barrundia,24.4
2020,,,Barrundia,%,Barrundia,21.4
2014,,,Basauri,%,Basauri,0.1
2017,,,Basauri,%,Basauri,0.0
2020,,,Basauri,%,Basauri,0.0
2019,,,Basauri,%,Basauri,0.0
2018,,,Basauri,%,Basauri,0.0
2022,,,Basauri,%,Basauri,0.0
2015,,,Basauri,%,Basauri,0.1
2021,,,Basauri,%,Basauri,0.0
2016,,,Basauri,%,Basauri,0.0
2020,,,Beasain,%,Beasain,0.1
2021,,,Beasain,%,Beasain,0.1
2014,,,Beasain,%,Beasain,0.1
2018,,,Beasain,%,Beasain,0.1
2019,,,Beasain,%,Beasain,0.1
2015,,,Beasain,%,Beasain,0.1
2017,,,Beasain,%,Beasain,0.2
2016,,,Beasain,%,Beasain,0.2
2022,,,Beasain,%,Beasain,0.2
2018,,,Bedia,%,Bedia,2.1
2022,,,Bedia,%,Bedia,2.9
2020,,,Bedia,%,Bedia,2.6
2014,,,Bedia,%,Bedia,1.9
2016,,,Bedia,%,Bedia,2.0
2019,,,Bedia,%,Bedia,2.2
2021,,,Bedia,%,Bedia,2.8
2017,,,Bedia,%,Bedia,2.1
2015,,,Bedia,%,Bedia,1.8
2015,,,Beizama,%,Beizama,12.5
2021,,,Beizama,%,Beizama,20.7
2017,,,Beizama,%,Beizama,16.2
2016,,,Beizama,%,Beizama,14.5
2022,,,Beizama,%,Beizama,25.0
