Year,Sexua,Adina,Egoitza,Desgaitasunik ez duten pertsonak,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2021,,16 urte eta gehiago,,,,,Zumaia,%,Zumaia,9.0
2020,,16 urte eta gehiago,,,,,Zumaia,%,Zumaia,7.6
2019,,16 urte eta gehiago,,,,,Zumaia,%,Zumaia,8.2
2015,,16 urte eta gehiago,,,,,Zumaia,%,Zumaia,12.9
2018,,16 urte eta gehiago,,,,,Zumaia,%,Zumaia,9.2
2015,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,15.0
2016,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,14.4
2018,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,11.4
2021,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,11.0
2019,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,10.2
2010,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,10.0
2020,,16 urte eta gehiago,,,,,Zumarraga,%,Zumarraga,9.4
2020,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),9.5
2019,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),9.6
2015,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),17.3
2016,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),14.5
2010,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),10.8
2018,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),11.3
2021,,16 urte eta gehiago,,,,Añana (eskualdea),,%,Añana (eskualdea),11.2
2018,,16 urte eta gehiago,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.4
2010,,16 urte eta gehiago,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.3
2020,,16 urte eta gehiago,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,11.9
2021,,16 urte eta gehiago,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,13.5
