Year,Habilidad informática,Edad,Sexo,Territorio histórico,Units,Value
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,33.4
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,27.9
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,,%,16.0
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,23.6
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,31.7
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,26.8
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,16.2
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,27.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Araba/Álava,%,24.2
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,22.5
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,34.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,16.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,28.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,21.5
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Bizkaia,%,27.9
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,23.7
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,14.7
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,32.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,28.1
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,19.4
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,,Gipuzkoa,%,30.1
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,19.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,11.6
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,29.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,25.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,23.5
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,,%,19.5
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,24.4
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,24.1
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,26.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,24.9
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,8.7
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Araba/Álava,%,19.3
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,30.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,24.8
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,13.5
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,18.4
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,19.6
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Bizkaia,%,22.4
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,16.7
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,21.3
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,9.8
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,27.1
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,29.3
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Mujer,Gipuzkoa,%,25.1
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,31.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,32.2
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,37.7
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,20.5
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,23.2
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,,%,26.7
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,23.4
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,28.0
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,29.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,37.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,29.3
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Araba/Álava,%,23.9
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,20.1
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,33.7
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,23.6
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,38.8
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,31.1
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Bizkaia,%,26.8
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,36.2
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,22.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,33.1
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,26.1
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,19.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",,Hombre,Gipuzkoa,%,31.0
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,26.8
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,30.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,45.5
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,47.1
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,36.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,,%,46.2
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,40.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,50.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,39.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,24.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,40.3
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Araba/Álava,%,37.6
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,47.3
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,28.9
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,46.3
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,45.5
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,28.0
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Bizkaia,%,36.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,26.0
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,48.4
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,46.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,47.3
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,35.6
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,,Gipuzkoa,%,31.0
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,33.3
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,43.7
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,46.3
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,38.3
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,27.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,,%,20.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,40.9
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,16.0
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,38.0
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,53.0
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,37.7
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Araba/Álava,%,39.4
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,45.2
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,39.8
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,21.2
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,39.1
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,29.0
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Bizkaia,%,23.5
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,38.1
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,31.2
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,50.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,37.2
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,44.9
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Mujer,Gipuzkoa,%,19.6
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,47.9
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,34.1
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,53.3
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,40.0
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,47.3
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,,%,32.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,42.9
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,35.8
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,42.2
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,35.2
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,49.0
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Araba/Álava,%,38.2
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,43.8
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,47.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,32.6
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,55.2
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,51.2
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Bizkaia,%,35.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,33.2
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,55.5
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,30.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,46.3
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,32.2
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",16-24 años,Hombre,Gipuzkoa,%,47.9
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,31.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,21.2
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,25.4
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,19.9
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,26.1
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,,%,14.8
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,21.6
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,25.2
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,23.8
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,30.6
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,15.2
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Araba/Álava,%,22.4
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,20.6
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,15.5
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,20.7
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,25.7
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,33.0
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Bizkaia,%,25.5
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,30.5
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,13.3
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,22.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,17.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,25.3
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,,Gipuzkoa,%,27.9
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,18.4
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,10.6
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,23.0
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,21.7
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,17.7
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,,%,27.5
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,21.1
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,7.9
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,23.1
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,22.4
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,24.2
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Araba/Álava,%,17.1
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,29.1
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,12.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,20.3
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,19.4
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,22.5
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Bizkaia,%,17.1
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,23.6
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,19.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,14.6
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,8.6
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,26.4
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Mujer,Gipuzkoa,%,24.8
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,36.4
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,24.9
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,29.2
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,19.1
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,29.3
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,,%,21.5
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,28.0
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,21.7
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,26.2
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,37.1
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,26.6
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Araba/Álava,%,22.7
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,24.5
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,18.7
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,30.9
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,21.9
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,29.0
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Bizkaia,%,37.1
2019,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,18.1
2023,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,34.7
2020,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,31.1
2021,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,27.1
2024,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,20.9
2022,"Cambiar la configuración de cualquier software, incluídos el sistema operativo y los programas de seguridad",25-74 años,Hombre,Gipuzkoa,%,25.0
2024,Copiar o mover ficheros o carpetas,,,,%,51.0
2023,Copiar o mover ficheros o carpetas,,,,%,56.3
2019,Copiar o mover ficheros o carpetas,,,,%,55.4
2020,Copiar o mover ficheros o carpetas,,,,%,55.4
2021,Copiar o mover ficheros o carpetas,,,,%,61.5
2022,Copiar o mover ficheros o carpetas,,,,%,57.2
2019,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,55.8
2024,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,52.0
2020,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,54.0
2021,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,61.9
2023,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,54.8
2022,Copiar o mover ficheros o carpetas,,,Araba/Álava,%,56.7
2023,Copiar o mover ficheros o carpetas,,,Bizkaia,%,56.0
2019,Copiar o mover ficheros o carpetas,,,Bizkaia,%,55.8
2024,Copiar o mover ficheros o carpetas,,,Bizkaia,%,51.2
2022,Copiar o mover ficheros o carpetas,,,Bizkaia,%,56.7
2020,Copiar o mover ficheros o carpetas,,,Bizkaia,%,54.3
2021,Copiar o mover ficheros o carpetas,,,Bizkaia,%,61.6
2019,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,54.5
2020,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,57.7
2024,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,50.3
2022,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,58.3
2021,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,61.0
2023,Copiar o mover ficheros o carpetas,,,Gipuzkoa,%,57.3
2024,Copiar o mover ficheros o carpetas,,Mujer,,%,49.7
