Year,Habilidad informática,Edad,Sexo,Territorio histórico,Units,Value
2023,,16-24 años,,,%,95.9
2019,,16-24 años,,,%,95.7
2021,,16-24 años,,,%,96.2
2019,,16-24 años,,Araba/Álava,%,95.6
2021,,16-24 años,,Araba/Álava,%,96.8
2024,,16-24 años,,Araba/Álava,%,95.8
2022,,16-24 años,,Araba/Álava,%,94.6
2020,,16-24 años,,Araba/Álava,%,98.4
2023,,16-24 años,,Araba/Álava,%,99.5
2021,,16-24 años,,Bizkaia,%,94.4
2020,,16-24 años,,Bizkaia,%,94.2
2023,,16-24 años,,Bizkaia,%,93.8
2024,,16-24 años,,Bizkaia,%,92.0
2022,,16-24 años,,Bizkaia,%,95.4
2019,,16-24 años,,Bizkaia,%,97.1
2023,,16-24 años,,Gipuzkoa,%,97.3
2022,,16-24 años,,Gipuzkoa,%,96.1
2021,,16-24 años,,Gipuzkoa,%,98.4
2020,,16-24 años,,Gipuzkoa,%,97.2
2019,,16-24 años,,Gipuzkoa,%,94.0
2024,,16-24 años,,Gipuzkoa,%,95.8
2019,,16-24 años,Mujer,,%,97.9
2024,,16-24 años,Mujer,,%,95.5
2022,,16-24 años,Mujer,,%,97.5
2021,,16-24 años,Mujer,,%,96.7
2020,,16-24 años,Mujer,,%,96.5
2023,,16-24 años,Mujer,,%,98.8
2019,,16-24 años,Mujer,Araba/Álava,%,98.8
2024,,16-24 años,Mujer,Araba/Álava,%,98.9
2022,,16-24 años,Mujer,Araba/Álava,%,96.5
2020,,16-24 años,Mujer,Araba/Álava,%,96.6
2023,,16-24 años,Mujer,Araba/Álava,%,98.8
2021,,16-24 años,Mujer,Araba/Álava,%,96.3
2022,,16-24 años,Mujer,Bizkaia,%,99.0
2024,,16-24 años,Mujer,Bizkaia,%,92.8
2021,,16-24 años,Mujer,Bizkaia,%,95.5
2019,,16-24 años,Mujer,Bizkaia,%,97.0
2020,,16-24 años,Mujer,Bizkaia,%,96.6
2023,,16-24 años,Mujer,Bizkaia,%,97.9
2021,,16-24 años,Mujer,Gipuzkoa,%,98.7
2019,,16-24 años,Mujer,Gipuzkoa,%,98.7
2020,,16-24 años,Mujer,Gipuzkoa,%,96.3
2024,,16-24 años,Mujer,Gipuzkoa,%,97.8
2023,,16-24 años,Mujer,Gipuzkoa,%,100.0
2022,,16-24 años,Mujer,Gipuzkoa,%,95.8
2024,,16-24 años,Hombre,,%,92.5
2022,,16-24 años,Hombre,,%,93.5
2019,,16-24 años,Hombre,,%,93.6
2023,,16-24 años,Hombre,,%,93.1
2021,,16-24 años,Hombre,,%,95.7
2020,,16-24 años,Hombre,,%,95.3
2024,,16-24 años,Hombre,Araba/Álava,%,92.8
2019,,16-24 años,Hombre,Araba/Álava,%,91.9
2020,,16-24 años,Hombre,Araba/Álava,%,100.0
2023,,16-24 años,Hombre,Araba/Álava,%,100.0
2021,,16-24 años,Hombre,Araba/Álava,%,97.2
2022,,16-24 años,Hombre,Araba/Álava,%,92.7
2021,,16-24 años,Hombre,Bizkaia,%,93.3
2024,,16-24 años,Hombre,Bizkaia,%,91.3
2023,,16-24 años,Hombre,Bizkaia,%,89.7
2019,,16-24 años,Hombre,Bizkaia,%,97.2
2022,,16-24 años,Hombre,Bizkaia,%,91.8
