Year,Sexo,Territorio,Units,Value
2011,F,,PT,60.5
2013,F,,PT,70.2
2017,F,,PT,84.0
2019,F,,PT,88.6
2009,F,,PT,54.9
2008,F,,PT,52.4
2019,F,ES211,PT,89.2
2017,F,ES211,PT,86.9
2016,F,ES211,PT,81.8
2009,F,ES211,PT,54.0
2013,F,ES211,PT,72.9
2014,F,ES211,PT,75.0
2011,F,ES211,PT,60.2
2021,F,ES211,PT,95.3
2008,F,ES211,PT,53.1
2012,F,ES211,PT,62.5
2010,F,ES211,PT,60.8
2015,F,ES211,PT,77.6
2018,F,ES211,PT,88.9
2024,F,ES211,PT,98.6
2023,F,ES211,PT,97.6
2022,F,ES211,PT,92.5
2020,F,ES211,PT,92.4
2018,F,ES213,PT,85.5
2023,F,ES213,PT,96.7
2022,F,ES213,PT,94.9
2020,F,ES213,PT,91.6
2019,F,ES213,PT,88.2
2015,F,ES213,PT,76.7
2017,F,ES213,PT,83.1
2011,F,ES213,PT,57.9
2009,F,ES213,PT,54.4
2013,F,ES213,PT,69.6
2010,F,ES213,PT,52.4
2008,F,ES213,PT,51.7
2012,F,ES213,PT,59.1
2016,F,ES213,PT,83.1
2024,F,ES213,PT,97.9
2014,F,ES213,PT,75.3
2021,F,ES213,PT,94.5
2023,F,ES212,PT,97.2
2018,F,ES212,PT,87.5
2024,F,ES212,PT,97.6
2021,F,ES212,PT,94.4
2019,F,ES212,PT,89.1
2016,F,ES212,PT,82.5
2015,F,ES212,PT,78.1
2014,F,ES212,PT,72.7
2013,F,ES212,PT,70.1
2012,F,ES212,PT,63.8
2011,F,ES212,PT,64.9
2010,F,ES212,PT,59.0
2009,F,ES212,PT,56.2
2008,F,ES212,PT,53.4
2017,F,ES212,PT,84.3
2022,F,ES212,PT,95.9
2020,F,ES212,PT,92.7
2013,M,,PT,77.4
2017,M,,PT,84.5
2012,M,,PT,67.5
2021,M,,PT,93.4
2008,M,,PT,58.3
2014,M,,PT,78.4
2010,M,,PT,61.2
2024,M,,PT,97.2
2015,M,,PT,83.1
2022,M,,PT,93.8
2018,M,,PT,89.2
2019,M,,PT,89.6
2011,M,,PT,66.5
2023,M,,PT,95.7
2009,M,,PT,60.5
2020,M,,PT,91.3
2016,M,,PT,84.6
2015,M,ES211,PT,84.2
2021,M,ES211,PT,93.0
2022,M,ES211,PT,95.0
2014,M,ES211,PT,77.8
2023,M,ES211,PT,95.5
2020,M,ES211,PT,89.8
2009,M,ES211,PT,58.4
2012,M,ES211,PT,66.5
2013,M,ES211,PT,77.9
2016,M,ES211,PT,86.0
2017,M,ES211,PT,85.9
2018,M,ES211,PT,92.2
2024,M,ES211,PT,96.4
2010,M,ES211,PT,62.9
2011,M,ES211,PT,62.1
2008,M,ES211,PT,57.5
2019,M,ES211,PT,89.2
2024,M,ES213,PT,98.0
2023,M,ES213,PT,96.3
2022,M,ES213,PT,94.1
2021,M,ES213,PT,93.6
2020,M,ES213,PT,91.2
2019,M,ES213,PT,91.3
2018,M,ES213,PT,89.6
2017,M,ES213,PT,83.9
2016,M,ES213,PT,85.0
2015,M,ES213,PT,83.8
2014,M,ES213,PT,79.1
2013,M,ES213,PT,78.5
2012,M,ES213,PT,65.3
2011,M,ES213,PT,67.3
2010,M,ES213,PT,58.1
2009,M,ES213,PT,61.2
2008,M,ES213,PT,58.8
2010,M,ES212,PT,65.4
2009,M,ES212,PT,60.1
2008,M,ES212,PT,57.9
2024,M,ES212,PT,96.3
2023,M,ES212,PT,94.8
2022,M,ES212,PT,92.9
2021,M,ES212,PT,93.2
2020,M,ES212,PT,92.3
2019,M,ES212,PT,87.2
2018,M,ES212,PT,87.3
2017,M,ES212,PT,84.8
2016,M,ES212,PT,83.4
2015,M,ES212,PT,81.5
2014,M,ES212,PT,77.5
2013,M,ES212,PT,75.4
2012,M,ES212,PT,71.6
2011,M,ES212,PT,67.2
