Year,Habilidad_IT,Sexo,Edad,Territorio,Units,Value
2022,ICT,M,Y25T74,ES212,PT,64.8
2021,ICT,M,Y25T74,ES212,PT,72.14
2019,ICT,M,Y25T74,ES212,PT,64.03
2023,ICT,M,Y25T74,ES212,PT,69.92
2020,ICTCPT,,Y16T24,,PT,86.56
2022,ICTCPT,,Y16T24,,PT,87.44
2021,ICTCPT,,Y16T24,,PT,86.58
2019,ICTCPT,,Y16T24,,PT,89.41
2023,ICTCPT,,Y16T24,,PT,89.14
2023,ICTCPT,,Y16T24,ES211,PT,94.85
2021,ICTCPT,,Y16T24,ES211,PT,85.68
2020,ICTCPT,,Y16T24,ES211,PT,80.63
2022,ICTCPT,,Y16T24,ES211,PT,82.61
2019,ICTCPT,,Y16T24,ES211,PT,91.07
2019,ICTCPT,,Y16T24,ES213,PT,90.0
2022,ICTCPT,,Y16T24,ES213,PT,88.08
2023,ICTCPT,,Y16T24,ES213,PT,87.1
2021,ICTCPT,,Y16T24,ES213,PT,87.2
2020,ICTCPT,,Y16T24,ES213,PT,83.31
2022,ICTCPT,,Y16T24,ES212,PT,88.44
2023,ICTCPT,,Y16T24,ES212,PT,89.53
2020,ICTCPT,,Y16T24,ES212,PT,94.1
2019,ICTCPT,,Y16T24,ES212,PT,87.91
2021,ICTCPT,,Y16T24,ES212,PT,86.08
2022,ICTCPT,,Y16T74,,PT,57.2
2019,ICTCPT,,Y16T74,,PT,55.36
2021,ICTCPT,,Y16T74,,PT,61.48
2020,ICTCPT,,Y16T74,,PT,55.36
2023,ICTCPT,,Y16T74,,PT,56.25
2020,ICTCPT,,Y16T74,ES211,PT,54.04
2023,ICTCPT,,Y16T74,ES211,PT,54.82
2019,ICTCPT,,Y16T74,ES211,PT,55.76
2022,ICTCPT,,Y16T74,ES211,PT,56.74
2021,ICTCPT,,Y16T74,ES211,PT,61.94
2020,ICTCPT,,Y16T74,ES213,PT,54.32
2019,ICTCPT,,Y16T74,ES213,PT,55.79
2021,ICTCPT,,Y16T74,ES213,PT,61.63
2023,ICTCPT,,Y16T74,ES213,PT,56.04
2022,ICTCPT,,Y16T74,ES213,PT,56.66
2023,ICTCPT,,Y16T74,ES212,PT,57.26
2022,ICTCPT,,Y16T74,ES212,PT,58.29
2021,ICTCPT,,Y16T74,ES212,PT,61.02
2019,ICTCPT,,Y16T74,ES212,PT,54.5
2020,ICTCPT,,Y16T74,ES212,PT,57.68
2022,ICTCPT,,Y25T74,,PT,53.21
2020,ICTCPT,,Y25T74,,PT,51.5
2021,ICTCPT,,Y25T74,,PT,58.11
2023,ICTCPT,,Y25T74,,PT,51.9
2019,ICTCPT,,Y25T74,,PT,51.53
2021,ICTCPT,,Y25T74,ES211,PT,58.69
2019,ICTCPT,,Y25T74,ES211,PT,51.77
2022,ICTCPT,,Y25T74,ES211,PT,53.65
2020,ICTCPT,,Y25T74,ES211,PT,50.7
2023,ICTCPT,,Y25T74,ES211,PT,49.29
2019,ICTCPT,,Y25T74,ES213,PT,52.19
2021,ICTCPT,,Y25T74,ES213,PT,58.38
2023,ICTCPT,,Y25T74,ES213,PT,52.12
2022,ICTCPT,,Y25T74,ES213,PT,52.56
2020,ICTCPT,,Y25T74,ES213,PT,50.87
2022,ICTCPT,,Y25T74,ES212,PT,54.06
2023,ICTCPT,,Y25T74,ES212,PT,52.75
2020,ICTCPT,,Y25T74,ES212,PT,52.91
2021,ICTCPT,,Y25T74,ES212,PT,57.39
2019,ICTCPT,,Y25T74,ES212,PT,50.33
2022,ICTCPT,F,Y16T24,,PT,89.57
2023,ICTCPT,F,Y16T24,,PT,92.94
2019,ICTCPT,F,Y16T24,,PT,93.7
2020,ICTCPT,F,Y16T24,,PT,88.02
2021,ICTCPT,F,Y16T24,,PT,85.56
2023,ICTCPT,F,Y16T24,ES211,PT,96.79
2021,ICTCPT,F,Y16T24,ES211,PT,86.52
2019,ICTCPT,F,Y16T24,ES211,PT,91.79
2022,ICTCPT,F,Y16T24,ES211,PT,91.43
2020,ICTCPT,F,Y16T24,ES211,PT,80.79
2020,ICTCPT,F,Y16T24,ES213,PT,85.05
2022,ICTCPT,F,Y16T24,ES213,PT,90.43
2021,ICTCPT,F,Y16T24,ES213,PT,84.89
2019,ICTCPT,F,Y16T24,ES213,PT,92.96
2023,ICTCPT,F,Y16T24,ES213,PT,90.41
2019,ICTCPT,F,Y16T24,ES212,PT,95.61
2020,ICTCPT,F,Y16T24,ES212,PT,95.62
2021,ICTCPT,F,Y16T24,ES212,PT,86.21
2022,ICTCPT,F,Y16T24,ES212,PT,87.43
2023,ICTCPT,F,Y16T24,ES212,PT,95.08
2021,ICTCPT,F,Y16T74,,PT,60.25
2022,ICTCPT,F,Y16T74,,PT,56.49
2023,ICTCPT,F,Y16T74,,PT,55.85
2019,ICTCPT,F,Y16T74,,PT,53.04
2020,ICTCPT,F,Y16T74,,PT,53.47
2021,ICTCPT,F,Y16T74,ES211,PT,59.54
2019,ICTCPT,F,Y16T74,ES211,PT,51.69
2022,ICTCPT,F,Y16T74,ES211,PT,57.56
2023,ICTCPT,F,Y16T74,ES211,PT,55.54
2020,ICTCPT,F,Y16T74,ES211,PT,53.75
2022,ICTCPT,F,Y16T74,ES213,PT,55.34
2019,ICTCPT,F,Y16T74,ES213,PT,53.06
2020,ICTCPT,F,Y16T74,ES213,PT,51.2
2023,ICTCPT,F,Y16T74,ES213,PT,55.17
2021,ICTCPT,F,Y16T74,ES213,PT,59.48
2022,ICTCPT,F,Y16T74,ES212,PT,57.91
2019,ICTCPT,F,Y16T74,ES212,PT,53.63
2023,ICTCPT,F,Y16T74,ES212,PT,57.09
2020,ICTCPT,F,Y16T74,ES212,PT,57.0
2021,ICTCPT,F,Y16T74,ES212,PT,61.84
2023,ICTCPT,F,Y25T74,,PT,51.2
2020,ICTCPT,F,Y25T74,,PT,49.4
2022,ICTCPT,F,Y25T74,,PT,52.3
2019,ICTCPT,F,Y25T74,,PT,48.51
2021,ICTCPT,F,Y25T74,,PT,57.08
2019,ICTCPT,F,Y25T74,ES211,PT,46.87
2022,ICTCPT,F,Y25T74,ES211,PT,53.63
2020,ICTCPT,F,Y25T74,ES211,PT,50.65
2021,ICTCPT,F,Y25T74,ES211,PT,56.25
2023,ICTCPT,F,Y25T74,ES211,PT,50.64
2021,ICTCPT,F,Y25T74,ES213,PT,56.33
2019,ICTCPT,F,Y25T74,ES213,PT,48.95
2023,ICTCPT,F,Y25T74,ES213,PT,50.91
2022,ICTCPT,F,Y25T74,ES213,PT,50.95
2020,ICTCPT,F,Y25T74,ES213,PT,47.33
2022,ICTCPT,F,Y25T74,ES212,PT,53.94
