Year,Series,Territorio histórico,Units,Value
2011,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,98.8
2022,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,50.2
2010,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,101.3
2023,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,111.9
2023,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,49.0
2019,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,65.8
2024,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,106.4
2015,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,78.4
2014,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,79.5
2017,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,70.9
2020,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,59.6
2016,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,75.3
2021,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,54.1
2021,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,116.1
2018,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Bizkaia,Por 100.000,68.9
2013,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,89.7
2022,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,54.0
2015,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,84.3
2020,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,65.8
2019,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,70.6
2011,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,96.9
2010,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,98.7
2018,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,74.5
2021,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,59.4
2024,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,126.1
2023,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,52.6
2022,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,133.1
2017,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,77.3
2023,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,131.9
2016,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,81.2
2014,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,86.0
2021,Cajeros automáticos por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,141.1
2012,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,94.7
2024,Sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,Gipuzkoa,Por 100.000,52.4
