Year,Servicios públicos,Sexo,Territorio histórico,Units,Value
2022,Administración de justicia,Mujer,Araba/Álava,Porcentaje,11.0
2021,Administración de justicia,Mujer,Araba/Álava,Porcentaje,0.0
2017,Administración de justicia,Mujer,Bizkaia,Porcentaje,27.8
2019,Administración de justicia,Mujer,Bizkaia,Porcentaje,9.1
2021,Administración de justicia,Mujer,Bizkaia,Porcentaje,22.8
2022,Administración de justicia,Mujer,Bizkaia,Porcentaje,28.4
2018,Administración de justicia,Mujer,Bizkaia,Porcentaje,20.0
2016,Administración de justicia,Mujer,Bizkaia,Porcentaje,8.3
2020,Administración de justicia,Mujer,Bizkaia,Porcentaje,18.2
2023,Administración de justicia,Mujer,Bizkaia,Porcentaje,35.9
2018,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,14.3
2016,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,21.1
2017,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,28.6
2019,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,25.8
2020,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,12.0
2021,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,5.0
2022,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,11.9
2023,Administración de justicia,Mujer,Gipuzkoa,Porcentaje,20.3
2016,Administración de justicia,Hombre,,Porcentaje,9.4
2018,Administración de justicia,Hombre,,Porcentaje,21.7
2023,Administración de justicia,Hombre,,Porcentaje,17.1
2022,Administración de justicia,Hombre,,Porcentaje,23.6
2019,Administración de justicia,Hombre,,Porcentaje,21.2
2021,Administración de justicia,Hombre,,Porcentaje,24.3
2017,Administración de justicia,Hombre,,Porcentaje,14.0
2020,Administración de justicia,Hombre,,Porcentaje,17.2
2020,Administración de justicia,Hombre,Araba/Álava,Porcentaje,16.7
2023,Administración de justicia,Hombre,Araba/Álava,Porcentaje,5.2
2016,Administración de justicia,Hombre,Araba/Álava,Porcentaje,10.0
2017,Administración de justicia,Hombre,Araba/Álava,Porcentaje,28.6
2019,Administración de justicia,Hombre,Araba/Álava,Porcentaje,0.0
2022,Administración de justicia,Hombre,Araba/Álava,Porcentaje,19.7
2021,Administración de justicia,Hombre,Araba/Álava,Porcentaje,14.5
2018,Administración de justicia,Hombre,Araba/Álava,Porcentaje,11.1
2020,Administración de justicia,Hombre,Bizkaia,Porcentaje,14.8
2017,Administración de justicia,Hombre,Bizkaia,Porcentaje,10.5
2018,Administración de justicia,Hombre,Bizkaia,Porcentaje,31.0
2021,Administración de justicia,Hombre,Bizkaia,Porcentaje,18.8
2022,Administración de justicia,Hombre,Bizkaia,Porcentaje,32.0
2023,Administración de justicia,Hombre,Bizkaia,Porcentaje,28.9
2016,Administración de justicia,Hombre,Bizkaia,Porcentaje,12.5
2019,Administración de justicia,Hombre,Bizkaia,Porcentaje,16.7
2016,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,5.3
2018,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,13.6
2019,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,28.6
2020,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,20.0
2021,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,28.9
2022,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,20.7
2023,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,16.6
2017,Administración de justicia,Hombre,Gipuzkoa,Porcentaje,8.3
2012,Seguridad ciudadana,,,Porcentaje,59.3
2015,Seguridad ciudadana,,,Porcentaje,60.2
2011,Seguridad ciudadana,,,Porcentaje,32.2
2023,Seguridad ciudadana,,,Porcentaje,59.5
2013,Seguridad ciudadana,,,Porcentaje,53.6
2021,Seguridad ciudadana,,,Porcentaje,61.5
2014,Seguridad ciudadana,,,Porcentaje,46.1
2017,Seguridad ciudadana,,,Porcentaje,66.9
2018,Seguridad ciudadana,,,Porcentaje,72.6
2020,Seguridad ciudadana,,,Porcentaje,55.3
2022,Seguridad ciudadana,,,Porcentaje,56.2
2016,Seguridad ciudadana,,,Porcentaje,61.7
2019,Seguridad ciudadana,,,Porcentaje,60.2
2016,Seguridad ciudadana,,Araba/Álava,Porcentaje,57.9
2018,Seguridad ciudadana,,Araba/Álava,Porcentaje,73.7
2019,Seguridad ciudadana,,Araba/Álava,Porcentaje,92.3
2017,Seguridad ciudadana,,Araba/Álava,Porcentaje,80.8
2021,Seguridad ciudadana,,Araba/Álava,Porcentaje,53.1
2023,Seguridad ciudadana,,Araba/Álava,Porcentaje,65.7
2020,Seguridad ciudadana,,Araba/Álava,Porcentaje,56.0
2022,Seguridad ciudadana,,Araba/Álava,Porcentaje,37.0
2019,Seguridad ciudadana,,Bizkaia,Porcentaje,50.0
2022,Seguridad ciudadana,,Bizkaia,Porcentaje,69.7
2016,Seguridad ciudadana,,Bizkaia,Porcentaje,60.0
2017,Seguridad ciudadana,,Bizkaia,Porcentaje,51.1
2020,Seguridad ciudadana,,Bizkaia,Porcentaje,56.9
2021,Seguridad ciudadana,,Bizkaia,Porcentaje,72.2
2023,Seguridad ciudadana,,Bizkaia,Porcentaje,61.4
2018,Seguridad ciudadana,,Bizkaia,Porcentaje,67.9
2016,Seguridad ciudadana,,Gipuzkoa,Porcentaje,65.2
2017,Seguridad ciudadana,,Gipuzkoa,Porcentaje,74.5
2022,Seguridad ciudadana,,Gipuzkoa,Porcentaje,53.8
2023,Seguridad ciudadana,,Gipuzkoa,Porcentaje,56.0
2019,Seguridad ciudadana,,Gipuzkoa,Porcentaje,60.7
2021,Seguridad ciudadana,,Gipuzkoa,Porcentaje,57.2
2018,Seguridad ciudadana,,Gipuzkoa,Porcentaje,77.8
2020,Seguridad ciudadana,,Gipuzkoa,Porcentaje,53.6
2021,Seguridad ciudadana,Mujer,,Porcentaje,58.0
2022,Seguridad ciudadana,Mujer,,Porcentaje,51.7
2017,Seguridad ciudadana,Mujer,,Porcentaje,62.7
2018,Seguridad ciudadana,Mujer,,Porcentaje,62.5
2019,Seguridad ciudadana,Mujer,,Porcentaje,58.3
2020,Seguridad ciudadana,Mujer,,Porcentaje,50.0
2016,Seguridad ciudadana,Mujer,,Porcentaje,56.9
2023,Seguridad ciudadana,Mujer,,Porcentaje,56.4
2018,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,70.0
2016,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,44.4
2017,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,75.0
2019,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,83.3
2020,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,57.1
2021,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,33.4
2022,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,25.8
2023,Seguridad ciudadana,Mujer,Araba/Álava,Porcentaje,70.7
2016,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,50.0
2017,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,44.0
2020,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,50.0
2021,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,66.4
2023,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,51.2
2022,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,62.8
2018,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,47.8
2019,Seguridad ciudadana,Mujer,Bizkaia,Porcentaje,43.5
2016,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,68.0
2017,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,77.3
2019,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,64.5
2021,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,56.2
2023,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,56.1
2022,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,52.0
2020,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,46.7
2018,Seguridad ciudadana,Mujer,Gipuzkoa,Porcentaje,73.9
2020,Seguridad ciudadana,Hombre,,Porcentaje,60.9
2019,Seguridad ciudadana,Hombre,,Porcentaje,62.1
2017,Seguridad ciudadana,Hombre,,Porcentaje,71.2
2022,Seguridad ciudadana,Hombre,,Porcentaje,60.6
2023,Seguridad ciudadana,Hombre,,Porcentaje,62.9
2018,Seguridad ciudadana,Hombre,,Porcentaje,82.0
2021,Seguridad ciudadana,Hombre,,Porcentaje,65.6
2016,Seguridad ciudadana,Hombre,,Porcentaje,66.7
2019,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,100.0
2016,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,70.0
2018,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,77.8
2021,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,65.6
2023,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,62.6
2017,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,85.7
2020,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,54.5
2022,Seguridad ciudadana,Hombre,Araba/Álava,Porcentaje,49.0
2020,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,63.0
2022,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,78.5
2017,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,60.0
2018,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,83.3
2019,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,57.1
2021,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,80.0
2016,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,69.2
2023,Seguridad ciudadana,Hombre,Bizkaia,Porcentaje,76.3
2016,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,61.9
2017,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,72.0
2018,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,81.8
2019,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,56.7
2020,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,61.5
2021,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,58.4
2022,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,55.2
2023,Seguridad ciudadana,Hombre,Gipuzkoa,Porcentaje,55.8
2016,Servicios sociales,,,Porcentaje,60.2
2013,Servicios sociales,,,Porcentaje,32.7
2023,Servicios sociales,,,Porcentaje,62.2
2019,Servicios sociales,,,Porcentaje,57.5
2014,Servicios sociales,,,Porcentaje,30.3
2022,Servicios sociales,,,Porcentaje,51.6
2017,Servicios sociales,,,Porcentaje,57.1
2011,Servicios sociales,,,Porcentaje,35.2
2020,Servicios sociales,,,Porcentaje,58.3
2015,Servicios sociales,,,Porcentaje,36.4
2018,Servicios sociales,,,Porcentaje,60.5
2012,Servicios sociales,,,Porcentaje,47.6
2021,Servicios sociales,,,Porcentaje,59.6
2023,Servicios sociales,,Araba/Álava,Porcentaje,62.9
2022,Servicios sociales,,Araba/Álava,Porcentaje,53.5
2019,Servicios sociales,,Araba/Álava,Porcentaje,78.6
2020,Servicios sociales,,Araba/Álava,Porcentaje,44.0
2018,Servicios sociales,,Araba/Álava,Porcentaje,73.7
2021,Servicios sociales,,Araba/Álava,Porcentaje,50.4
2017,Servicios sociales,,Araba/Álava,Porcentaje,69.2
2016,Servicios sociales,,Araba/Álava,Porcentaje,66.7
2023,Servicios sociales,,Bizkaia,Porcentaje,53.9
2022,Servicios sociales,,Bizkaia,Porcentaje,60.1
2021,Servicios sociales,,Bizkaia,Porcentaje,57.2
2017,Servicios sociales,,Bizkaia,Porcentaje,34.1
2019,Servicios sociales,,Bizkaia,Porcentaje,48.7
2018,Servicios sociales,,Bizkaia,Porcentaje,48.1
2020,Servicios sociales,,Bizkaia,Porcentaje,65.3
2016,Servicios sociales,,Bizkaia,Porcentaje,42.9
2022,Servicios sociales,,Gipuzkoa,Porcentaje,46.0
2023,Servicios sociales,,Gipuzkoa,Porcentaje,67.1
2019,Servicios sociales,,Gipuzkoa,Porcentaje,58.3
2021,Servicios sociales,,Gipuzkoa,Porcentaje,62.5
2017,Servicios sociales,,Gipuzkoa,Porcentaje,71.1
2016,Servicios sociales,,Gipuzkoa,Porcentaje,74.4
2020,Servicios sociales,,Gipuzkoa,Porcentaje,58.5
2018,Servicios sociales,,Gipuzkoa,Porcentaje,69.8
2019,Servicios sociales,Mujer,,Porcentaje,54.2
2017,Servicios sociales,Mujer,,Porcentaje,52.6
2022,Servicios sociales,Mujer,,Porcentaje,48.1
2020,Servicios sociales,Mujer,,Porcentaje,54.7
2016,Servicios sociales,Mujer,,Porcentaje,50.0
2018,Servicios sociales,Mujer,,Porcentaje,51.9
2023,Servicios sociales,Mujer,,Porcentaje,54.9
2021,Servicios sociales,Mujer,,Porcentaje,58.5
2016,Servicios sociales,Mujer,Araba/Álava,Porcentaje,55.6
2023,Servicios sociales,Mujer,Araba/Álava,Porcentaje,73.0
2022,Servicios sociales,Mujer,Araba/Álava,Porcentaje,38.6
2017,Servicios sociales,Mujer,Araba/Álava,Porcentaje,75.0
2018,Servicios sociales,Mujer,Araba/Álava,Porcentaje,66.7
2019,Servicios sociales,Mujer,Araba/Álava,Porcentaje,100.0
2020,Servicios sociales,Mujer,Araba/Álava,Porcentaje,40.0
2021,Servicios sociales,Mujer,Araba/Álava,Porcentaje,28.9
2021,Servicios sociales,Mujer,Bizkaia,Porcentaje,50.4
2019,Servicios sociales,Mujer,Bizkaia,Porcentaje,36.4
2016,Servicios sociales,Mujer,Bizkaia,Porcentaje,22.7
2017,Servicios sociales,Mujer,Bizkaia,Porcentaje,29.2
2018,Servicios sociales,Mujer,Bizkaia,Porcentaje,36.4
2020,Servicios sociales,Mujer,Bizkaia,Porcentaje,63.6
2022,Servicios sociales,Mujer,Bizkaia,Porcentaje,59.8
2023,Servicios sociales,Mujer,Bizkaia,Porcentaje,39.4
2023,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,60.3
2016,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,72.0
2020,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,55.6
2017,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,66.7
2018,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,61.9
2019,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,58.1
2021,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,66.5
2022,Servicios sociales,Mujer,Gipuzkoa,Porcentaje,42.4
2019,Servicios sociales,Hombre,,Porcentaje,61.1
2018,Servicios sociales,Hombre,,Porcentaje,67.7
2022,Servicios sociales,Hombre,,Porcentaje,54.8
2017,Servicios sociales,Hombre,,Porcentaje,61.8
2020,Servicios sociales,Hombre,,Porcentaje,61.9
2023,Servicios sociales,Hombre,,Porcentaje,70.6
2021,Servicios sociales,Hombre,,Porcentaje,60.9
2016,Servicios sociales,Hombre,,Porcentaje,72.3
2022,Servicios sociales,Hombre,Araba/Álava,Porcentaje,69.4
2016,Servicios sociales,Hombre,Araba/Álava,Porcentaje,77.8
2018,Servicios sociales,Hombre,Araba/Álava,Porcentaje,80.0
2019,Servicios sociales,Hombre,Araba/Álava,Porcentaje,62.5
2020,Servicios sociales,Hombre,Araba/Álava,Porcentaje,50.0
2023,Servicios sociales,Hombre,Araba/Álava,Porcentaje,56.8
2021,Servicios sociales,Hombre,Araba/Álava,Porcentaje,62.9
2017,Servicios sociales,Hombre,Araba/Álava,Porcentaje,64.3
2019,Servicios sociales,Hombre,Bizkaia,Porcentaje,64.7
2017,Servicios sociales,Hombre,Bizkaia,Porcentaje,41.2
2018,Servicios sociales,Hombre,Bizkaia,Porcentaje,56.7
2020,Servicios sociales,Hombre,Bizkaia,Porcentaje,66.7
2021,Servicios sociales,Hombre,Bizkaia,Porcentaje,67.0
2023,Servicios sociales,Hombre,Bizkaia,Porcentaje,75.9
2016,Servicios sociales,Hombre,Bizkaia,Porcentaje,65.0
2022,Servicios sociales,Hombre,Bizkaia,Porcentaje,60.4
2016,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,77.8
2017,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,75.0
2018,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,77.3
2019,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,58.6
2021,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,57.1
2022,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,48.5
2023,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,75.2
2020,Servicios sociales,Hombre,Gipuzkoa,Porcentaje,61.5
2014,Transporte público,,,Porcentaje,72.6
2019,Transporte público,,,Porcentaje,86.3
2016,Transporte público,,,Porcentaje,83.9
2022,Transporte público,,,Porcentaje,81.0
2017,Transporte público,,,Porcentaje,87.9
2012,Transporte público,,,Porcentaje,78.0
2018,Transporte público,,,Porcentaje,83.1
2015,Transporte público,,,Porcentaje,83.2
2021,Transporte público,,,Porcentaje,85.2
2013,Transporte público,,,Porcentaje,70.2
2011,Transporte público,,,Porcentaje,78.1
2020,Transporte público,,,Porcentaje,82.9
2023,Transporte público,,,Porcentaje,81.2
2022,Transporte público,,Araba/Álava,Porcentaje,63.6
2017,Transporte público,,Araba/Álava,Porcentaje,88.0
2016,Transporte público,,Araba/Álava,Porcentaje,68.4
2021,Transporte público,,Araba/Álava,Porcentaje,83.4
2019,Transporte público,,Araba/Álava,Porcentaje,78.6
2023,Transporte público,,Araba/Álava,Porcentaje,82.9
2020,Transporte público,,Araba/Álava,Porcentaje,72.0
2018,Transporte público,,Araba/Álava,Porcentaje,76.5
2017,Transporte público,,Bizkaia,Porcentaje,86.0
2021,Transporte público,,Bizkaia,Porcentaje,72.7
2020,Transporte público,,Bizkaia,Porcentaje,88.0
2019,Transporte público,,Bizkaia,Porcentaje,86.0
2016,Transporte público,,Bizkaia,Porcentaje,90.0
2023,Transporte público,,Bizkaia,Porcentaje,74.2
2018,Transporte público,,Bizkaia,Porcentaje,80.0
2022,Transporte público,,Bizkaia,Porcentaje,77.5
2023,Transporte público,,Gipuzkoa,Porcentaje,84.6
2020,Transporte público,,Gipuzkoa,Porcentaje,83.3
2017,Transporte público,,Gipuzkoa,Porcentaje,89.6
2018,Transporte público,,Gipuzkoa,Porcentaje,89.1
2021,Transporte público,,Gipuzkoa,Porcentaje,91.8
2016,Transporte público,,Gipuzkoa,Porcentaje,83.7
2019,Transporte público,,Gipuzkoa,Porcentaje,88.3
2022,Transporte público,,Gipuzkoa,Porcentaje,87.9
2019,Transporte público,Mujer,,Porcentaje,87.1
2023,Transporte público,Mujer,,Porcentaje,80.8
2021,Transporte público,Mujer,,Porcentaje,83.7
2022,Transporte público,Mujer,,Porcentaje,78.0
2020,Transporte público,Mujer,,Porcentaje,83.3
2016,Transporte público,Mujer,,Porcentaje,86.9
2018,Transporte público,Mujer,,Porcentaje,86.0
2017,Transporte público,Mujer,,Porcentaje,86.2
2020,Transporte público,Mujer,Araba/Álava,Porcentaje,76.9
2022,Transporte público,Mujer,Araba/Álava,Porcentaje,58.8
2023,Transporte público,Mujer,Araba/Álava,Porcentaje,72.3
2018,Transporte público,Mujer,Araba/Álava,Porcentaje,87.5
2019,Transporte público,Mujer,Araba/Álava,Porcentaje,66.7
2021,Transporte público,Mujer,Araba/Álava,Porcentaje,70.9
2016,Transporte público,Mujer,Araba/Álava,Porcentaje,66.7
2017,Transporte público,Mujer,Araba/Álava,Porcentaje,81.8
2017,Transporte público,Mujer,Bizkaia,Porcentaje,78.3
2016,Transporte público,Mujer,Bizkaia,Porcentaje,91.7
2019,Transporte público,Mujer,Bizkaia,Porcentaje,82.6
2020,Transporte público,Mujer,Bizkaia,Porcentaje,87.5
2022,Transporte público,Mujer,Bizkaia,Porcentaje,74.6
2018,Transporte público,Mujer,Bizkaia,Porcentaje,76.0
2023,Transporte público,Mujer,Bizkaia,Porcentaje,73.9
2021,Transporte público,Mujer,Bizkaia,Porcentaje,68.4
2023,Transporte público,Mujer,Gipuzkoa,Porcentaje,87.4
2017,Transporte público,Mujer,Gipuzkoa,Porcentaje,95.8
2021,Transporte público,Mujer,Gipuzkoa,Porcentaje,92.6
2016,Transporte público,Mujer,Gipuzkoa,Porcentaje,89.3
2018,Transporte público,Mujer,Gipuzkoa,Porcentaje,95.8
2019,Transporte público,Mujer,Gipuzkoa,Porcentaje,93.9
2020,Transporte público,Mujer,Gipuzkoa,Porcentaje,82.8
2022,Transporte público,Mujer,Gipuzkoa,Porcentaje,86.0
2022,Transporte público,Hombre,,Porcentaje,84.2
2020,Transporte público,Hombre,,Porcentaje,82.5
2018,Transporte público,Hombre,,Porcentaje,80.3
2016,Transporte público,Hombre,,Porcentaje,80.7
2019,Transporte público,Hombre,,Porcentaje,85.5
2021,Transporte público,Hombre,,Porcentaje,86.9
2017,Transporte público,Hombre,,Porcentaje,89.7
2023,Transporte público,Hombre,,Porcentaje,81.8
2019,Transporte público,Hombre,Araba/Álava,Porcentaje,87.5
2021,Transporte público,Hombre,Araba/Álava,Porcentaje,91.4
2018,Transporte público,Hombre,Araba/Álava,Porcentaje,66.7
2022,Transporte público,Hombre,Araba/Álava,Porcentaje,68.6
2016,Transporte público,Hombre,Araba/Álava,Porcentaje,70.0
2020,Transporte público,Hombre,Araba/Álava,Porcentaje,66.7
2023,Transporte público,Hombre,Araba/Álava,Porcentaje,89.8
2017,Transporte público,Hombre,Araba/Álava,Porcentaje,92.9
2016,Transporte público,Hombre,Bizkaia,Porcentaje,88.5
2018,Transporte público,Hombre,Bizkaia,Porcentaje,83.3
2019,Transporte público,Hombre,Bizkaia,Porcentaje,90.0
2020,Transporte público,Hombre,Bizkaia,Porcentaje,88.5
2022,Transporte público,Hombre,Bizkaia,Porcentaje,81.1
2023,Transporte público,Hombre,Bizkaia,Porcentaje,74.8
2021,Transporte público,Hombre,Bizkaia,Porcentaje,77.6
2017,Transporte público,Hombre,Bizkaia,Porcentaje,95.0
2019,Transporte público,Hombre,Gipuzkoa,Porcentaje,81.5
2016,Transporte público,Hombre,Gipuzkoa,Porcentaje,76.2
2017,Transporte público,Hombre,Gipuzkoa,Porcentaje,83.3
2018,Transporte público,Hombre,Gipuzkoa,Porcentaje,81.8
2020,Transporte público,Hombre,Gipuzkoa,Porcentaje,84.0
2022,Transporte público,Hombre,Gipuzkoa,Porcentaje,89.6
2023,Transporte público,Hombre,Gipuzkoa,Porcentaje,81.4
2021,Transporte público,Hombre,Gipuzkoa,Porcentaje,90.8
2019,Obras públicas,,,Porcentaje,65.2
2022,Obras públicas,,,Porcentaje,51.2
2013,Obras públicas,,,Porcentaje,50.0
2012,Obras públicas,,,Porcentaje,57.3
2017,Obras públicas,,,Porcentaje,66.4
2014,Obras públicas,,,Porcentaje,52.3
2018,Obras públicas,,,Porcentaje,62.8
2016,Obras públicas,,,Porcentaje,58.2
2011,Obras públicas,,,Porcentaje,59.8
2023,Obras públicas,,,Porcentaje,66.5
2020,Obras públicas,,,Porcentaje,56.9
2021,Obras públicas,,,Porcentaje,63.4
2015,Obras públicas,,,Porcentaje,55.0
2021,Obras públicas,,Araba/Álava,Porcentaje,29.2
2020,Obras públicas,,Araba/Álava,Porcentaje,51.9
2018,Obras públicas,,Araba/Álava,Porcentaje,47.4
2019,Obras públicas,,Araba/Álava,Porcentaje,64.3
2022,Obras públicas,,Araba/Álava,Porcentaje,33.5
2016,Obras públicas,,Araba/Álava,Porcentaje,52.6
2023,Obras públicas,,Araba/Álava,Porcentaje,59.5
2017,Obras públicas,,Araba/Álava,Porcentaje,72.0
2017,Obras públicas,,Bizkaia,Porcentaje,76.2
2019,Obras públicas,,Bizkaia,Porcentaje,64.3
2023,Obras públicas,,Bizkaia,Porcentaje,52.7
2021,Obras públicas,,Bizkaia,Porcentaje,65.8
2018,Obras públicas,,Bizkaia,Porcentaje,72.5
2022,Obras públicas,,Bizkaia,Porcentaje,51.0
2016,Obras públicas,,Bizkaia,Porcentaje,54.3
2020,Obras públicas,,Bizkaia,Porcentaje,68.1
2021,Obras públicas,,Gipuzkoa,Porcentaje,68.3
2017,Obras públicas,,Gipuzkoa,Porcentaje,54.3
2018,Obras públicas,,Gipuzkoa,Porcentaje,58.1
2019,Obras públicas,,Gipuzkoa,Porcentaje,66.1
2022,Obras públicas,,Gipuzkoa,Porcentaje,56.4
2016,Obras públicas,,Gipuzkoa,Porcentaje,64.4
2023,Obras públicas,,Gipuzkoa,Porcentaje,77.7
2020,Obras públicas,,Gipuzkoa,Porcentaje,50.0
2020,Obras públicas,Mujer,,Porcentaje,52.3
2019,Obras públicas,Mujer,,Porcentaje,62.5
2022,Obras públicas,Mujer,,Porcentaje,51.1
2023,Obras públicas,Mujer,,Porcentaje,64.1
2017,Obras públicas,Mujer,,Porcentaje,66.1
2021,Obras públicas,Mujer,,Porcentaje,64.0
2018,Obras públicas,Mujer,,Porcentaje,56.6
2016,Obras públicas,Mujer,,Porcentaje,56.4
2017,Obras públicas,Mujer,Araba/Álava,Porcentaje,45.5
2016,Obras públicas,Mujer,Araba/Álava,Porcentaje,55.6
2018,Obras públicas,Mujer,Araba/Álava,Porcentaje,50.0
2019,Obras públicas,Mujer,Araba/Álava,Porcentaje,66.7
2020,Obras públicas,Mujer,Araba/Álava,Porcentaje,53.3
2022,Obras públicas,Mujer,Araba/Álava,Porcentaje,30.4
2023,Obras públicas,Mujer,Araba/Álava,Porcentaje,61.4
2021,Obras públicas,Mujer,Araba/Álava,Porcentaje,15.4
2022,Obras públicas,Mujer,Bizkaia,Porcentaje,52.5
2019,Obras públicas,Mujer,Bizkaia,Porcentaje,52.2
2021,Obras públicas,Mujer,Bizkaia,Porcentaje,72.9
2020,Obras públicas,Mujer,Bizkaia,Porcentaje,60.0
2016,Obras públicas,Mujer,Bizkaia,Porcentaje,38.1
2018,Obras públicas,Mujer,Bizkaia,Porcentaje,63.6
2023,Obras públicas,Mujer,Bizkaia,Porcentaje,46.1
2017,Obras públicas,Mujer,Bizkaia,Porcentaje,78.3
2017,Obras públicas,Mujer,Gipuzkoa,Porcentaje,63.6
2016,Obras públicas,Mujer,Gipuzkoa,Porcentaje,72.0
2018,Obras públicas,Mujer,Gipuzkoa,Porcentaje,52.4
2019,Obras públicas,Mujer,Gipuzkoa,Porcentaje,70.4
2020,Obras públicas,Mujer,Gipuzkoa,Porcentaje,46.7
2022,Obras públicas,Mujer,Gipuzkoa,Porcentaje,56.9
2023,Obras públicas,Mujer,Gipuzkoa,Porcentaje,77.3
2021,Obras públicas,Mujer,Gipuzkoa,Porcentaje,65.0
2019,Obras públicas,Hombre,,Porcentaje,67.9
2021,Obras públicas,Hombre,,Porcentaje,62.8
2016,Obras públicas,Hombre,,Porcentaje,60.0
2022,Obras públicas,Hombre,,Porcentaje,51.3
2020,Obras públicas,Hombre,,Porcentaje,61.5
2017,Obras públicas,Hombre,,Porcentaje,66.7
2023,Obras públicas,Hombre,,Porcentaje,69.1
2018,Obras públicas,Hombre,,Porcentaje,68.3
2019,Obras públicas,Hombre,Araba/Álava,Porcentaje,62.5
2021,Obras públicas,Hombre,Araba/Álava,Porcentaje,37.3
2023,Obras públicas,Hombre,Araba/Álava,Porcentaje,58.4
2020,Obras públicas,Hombre,Araba/Álava,Porcentaje,50.0
2016,Obras públicas,Hombre,Araba/Álava,Porcentaje,50.0
2018,Obras públicas,Hombre,Araba/Álava,Porcentaje,44.4
2022,Obras públicas,Hombre,Araba/Álava,Porcentaje,36.6
2017,Obras públicas,Hombre,Araba/Álava,Porcentaje,92.9
2016,Obras públicas,Hombre,Bizkaia,Porcentaje,68.0
2017,Obras públicas,Hombre,Bizkaia,Porcentaje,73.7
