Year,Series,Operación de tratamiento de residuos,Territorio histórico,Units,Value
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Porcentaje,30.8
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Porcentaje,23.5
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Porcentaje,21.4
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,,Porcentaje,24.7
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,3.7
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,2.9
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,4.3
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,4.4
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,4.2
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,1.6
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,3.5
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,1.3
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,4.4
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Araba/Álava,Porcentaje,2.1
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,42.2
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,49.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,44.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,43.0
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,43.8
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,39.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,41.2
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,42.5
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,41.9
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Bizkaia,Porcentaje,41.2
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,21.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,6.9
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,7.4
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,6.9
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,9.3
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,29.8
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,30.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,5.6
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,5.4
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Incineración con recuperación de energía,Gipuzkoa,Porcentaje,1.1
2010,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,53.9
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,37.3
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,21.9
2011,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,51.1
2017,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,36.4
2014,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,41.2
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,45.2
2022,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,18.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,31.7
2021,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,22.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,35.7
2012,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,50.7
2015,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,,Porcentaje,35.6
2019,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Porcentaje,58.7
2016,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Porcentaje,61.8
2020,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Porcentaje,58.8
2013,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Porcentaje,72.1
2018,"Proporción de residuos urbanos tratados, desglosados por tipo de tratamiento",Depósito en vertedero,Araba/Álava,Porcentaje,64.0
