Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,80.0
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,80.8
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,81.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,76.2
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,81.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,78.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,69.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,79.4
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,Porcentaje,76.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,81.5
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,80.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,82.2
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,77.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,76.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,82.2
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,82.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,80.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,79.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,84.6
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,79.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,71.3
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,81.7
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,Porcentaje,72.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,77.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,73.1
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,80.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,74.2
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,81.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,78.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,80.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,76.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,74.5
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,80.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,72.6
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,81.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,80.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,Porcentaje,79.8
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,11.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,11.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,24.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,24.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,18.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,18.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,22.9
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,20.8
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,17.9
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,20.7
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,23.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,21.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,12.3
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,Porcentaje,20.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,25.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,24.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,23.4
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,24.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,19.3
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,11.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,23.2
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,10.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,20.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,11.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,22.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,18.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,20.6
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,Porcentaje,18.6
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,19.8
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,21.4
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,24.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,10.8
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,12.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,11.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,18.8
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,21.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,21.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,18.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,20.7
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,23.4
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,23.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,Porcentaje,17.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,20.1
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,13.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,17.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,24.4
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,17.8
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,23.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,25.9
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,21.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,20.6
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,13.2
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,13.5
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,18.4
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,20.6
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Gipuzkoa,Porcentaje,22.9
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,10.6
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,3.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,9.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,12.2
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,13.5
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,10.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,15.7
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,12.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,14.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,8.5
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,3.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,9.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,11.7
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,,Porcentaje,2.8
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,16.8
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,11.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,13.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,2.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,16.6
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,2.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,15.7
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,10.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,13.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,10.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,10.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,9.8
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,2.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Araba/Álava,Porcentaje,13.4
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,9.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,11.1
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,13.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,12.4
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,2.2
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,14.2
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,8.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,1.9
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,11.7
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,9.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,14.6
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,2.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,11.5
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Bizkaia,Porcentaje,11.3
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,4.0
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,4.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,12.6
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,17.2
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,15.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,7.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,9.3
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,4.4
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,12.0
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,9.5
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,9.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,11.0
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,8.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,25-64 años,Gipuzkoa,Porcentaje,11.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,81.1
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,83.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,80.2
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,76.3
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,78.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,85.1
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,79.7
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,81.6
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,73.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,75.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,81.4
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,83.0
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,82.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,,Porcentaje,72.1
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,79.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,78.8
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,77.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,85.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,87.5
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,81.3
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,85.3
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,71.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,77.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,80.4
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,69.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,81.0
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,76.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Araba/Álava,Porcentaje,80.2
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,78.0
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,80.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,83.9
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,76.8
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,73.0
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,86.9
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,79.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,82.8
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,84.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,76.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,82.8
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,81.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,81.1
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Bizkaia,Porcentaje,72.3
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,82.7
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,78.5
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,81.3
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,82.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,81.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,82.9
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,75.0
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,74.2
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,75.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,Mujer,15-24 años,Gipuzkoa,Porcentaje,77.9
