Year,Series,Territorio histórico,Units,Value
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,,Porcentaje,0.4
2021,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,14.3
2020,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,15.0
2013,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,12.8
2010,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,7.6
2014,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,13.4
2016,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,14.0
2015,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,13.8
2017,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,13.8
2019,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,11.8
2012,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,11.0
2011,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,8.3
2018,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,,Porcentaje,13.1
2018,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,0.7
2017,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,1.5
2020,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-1.0
2012,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-1.4
2021,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,0.8
2010,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-2.7
2011,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-2.6
2013,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-1.2
2019,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,0.5
2014,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-1.0
2015,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-0.6
2016,Saldo fiscal de las administraciones públicas autonómicas en proporción al PIB,,Porcentaje,-0.6
