Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2023,Usar hojas de cálculo,Mujer,16-74 años,Bizkaia,%,39.9
2022,Usar hojas de cálculo,Mujer,16-74 años,Bizkaia,%,38.9
2021,Usar hojas de cálculo,Mujer,16-74 años,Gipuzkoa,%,44.01
2023,Usar hojas de cálculo,Mujer,16-74 años,Gipuzkoa,%,43.22
2022,Usar hojas de cálculo,Mujer,16-74 años,Gipuzkoa,%,43.39
2019,Usar hojas de cálculo,Mujer,16-74 años,Gipuzkoa,%,41.65
2020,Usar hojas de cálculo,Mujer,16-74 años,Gipuzkoa,%,42.34
2022,Usar hojas de cálculo,Mujer,25-74 años,,%,37.57
2021,Usar hojas de cálculo,Mujer,25-74 años,,%,39.58
2020,Usar hojas de cálculo,Mujer,25-74 años,,%,36.35
2019,Usar hojas de cálculo,Mujer,25-74 años,,%,36.14
2023,Usar hojas de cálculo,Mujer,25-74 años,,%,37.94
2023,Usar hojas de cálculo,Mujer,25-74 años,Araba/Álava,%,36.57
2022,Usar hojas de cálculo,Mujer,25-74 años,Araba/Álava,%,40.58
2021,Usar hojas de cálculo,Mujer,25-74 años,Araba/Álava,%,40.86
2019,Usar hojas de cálculo,Mujer,25-74 años,Araba/Álava,%,36.59
2020,Usar hojas de cálculo,Mujer,25-74 años,Araba/Álava,%,36.87
2021,Usar hojas de cálculo,Mujer,25-74 años,Bizkaia,%,38.74
2023,Usar hojas de cálculo,Mujer,25-74 años,Bizkaia,%,37.61
2022,Usar hojas de cálculo,Mujer,25-74 años,Bizkaia,%,35.08
2019,Usar hojas de cálculo,Mujer,25-74 años,Bizkaia,%,35.04
2020,Usar hojas de cálculo,Mujer,25-74 años,Bizkaia,%,35.03
2022,Usar hojas de cálculo,Mujer,25-74 años,Gipuzkoa,%,40.32
2023,Usar hojas de cálculo,Mujer,25-74 años,Gipuzkoa,%,39.13
2021,Usar hojas de cálculo,Mujer,25-74 años,Gipuzkoa,%,40.36
2020,Usar hojas de cálculo,Mujer,25-74 años,Gipuzkoa,%,38.26
2019,Usar hojas de cálculo,Mujer,25-74 años,Gipuzkoa,%,37.74
2021,Usar hojas de cálculo,Hombre,16-24 años,,%,70.16
2019,Usar hojas de cálculo,Hombre,16-24 años,,%,69.81
2022,Usar hojas de cálculo,Hombre,16-24 años,,%,67.98
2020,Usar hojas de cálculo,Hombre,16-24 años,,%,72.51
2023,Usar hojas de cálculo,Hombre,16-24 años,,%,62.72
2020,Usar hojas de cálculo,Hombre,16-24 años,Araba/Álava,%,72.68
2022,Usar hojas de cálculo,Hombre,16-24 años,Araba/Álava,%,76.98
2021,Usar hojas de cálculo,Hombre,16-24 años,Araba/Álava,%,60.36
2023,Usar hojas de cálculo,Hombre,16-24 años,Araba/Álava,%,54.19
2019,Usar hojas de cálculo,Hombre,16-24 años,Araba/Álava,%,69.71
2021,Usar hojas de cálculo,Hombre,16-24 años,Bizkaia,%,68.76
2019,Usar hojas de cálculo,Hombre,16-24 años,Bizkaia,%,70.3
2023,Usar hojas de cálculo,Hombre,16-24 años,Bizkaia,%,62.89
2020,Usar hojas de cálculo,Hombre,16-24 años,Bizkaia,%,71.66
2022,Usar hojas de cálculo,Hombre,16-24 años,Bizkaia,%,68.79
2021,Usar hojas de cálculo,Hombre,16-24 años,Gipuzkoa,%,76.33
2023,Usar hojas de cálculo,Hombre,16-24 años,Gipuzkoa,%,66.82
2020,Usar hojas de cálculo,Hombre,16-24 años,Gipuzkoa,%,73.69
2022,Usar hojas de cálculo,Hombre,16-24 años,Gipuzkoa,%,63.16
2019,Usar hojas de cálculo,Hombre,16-24 años,Gipuzkoa,%,69.19
2023,Usar hojas de cálculo,Hombre,16-74 años,,%,42.84
2021,Usar hojas de cálculo,Hombre,16-74 años,,%,46.58
2019,Usar hojas de cálculo,Hombre,16-74 años,,%,44.35
2022,Usar hojas de cálculo,Hombre,16-74 años,,%,43.44
2020,Usar hojas de cálculo,Hombre,16-74 años,,%,42.48
2020,Usar hojas de cálculo,Hombre,16-74 años,Araba/Álava,%,39.7
2022,Usar hojas de cálculo,Hombre,16-74 años,Araba/Álava,%,45.95
2021,Usar hojas de cálculo,Hombre,16-74 años,Araba/Álava,%,44.95
2023,Usar hojas de cálculo,Hombre,16-74 años,Araba/Álava,%,35.4
2019,Usar hojas de cálculo,Hombre,16-74 años,Araba/Álava,%,45.71
2019,Usar hojas de cálculo,Hombre,16-74 años,Bizkaia,%,44.24
2022,Usar hojas de cálculo,Hombre,16-74 años,Bizkaia,%,42.95
2020,Usar hojas de cálculo,Hombre,16-74 años,Bizkaia,%,44.29
2021,Usar hojas de cálculo,Hombre,16-74 años,Bizkaia,%,48.18
2023,Usar hojas de cálculo,Hombre,16-74 años,Bizkaia,%,43.27
2019,Usar hojas de cálculo,Hombre,16-74 años,Gipuzkoa,%,43.91
2020,Usar hojas de cálculo,Hombre,16-74 años,Gipuzkoa,%,40.86
2021,Usar hojas de cálculo,Hombre,16-74 años,Gipuzkoa,%,44.77
2023,Usar hojas de cálculo,Hombre,16-74 años,Gipuzkoa,%,45.65
2022,Usar hojas de cálculo,Hombre,16-74 años,Gipuzkoa,%,43.05
2023,Usar hojas de cálculo,Hombre,25-74 años,,%,40.06
2019,Usar hojas de cálculo,Hombre,25-74 años,,%,41.44
2021,Usar hojas de cálculo,Hombre,25-74 años,,%,43.19
2022,Usar hojas de cálculo,Hombre,25-74 años,,%,40.07
2020,Usar hojas de cálculo,Hombre,25-74 años,,%,38.56
2023,Usar hojas de cálculo,Hombre,25-74 años,Araba/Álava,%,32.43
2020,Usar hojas de cálculo,Hombre,25-74 años,Araba/Álava,%,35.19
2021,Usar hojas de cálculo,Hombre,25-74 años,Araba/Álava,%,42.61
2019,Usar hojas de cálculo,Hombre,25-74 años,Araba/Álava,%,43.17
2022,Usar hojas de cálculo,Hombre,25-74 años,Araba/Álava,%,42.14
2022,Usar hojas de cálculo,Hombre,25-74 años,Bizkaia,%,39.43
2020,Usar hojas de cálculo,Hombre,25-74 años,Bizkaia,%,40.89
2021,Usar hojas de cálculo,Hombre,25-74 años,Bizkaia,%,45.5
2019,Usar hojas de cálculo,Hombre,25-74 años,Bizkaia,%,41.44
2023,Usar hojas de cálculo,Hombre,25-74 años,Bizkaia,%,40.68
2020,Usar hojas de cálculo,Hombre,25-74 años,Gipuzkoa,%,36.35
2021,Usar hojas de cálculo,Hombre,25-74 años,Gipuzkoa,%,39.7
2019,Usar hojas de cálculo,Hombre,25-74 años,Gipuzkoa,%,40.67
2023,Usar hojas de cálculo,Hombre,25-74 años,Gipuzkoa,%,42.6
2022,Usar hojas de cálculo,Hombre,25-74 años,Gipuzkoa,%,40.1
2020,Programar en un lenguaje de programación,,16-24 años,,%,13.21
2022,Programar en un lenguaje de programación,,16-24 años,,%,11.04
2023,Programar en un lenguaje de programación,,16-24 años,,%,16.58
2019,Programar en un lenguaje de programación,,16-24 años,,%,12.34
2021,Programar en un lenguaje de programación,,16-24 años,,%,14.65
2021,Programar en un lenguaje de programación,,16-24 años,Araba/Álava,%,14.49
2023,Programar en un lenguaje de programación,,16-24 años,Araba/Álava,%,14.41
2022,Programar en un lenguaje de programación,,16-24 años,Araba/Álava,%,11.05
2020,Programar en un lenguaje de programación,,16-24 años,Araba/Álava,%,7.03
2019,Programar en un lenguaje de programación,,16-24 años,Araba/Álava,%,10.56
2022,Programar en un lenguaje de programación,,16-24 años,Bizkaia,%,11.36
2023,Programar en un lenguaje de programación,,16-24 años,Bizkaia,%,20.07
2019,Programar en un lenguaje de programación,,16-24 años,Bizkaia,%,14.19
2021,Programar en un lenguaje de programación,,16-24 años,Bizkaia,%,14.51
2020,Programar en un lenguaje de programación,,16-24 años,Bizkaia,%,16.12
2020,Programar en un lenguaje de programación,,16-24 años,Gipuzkoa,%,11.7
2022,Programar en un lenguaje de programación,,16-24 años,Gipuzkoa,%,10.53
2019,Programar en un lenguaje de programación,,16-24 años,Gipuzkoa,%,10.54
2023,Programar en un lenguaje de programación,,16-24 años,Gipuzkoa,%,12.47
2021,Programar en un lenguaje de programación,,16-24 años,Gipuzkoa,%,14.93
2021,Programar en un lenguaje de programación,,16-74 años,,%,5.27
2023,Programar en un lenguaje de programación,,16-74 años,,%,6.23
2020,Programar en un lenguaje de programación,,16-74 años,,%,5.69
2022,Programar en un lenguaje de programación,,16-74 años,,%,5.26
2019,Programar en un lenguaje de programación,,16-74 años,,%,5.56
2020,Programar en un lenguaje de programación,,16-74 años,Araba/Álava,%,5.73
2022,Programar en un lenguaje de programación,,16-74 años,Araba/Álava,%,4.73
2023,Programar en un lenguaje de programación,,16-74 años,Araba/Álava,%,4.26
2021,Programar en un lenguaje de programación,,16-74 años,Araba/Álava,%,5.7
2019,Programar en un lenguaje de programación,,16-74 años,Araba/Álava,%,5.27
2020,Programar en un lenguaje de programación,,16-74 años,Bizkaia,%,5.74
2023,Programar en un lenguaje de programación,,16-74 años,Bizkaia,%,6.86
2022,Programar en un lenguaje de programación,,16-74 años,Bizkaia,%,5.14
2019,Programar en un lenguaje de programación,,16-74 años,Bizkaia,%,5.83
2021,Programar en un lenguaje de programación,,16-74 años,Bizkaia,%,5.17
2022,Programar en un lenguaje de programación,,16-74 años,Gipuzkoa,%,5.69
2019,Programar en un lenguaje de programación,,16-74 años,Gipuzkoa,%,5.24
2021,Programar en un lenguaje de programación,,16-74 años,Gipuzkoa,%,5.21
2020,Programar en un lenguaje de programación,,16-74 años,Gipuzkoa,%,5.58
2023,Programar en un lenguaje de programación,,16-74 años,Gipuzkoa,%,6.12
2023,Programar en un lenguaje de programación,,25-74 años,,%,4.86
2019,Programar en un lenguaje de programación,,25-74 años,,%,4.79
2020,Programar en un lenguaje de programación,,25-74 años,,%,4.76
2021,Programar en un lenguaje de programación,,25-74 años,,%,4.0
2022,Programar en un lenguaje de programación,,25-74 años,,%,4.49
2019,Programar en un lenguaje de programación,,25-74 años,Araba/Álava,%,4.67
2023,Programar en un lenguaje de programación,,25-74 años,Araba/Álava,%,2.86
2020,Programar en un lenguaje de programación,,25-74 años,Araba/Álava,%,5.57
2022,Programar en un lenguaje de programación,,25-74 años,Araba/Álava,%,3.98
2021,Programar en un lenguaje de programación,,25-74 años,Araba/Álava,%,4.5
2023,Programar en un lenguaje de programación,,25-74 años,Bizkaia,%,5.19
2021,Programar en un lenguaje de programación,,25-74 años,Bizkaia,%,3.98
2022,Programar en un lenguaje de programación,,25-74 años,Bizkaia,%,4.33
2019,Programar en un lenguaje de programación,,25-74 años,Bizkaia,%,4.96
2020,Programar en un lenguaje de programación,,25-74 años,Bizkaia,%,4.51
2022,Programar en un lenguaje de programación,,25-74 años,Gipuzkoa,%,5.01
2023,Programar en un lenguaje de programación,,25-74 años,Gipuzkoa,%,5.23
2021,Programar en un lenguaje de programación,,25-74 años,Gipuzkoa,%,3.81
2019,Programar en un lenguaje de programación,,25-74 años,Gipuzkoa,%,4.58
2020,Programar en un lenguaje de programación,,25-74 años,Gipuzkoa,%,4.78
2023,Programar en un lenguaje de programación,Mujer,16-24 años,,%,12.07
2020,Programar en un lenguaje de programación,Mujer,16-24 años,,%,9.66
2021,Programar en un lenguaje de programación,Mujer,16-24 años,,%,11.1
2022,Programar en un lenguaje de programación,Mujer,16-24 años,,%,9.13
2019,Programar en un lenguaje de programación,Mujer,16-24 años,,%,8.88
2022,Programar en un lenguaje de programación,Mujer,16-24 años,Araba/Álava,%,4.68
2021,Programar en un lenguaje de programación,Mujer,16-24 años,Araba/Álava,%,9.22
2020,Programar en un lenguaje de programación,Mujer,16-24 años,Araba/Álava,%,4.12
2023,Programar en un lenguaje de programación,Mujer,16-24 años,Araba/Álava,%,8.98
2019,Programar en un lenguaje de programación,Mujer,16-24 años,Araba/Álava,%,7.88
2021,Programar en un lenguaje de programación,Mujer,16-24 años,Bizkaia,%,13.4
2022,Programar en un lenguaje de programación,Mujer,16-24 años,Bizkaia,%,13.13
2019,Programar en un lenguaje de programación,Mujer,16-24 años,Bizkaia,%,10.67
2023,Programar en un lenguaje de programación,Mujer,16-24 años,Bizkaia,%,15.5
2020,Programar en un lenguaje de programación,Mujer,16-24 años,Bizkaia,%,11.49
2020,Programar en un lenguaje de programación,Mujer,16-24 años,Gipuzkoa,%,9.35
2019,Programar en un lenguaje de programación,Mujer,16-24 años,Gipuzkoa,%,6.83
2021,Programar en un lenguaje de programación,Mujer,16-24 años,Gipuzkoa,%,8.26
2023,Programar en un lenguaje de programación,Mujer,16-24 años,Gipuzkoa,%,8.28
2022,Programar en un lenguaje de programación,Mujer,16-24 años,Gipuzkoa,%,4.69
2020,Programar en un lenguaje de programación,Mujer,16-74 años,,%,4.04
2022,Programar en un lenguaje de programación,Mujer,16-74 años,,%,3.35
2021,Programar en un lenguaje de programación,Mujer,16-74 años,,%,3.14
2019,Programar en un lenguaje de programación,Mujer,16-74 años,,%,3.05
2023,Programar en un lenguaje de programación,Mujer,16-74 años,,%,4.42
2020,Programar en un lenguaje de programación,Mujer,16-74 años,Araba/Álava,%,4.65
2019,Programar en un lenguaje de programación,Mujer,16-74 años,Araba/Álava,%,3.04
2021,Programar en un lenguaje de programación,Mujer,16-74 años,Araba/Álava,%,3.69
2023,Programar en un lenguaje de programación,Mujer,16-74 años,Araba/Álava,%,3.54
2022,Programar en un lenguaje de programación,Mujer,16-74 años,Araba/Álava,%,3.03
2021,Programar en un lenguaje de programación,Mujer,16-74 años,Bizkaia,%,3.34
2022,Programar en un lenguaje de programación,Mujer,16-74 años,Bizkaia,%,3.74
2020,Programar en un lenguaje de programación,Mujer,16-74 años,Bizkaia,%,3.56
2019,Programar en un lenguaje de programación,Mujer,16-74 años,Bizkaia,%,3.27
2023,Programar en un lenguaje de programación,Mujer,16-74 años,Bizkaia,%,5.32
2021,Programar en un lenguaje de programación,Mujer,16-74 años,Gipuzkoa,%,2.57
2020,Programar en un lenguaje de programación,Mujer,16-74 años,Gipuzkoa,%,4.53
2019,Programar en un lenguaje de programación,Mujer,16-74 años,Gipuzkoa,%,2.71
2023,Programar en un lenguaje de programación,Mujer,16-74 años,Gipuzkoa,%,3.36
2022,Programar en un lenguaje de programación,Mujer,16-74 años,Gipuzkoa,%,2.84
2023,Programar en un lenguaje de programación,Mujer,25-74 años,,%,3.46
2021,Programar en un lenguaje de programación,Mujer,25-74 años,,%,2.15
2019,Programar en un lenguaje de programación,Mujer,25-74 años,,%,2.4
2022,Programar en un lenguaje de programación,Mujer,25-74 años,,%,2.62
2020,Programar en un lenguaje de programación,Mujer,25-74 años,,%,3.38
2019,Programar en un lenguaje de programación,Mujer,25-74 años,Araba/Álava,%,2.46
2020,Programar en un lenguaje de programación,Mujer,25-74 años,Araba/Álava,%,4.71
2023,Programar en un lenguaje de programación,Mujer,25-74 años,Araba/Álava,%,2.9
2022,Programar en un lenguaje de programación,Mujer,25-74 años,Araba/Álava,%,2.84
2021,Programar en un lenguaje de programación,Mujer,25-74 años,Araba/Álava,%,3.01
2021,Programar en un lenguaje de programación,Mujer,25-74 años,Bizkaia,%,2.09
2022,Programar en un lenguaje de programación,Mujer,25-74 años,Bizkaia,%,2.57
2019,Programar en un lenguaje de programación,Mujer,25-74 años,Bizkaia,%,2.51
2020,Programar en un lenguaje de programación,Mujer,25-74 años,Bizkaia,%,2.65
2023,Programar en un lenguaje de programación,Mujer,25-74 años,Bizkaia,%,4.09
2020,Programar en un lenguaje de programación,Mujer,25-74 años,Gipuzkoa,%,3.93
2023,Programar en un lenguaje de programación,Mujer,25-74 años,Gipuzkoa,%,2.69
2022,Programar en un lenguaje de programación,Mujer,25-74 años,Gipuzkoa,%,2.59
2019,Programar en un lenguaje de programación,Mujer,25-74 años,Gipuzkoa,%,2.21
2021,Programar en un lenguaje de programación,Mujer,25-74 años,Gipuzkoa,%,1.84
2020,Programar en un lenguaje de programación,Hombre,16-24 años,,%,16.53
2023,Programar en un lenguaje de programación,Hombre,16-24 años,,%,20.82
2021,Programar en un lenguaje de programación,Hombre,16-24 años,,%,17.82
2022,Programar en un lenguaje de programación,Hombre,16-24 años,,%,12.88
2019,Programar en un lenguaje de programación,Hombre,16-24 años,,%,15.83
2020,Programar en un lenguaje de programación,Hombre,16-24 años,Araba/Álava,%,9.56
2019,Programar en un lenguaje de programación,Hombre,16-24 años,Araba/Álava,%,13.71
2021,Programar en un lenguaje de programación,Hombre,16-24 años,Araba/Álava,%,18.8
2023,Programar en un lenguaje de programación,Hombre,16-24 años,Araba/Álava,%,18.62
2022,Programar en un lenguaje de programación,Hombre,16-24 años,Araba/Álava,%,17.3
2020,Programar en un lenguaje de programación,Hombre,16-24 años,Bizkaia,%,20.49
2019,Programar en un lenguaje de programación,Hombre,16-24 años,Bizkaia,%,17.71
2022,Programar en un lenguaje de programación,Hombre,16-24 años,Bizkaia,%,9.61
2023,Programar en un lenguaje de programación,Hombre,16-24 años,Bizkaia,%,24.51
2021,Programar en un lenguaje de programación,Hombre,16-24 años,Bizkaia,%,15.6
2023,Programar en un lenguaje de programación,Hombre,16-24 años,Gipuzkoa,%,16.54
2020,Programar en un lenguaje de programación,Hombre,16-24 años,Gipuzkoa,%,13.92
2022,Programar en un lenguaje de programación,Hombre,16-24 años,Gipuzkoa,%,16.01
2019,Programar en un lenguaje de programación,Hombre,16-24 años,Gipuzkoa,%,14.1
2021,Programar en un lenguaje de programación,Hombre,16-24 años,Gipuzkoa,%,20.33
2022,Programar en un lenguaje de programación,Hombre,16-74 años,,%,7.25
2020,Programar en un lenguaje de programación,Hombre,16-74 años,,%,7.37
2023,Programar en un lenguaje de programación,Hombre,16-74 años,,%,8.1
2021,Programar en un lenguaje de programación,Hombre,16-74 años,,%,7.4
2019,Programar en un lenguaje de programación,Hombre,16-74 años,,%,8.14
2022,Programar en un lenguaje de programación,Hombre,16-74 años,Araba/Álava,%,6.49
2020,Programar en un lenguaje de programación,Hombre,16-74 años,Araba/Álava,%,6.83
2019,Programar en un lenguaje de programación,Hombre,16-74 años,Araba/Álava,%,7.6
2021,Programar en un lenguaje de programación,Hombre,16-74 años,Araba/Álava,%,7.7
2023,Programar en un lenguaje de programación,Hombre,16-74 años,Araba/Álava,%,4.98
2020,Programar en un lenguaje de programación,Hombre,16-74 años,Bizkaia,%,7.98
2022,Programar en un lenguaje de programación,Hombre,16-74 años,Bizkaia,%,6.64
2021,Programar en un lenguaje de programación,Hombre,16-74 años,Bizkaia,%,7.05
2019,Programar en un lenguaje de programación,Hombre,16-74 años,Bizkaia,%,8.5
2023,Programar en un lenguaje de programación,Hombre,16-74 años,Bizkaia,%,8.48
2022,Programar en un lenguaje de programación,Hombre,16-74 años,Gipuzkoa,%,8.57
2019,Programar en un lenguaje de programación,Hombre,16-74 años,Gipuzkoa,%,7.79
2020,Programar en un lenguaje de programación,Hombre,16-74 años,Gipuzkoa,%,6.65
2021,Programar en un lenguaje de programación,Hombre,16-74 años,Gipuzkoa,%,7.81
2023,Programar en un lenguaje de programación,Hombre,16-74 años,Gipuzkoa,%,8.95
2023,Programar en un lenguaje de programación,Hombre,25-74 años,,%,6.32
2020,Programar en un lenguaje de programación,Hombre,25-74 años,,%,6.18
2021,Programar en un lenguaje de programación,Hombre,25-74 años,,%,5.9
2022,Programar en un lenguaje de programación,Hombre,25-74 años,,%,6.47
2019,Programar en un lenguaje de programación,Hombre,25-74 años,,%,7.26
2022,Programar en un lenguaje de programación,Hombre,25-74 años,Araba/Álava,%,5.16
2021,Programar en un lenguaje de programación,Hombre,25-74 años,Araba/Álava,%,6.01
2020,Programar en un lenguaje de programación,Hombre,25-74 años,Araba/Álava,%,6.46
2023,Programar en un lenguaje de programación,Hombre,25-74 años,Araba/Álava,%,2.83
2019,Programar en un lenguaje de programación,Hombre,25-74 años,Araba/Álava,%,6.95
2023,Programar en un lenguaje de programación,Hombre,25-74 años,Bizkaia,%,6.37
2021,Programar en un lenguaje de programación,Hombre,25-74 años,Bizkaia,%,5.93
2019,Programar en un lenguaje de programación,Hombre,25-74 años,Bizkaia,%,7.51
2022,Programar en un lenguaje de programación,Hombre,25-74 años,Bizkaia,%,6.23
2020,Programar en un lenguaje de programación,Hombre,25-74 años,Bizkaia,%,6.42
2020,Programar en un lenguaje de programación,Hombre,25-74 años,Gipuzkoa,%,5.65
2023,Programar en un lenguaje de programación,Hombre,25-74 años,Gipuzkoa,%,7.85
2021,Programar en un lenguaje de programación,Hombre,25-74 años,Gipuzkoa,%,5.8
2019,Programar en un lenguaje de programación,Hombre,25-74 años,Gipuzkoa,%,6.98
2022,Programar en un lenguaje de programación,Hombre,25-74 años,Gipuzkoa,%,7.48
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,,%,77.6
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,,%,85.19
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,,%,84.87
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,,%,78.1
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,,%,84.6
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Araba/Álava,%,82.26
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Araba/Álava,%,84.7
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Araba/Álava,%,86.93
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Araba/Álava,%,83.91
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Araba/Álava,%,81.74
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Bizkaia,%,83.91
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Bizkaia,%,88.2
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Bizkaia,%,85.4
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Bizkaia,%,76.45
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Bizkaia,%,76.61
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Gipuzkoa,%,76.4
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Gipuzkoa,%,84.57
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Gipuzkoa,%,80.35
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Gipuzkoa,%,86.17
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-24 años,Gipuzkoa,%,78.88
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,,%,51.89
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,,%,52.11
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,,%,55.16
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,,%,49.97
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,,%,60.29
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Araba/Álava,%,59.61
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Araba/Álava,%,52.54
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Araba/Álava,%,55.92
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Araba/Álava,%,46.04
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Araba/Álava,%,51.64
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Bizkaia,%,52.78
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Bizkaia,%,60.31
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Bizkaia,%,52.27
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Bizkaia,%,50.57
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Bizkaia,%,54.17
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Gipuzkoa,%,50.59
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Gipuzkoa,%,60.59
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Gipuzkoa,%,51.64
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Gipuzkoa,%,56.4
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,16-74 años,Gipuzkoa,%,50.82
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,,%,51.51
2021,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,,%,56.95
2022,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,,%,48.68
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,,%,46.31
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,,%,48.18
2023,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,Araba/Álava,%,40.81
2019,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,Araba/Álava,%,47.91
2020,"Transferir ficheros entre el ordenador y otros dispositivos (cámaras digitales, teléfonos móviles, mp3 o mp4)",,25-74 años,Araba/Álava,%,52.03
