Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2022,Alguna habilidad informática,Hombre,16-74 años,Bizkaia,%,69.91
2023,Alguna habilidad informática,Hombre,16-74 años,Bizkaia,%,73.02
2022,Alguna habilidad informática,Hombre,16-74 años,Gipuzkoa,%,68.84
2020,Alguna habilidad informática,Hombre,16-74 años,Gipuzkoa,%,72.34
2019,Alguna habilidad informática,Hombre,16-74 años,Gipuzkoa,%,66.91
2021,Alguna habilidad informática,Hombre,16-74 años,Gipuzkoa,%,75.76
2023,Alguna habilidad informática,Hombre,16-74 años,Gipuzkoa,%,73.03
2022,Alguna habilidad informática,Hombre,25-74 años,,%,66.08
2020,Alguna habilidad informática,Hombre,25-74 años,,%,68.27
2021,Alguna habilidad informática,Hombre,25-74 años,,%,73.44
2023,Alguna habilidad informática,Hombre,25-74 años,,%,69.64
2019,Alguna habilidad informática,Hombre,25-74 años,,%,66.92
2023,Alguna habilidad informática,Hombre,25-74 años,Araba/Álava,%,64.99
2020,Alguna habilidad informática,Hombre,25-74 años,Araba/Álava,%,65.32
2021,Alguna habilidad informática,Hombre,25-74 años,Araba/Álava,%,73.2
2022,Alguna habilidad informática,Hombre,25-74 años,Araba/Álava,%,65.93
2019,Alguna habilidad informática,Hombre,25-74 años,Araba/Álava,%,68.85
2020,Alguna habilidad informática,Hombre,25-74 años,Bizkaia,%,68.8
2019,Alguna habilidad informática,Hombre,25-74 años,Bizkaia,%,68.19
2023,Alguna habilidad informática,Hombre,25-74 años,Bizkaia,%,70.81
2022,Alguna habilidad informática,Hombre,25-74 años,Bizkaia,%,66.92
2021,Alguna habilidad informática,Hombre,25-74 años,Bizkaia,%,74.31
2020,Alguna habilidad informática,Hombre,25-74 años,Gipuzkoa,%,68.8
2022,Alguna habilidad informática,Hombre,25-74 años,Gipuzkoa,%,64.8
2021,Alguna habilidad informática,Hombre,25-74 años,Gipuzkoa,%,72.14
2019,Alguna habilidad informática,Hombre,25-74 años,Gipuzkoa,%,64.03
2023,Alguna habilidad informática,Hombre,25-74 años,Gipuzkoa,%,69.92
2020,Copiar o mover ficheros o carpetas,,16-24 años,,%,86.56
2022,Copiar o mover ficheros o carpetas,,16-24 años,,%,87.44
2021,Copiar o mover ficheros o carpetas,,16-24 años,,%,86.58
2019,Copiar o mover ficheros o carpetas,,16-24 años,,%,89.41
2023,Copiar o mover ficheros o carpetas,,16-24 años,,%,89.14
2023,Copiar o mover ficheros o carpetas,,16-24 años,Araba/Álava,%,94.85
2021,Copiar o mover ficheros o carpetas,,16-24 años,Araba/Álava,%,85.68
2020,Copiar o mover ficheros o carpetas,,16-24 años,Araba/Álava,%,80.63
2022,Copiar o mover ficheros o carpetas,,16-24 años,Araba/Álava,%,82.61
2019,Copiar o mover ficheros o carpetas,,16-24 años,Araba/Álava,%,91.07
2019,Copiar o mover ficheros o carpetas,,16-24 años,Bizkaia,%,90.0
2022,Copiar o mover ficheros o carpetas,,16-24 años,Bizkaia,%,88.08
2023,Copiar o mover ficheros o carpetas,,16-24 años,Bizkaia,%,87.1
2021,Copiar o mover ficheros o carpetas,,16-24 años,Bizkaia,%,87.2
2020,Copiar o mover ficheros o carpetas,,16-24 años,Bizkaia,%,83.31
2022,Copiar o mover ficheros o carpetas,,16-24 años,Gipuzkoa,%,88.44
2023,Copiar o mover ficheros o carpetas,,16-24 años,Gipuzkoa,%,89.53
2020,Copiar o mover ficheros o carpetas,,16-24 años,Gipuzkoa,%,94.1
2019,Copiar o mover ficheros o carpetas,,16-24 años,Gipuzkoa,%,87.91
2021,Copiar o mover ficheros o carpetas,,16-24 años,Gipuzkoa,%,86.08
2022,Copiar o mover ficheros o carpetas,,16-74 años,,%,57.2
2019,Copiar o mover ficheros o carpetas,,16-74 años,,%,55.36
2021,Copiar o mover ficheros o carpetas,,16-74 años,,%,61.48
2020,Copiar o mover ficheros o carpetas,,16-74 años,,%,55.36
2023,Copiar o mover ficheros o carpetas,,16-74 años,,%,56.25
2020,Copiar o mover ficheros o carpetas,,16-74 años,Araba/Álava,%,54.04
2023,Copiar o mover ficheros o carpetas,,16-74 años,Araba/Álava,%,54.82
2019,Copiar o mover ficheros o carpetas,,16-74 años,Araba/Álava,%,55.76
2022,Copiar o mover ficheros o carpetas,,16-74 años,Araba/Álava,%,56.74
2021,Copiar o mover ficheros o carpetas,,16-74 años,Araba/Álava,%,61.94
2020,Copiar o mover ficheros o carpetas,,16-74 años,Bizkaia,%,54.32
2019,Copiar o mover ficheros o carpetas,,16-74 años,Bizkaia,%,55.79
2021,Copiar o mover ficheros o carpetas,,16-74 años,Bizkaia,%,61.63
2023,Copiar o mover ficheros o carpetas,,16-74 años,Bizkaia,%,56.04
2022,Copiar o mover ficheros o carpetas,,16-74 años,Bizkaia,%,56.66
2023,Copiar o mover ficheros o carpetas,,16-74 años,Gipuzkoa,%,57.26
2022,Copiar o mover ficheros o carpetas,,16-74 años,Gipuzkoa,%,58.29
2021,Copiar o mover ficheros o carpetas,,16-74 años,Gipuzkoa,%,61.02
2019,Copiar o mover ficheros o carpetas,,16-74 años,Gipuzkoa,%,54.5
2020,Copiar o mover ficheros o carpetas,,16-74 años,Gipuzkoa,%,57.68
2022,Copiar o mover ficheros o carpetas,,25-74 años,,%,53.21
2020,Copiar o mover ficheros o carpetas,,25-74 años,,%,51.5
2021,Copiar o mover ficheros o carpetas,,25-74 años,,%,58.11
2023,Copiar o mover ficheros o carpetas,,25-74 años,,%,51.9
2019,Copiar o mover ficheros o carpetas,,25-74 años,,%,51.53
2021,Copiar o mover ficheros o carpetas,,25-74 años,Araba/Álava,%,58.69
2019,Copiar o mover ficheros o carpetas,,25-74 años,Araba/Álava,%,51.77
2022,Copiar o mover ficheros o carpetas,,25-74 años,Araba/Álava,%,53.65
2020,Copiar o mover ficheros o carpetas,,25-74 años,Araba/Álava,%,50.7
2023,Copiar o mover ficheros o carpetas,,25-74 años,Araba/Álava,%,49.29
