Year,Series,Territorio histórico,Units,Value
2012,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,4.2
2014,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,1.9
2017,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,0.0
2023,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,21.3
2011,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,2.1
2016,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,3.6
2021,Tasa de crecimiento del PIB generado por el turismo,Bizkaia,%,6.3
2024,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,3.6
2019,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,1.3
2014,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,2.8
2022,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,34.6
2016,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,3.8
2020,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-39.7
2018,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-2.5
2017,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-2.5
2010,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,-1.4
2021,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,10.6
2023,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,20.0
2012,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,4.4
2013,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,1.4
2015,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,5.4
2011,Tasa de crecimiento del PIB generado por el turismo,Gipuzkoa,%,0.0
