Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,10.7
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,11.4
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,11.2
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,10.3
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,9.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,11.2
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,8.5
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,8.3
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,8.6
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,8.4
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,9.2
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,8.7
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,9.3
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,7.6
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,9.6
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,8.8
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,8.1
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,7.5
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,9.5
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,7.0
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,6.3
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,7.1
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,9.0
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,11.4
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,6.1
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Gipuzkoa,Porcentaje,12.8
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,8.5
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,13.0
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",Mujer,15-24 años,,Porcentaje,9.2
