Year,Profesión,Situación laboral,Sexo,Territorio histórico,Units,Value
2011,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,4.6
2016,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,143.3
2016,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,8.6
2015,,,,Gipuzkoa,Por 10.000 habitantes,150.2
2013,,,,Gipuzkoa,Por 10.000 habitantes,145.8
2023,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,152.4
2019,,,,Gipuzkoa,Por 10.000 habitantes,157.3
2018,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,10.3
2019,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,145.6
2020,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,149.1
2022,,,,Gipuzkoa,Por 10.000 habitantes,167.0
2017,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,143.5
2011,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,130.7
2012,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,138.3
2020,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,12.8
2016,,,,Gipuzkoa,Por 10.000 habitantes,151.8
2025,,,,Gipuzkoa,Por 10.000 habitantes,196.6
2010,,,,Gipuzkoa,Por 10.000 habitantes,140.0
2024,,,,Gipuzkoa,Por 10.000 habitantes,191.8
2021,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,14.0
2015,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,8.0
2011,,,,Gipuzkoa,Por 10.000 habitantes,142.8
2017,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,9.4
2021,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,150.8
2024,,No jubilados/as,,Gipuzkoa,Por 10.000 habitantes,153.5
2012,,Jubilados/as,,Gipuzkoa,Por 10.000 habitantes,6.0
2017,,No jubilados/as,Mujer,,Por 10.000 habitantes,225.4
2010,,Jubilados/as,Mujer,,Por 10.000 habitantes,2.1
2024,,No jubilados/as,Mujer,,Por 10.000 habitantes,247.4
2017,,,Mujer,,Por 10.000 habitantes,231.4
2020,,Jubilados/as,Mujer,,Por 10.000 habitantes,8.9
2012,,Jubilados/as,Mujer,,Por 10.000 habitantes,2.8
2011,,Jubilados/as,Mujer,,Por 10.000 habitantes,2.7
2020,,,Mujer,,Por 10.000 habitantes,245.2
2023,,,Mujer,,Por 10.000 habitantes,271.4
2021,,,Mujer,,Por 10.000 habitantes,249.8
2021,,Jubilados/as,Mujer,,Por 10.000 habitantes,10.1
2012,,No jubilados/as,Mujer,,Por 10.000 habitantes,208.1
2013,,,Mujer,,Por 10.000 habitantes,215.2
2021,,No jubilados/as,Mujer,,Por 10.000 habitantes,239.3
2016,,Jubilados/as,Mujer,,Por 10.000 habitantes,4.8
2022,,,Mujer,,Por 10.000 habitantes,252.6
2014,,,Mujer,,Por 10.000 habitantes,219.8
2011,,,Mujer,,Por 10.000 habitantes,205.6
2011,,No jubilados/as,Mujer,,Por 10.000 habitantes,195.7
2018,,Jubilados/as,Mujer,,Por 10.000 habitantes,6.6
2016,,,Mujer,,Por 10.000 habitantes,228.0
2022,,No jubilados/as,Mujer,,Por 10.000 habitantes,241.7
2017,,Jubilados/as,Mujer,,Por 10.000 habitantes,5.7
2023,,No jubilados/as,Mujer,,Por 10.000 habitantes,244.4
2014,,No jubilados/as,Mujer,,Por 10.000 habitantes,216.1
2018,,No jubilados/as,Mujer,,Por 10.000 habitantes,228.0
2019,,,Mujer,,Por 10.000 habitantes,238.1
2013,,No jubilados/as,Mujer,,Por 10.000 habitantes,211.9
2016,,No jubilados/as,Mujer,,Por 10.000 habitantes,222.9
2020,,No jubilados/as,Mujer,,Por 10.000 habitantes,236.0
2015,,No jubilados/as,Mujer,,Por 10.000 habitantes,220.1
2015,,Jubilados/as,Mujer,,Por 10.000 habitantes,3.9
2022,,Jubilados/as,Mujer,,Por 10.000 habitantes,10.9
2012,,,Mujer,,Por 10.000 habitantes,211.3
2015,,,Mujer,,Por 10.000 habitantes,224.4
2018,,,Mujer,,Por 10.000 habitantes,234.8
2010,,No jubilados/as,Mujer,,Por 10.000 habitantes,198.8
2010,,,Mujer,,Por 10.000 habitantes,201.2
2025,,No jubilados/as,Mujer,,Por 10.000 habitantes,252.0
2025,,Jubilados/as,Mujer,,Por 10.000 habitantes,28.3
2019,,No jubilados/as,Mujer,,Por 10.000 habitantes,229.9
2013,,Jubilados/as,Mujer,,Por 10.000 habitantes,2.9
2024,,,Mujer,,Por 10.000 habitantes,273.3
2014,,Jubilados/as,Mujer,,Por 10.000 habitantes,3.2
2024,,Jubilados/as,Mujer,,Por 10.000 habitantes,25.9
2019,,Jubilados/as,Mujer,,Por 10.000 habitantes,7.9
2025,,,Mujer,,Por 10.000 habitantes,280.3
2023,,Jubilados/as,Mujer,,Por 10.000 habitantes,27.1
2016,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,4.8
2022,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,252.6
2010,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,2.3
2014,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,236.4
2021,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,8.3
2020,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,248.3
2010,,,Mujer,Araba/Álava,Por 10.000 habitantes,216.1
2021,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,250.6
2013,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,2.1
2015,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,238.9
2021,,,Mujer,Araba/Álava,Por 10.000 habitantes,258.9
2012,,,Mujer,Araba/Álava,Por 10.000 habitantes,229.9
2024,,,Mujer,Araba/Álava,Por 10.000 habitantes,267.6
2017,,,Mujer,Araba/Álava,Por 10.000 habitantes,248.5
2010,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,213.8
2011,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,3.8
2022,,,Mujer,Araba/Álava,Por 10.000 habitantes,262.2
2013,,,Mujer,Araba/Álava,Por 10.000 habitantes,233.0
2025,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,258.4
2022,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,9.6
2023,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,253.4
2011,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,212.9
2024,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,254.6
2011,,,Mujer,Araba/Álava,Por 10.000 habitantes,222.3
2025,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,14.7
2020,,,Mujer,Araba/Álava,Por 10.000 habitantes,256.1
2024,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,13.0
2016,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,241.4
2018,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,245.4
2017,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,243.2
2012,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,227.5
2013,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,230.8
2020,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,7.8
2023,,,Mujer,Araba/Álava,Por 10.000 habitantes,264.4
2025,,,Mujer,Araba/Álava,Por 10.000 habitantes,273.0
2019,,,Mujer,Araba/Álava,Por 10.000 habitantes,251.0
2016,,,Mujer,Araba/Álava,Por 10.000 habitantes,246.1
2018,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,5.9
2023,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,11.0
2019,,No jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,243.8
2018,,,Mujer,Araba/Álava,Por 10.000 habitantes,251.2
2014,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,2.1
2015,,,Mujer,Araba/Álava,Por 10.000 habitantes,242.7
2015,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,3.9
2012,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,2.3
2014,,,Mujer,Araba/Álava,Por 10.000 habitantes,238.5
2017,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,5.4
2019,,Jubilados/as,Mujer,Araba/Álava,Por 10.000 habitantes,7.1
2019,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,7.7
2018,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,6.2
2023,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,12.1
2025,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,14.7
2011,,,Mujer,Bizkaia,Por 10.000 habitantes,202.2
2013,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.8
2015,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,216.9
2016,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,4.4
2021,,,Mujer,Bizkaia,Por 10.000 habitantes,249.8
2014,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,211.6
2023,,,Mujer,Bizkaia,Por 10.000 habitantes,257.4
2020,,,Mujer,Bizkaia,Por 10.000 habitantes,245.0
2010,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.1
2011,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,191.9
2010,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,193.2
2020,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,235.6
2018,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,227.4
2021,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,238.9
2025,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,254.2
2023,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,245.3
2014,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,3.0
2020,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,8.7
2012,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.8
2022,,,Mujer,Bizkaia,Por 10.000 habitantes,252.7
2013,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,207.9
2024,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,13.2
2012,,,Mujer,Bizkaia,Por 10.000 habitantes,208.3
2016,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,220.5
2017,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,5.3
2018,,,Mujer,Bizkaia,Por 10.000 habitantes,234.2
2019,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,229.6
2022,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,242.7
2024,,,Mujer,Bizkaia,Por 10.000 habitantes,262.1
2015,,,Mujer,Bizkaia,Por 10.000 habitantes,221.2
2019,,,Mujer,Bizkaia,Por 10.000 habitantes,238.0
2021,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,10.2
2014,,,Mujer,Bizkaia,Por 10.000 habitantes,215.4
2016,,,Mujer,Bizkaia,Por 10.000 habitantes,225.6
2017,,,Mujer,Bizkaia,Por 10.000 habitantes,229.7
2015,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,3.5
2022,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,10.0
2013,,,Mujer,Bizkaia,Por 10.000 habitantes,211.4
2025,,,Mujer,Bizkaia,Por 10.000 habitantes,268.9
2010,,,Mujer,Bizkaia,Por 10.000 habitantes,195.9
2012,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,204.9
2017,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,223.8
2011,,Jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,2.5
2024,,No jubilados/as,Mujer,Bizkaia,Por 10.000 habitantes,249.0
2017,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,219.9
2013,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,210.2
2017,,,Mujer,Gipuzkoa,Por 10.000 habitantes,226.3
2016,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,5.4
2020,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,9.6
2015,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,4.7
2010,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,201.3
2021,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,234.7
2012,,,Mujer,Gipuzkoa,Por 10.000 habitantes,207.9
2023,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,58.6
2022,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,12.9
2014,,,Mujer,Gipuzkoa,Por 10.000 habitantes,218.5
2023,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,238.7
2019,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,224.0
2022,,,Mujer,Gipuzkoa,Por 10.000 habitantes,248.2
2010,,,Mujer,Gipuzkoa,Por 10.000 habitantes,203.3
2017,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,6.4
2019,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,8.6
2012,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,3.2
2018,,,Mujer,Gipuzkoa,Por 10.000 habitantes,228.5
2012,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,204.7
2015,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,216.8
2023,,,Mujer,Gipuzkoa,Por 10.000 habitantes,297.3
2019,,,Mujer,Gipuzkoa,Por 10.000 habitantes,232.6
2010,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,2.0
2013,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,3.5
2015,,,Mujer,Gipuzkoa,Por 10.000 habitantes,221.5
2021,,,Mujer,Gipuzkoa,Por 10.000 habitantes,245.4
2025,,,Mujer,Gipuzkoa,Por 10.000 habitantes,302.1
2011,,,Mujer,Gipuzkoa,Por 10.000 habitantes,203.7
2016,,,Mujer,Gipuzkoa,Por 10.000 habitantes,223.9
2025,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,245.6
2024,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,241.7
2020,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,231.0
2018,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,221.0
2016,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,218.5
2022,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,235.2
2024,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,52.4
2021,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,10.7
2011,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,194.4
2014,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,4.0
2014,,No jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,214.5
2020,,,Mujer,Gipuzkoa,Por 10.000 habitantes,240.6
2013,,,Mujer,Gipuzkoa,Por 10.000 habitantes,213.6
2025,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,56.6
2011,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,2.4
2024,,,Mujer,Gipuzkoa,Por 10.000 habitantes,294.0
2018,,Jubilados/as,Mujer,Gipuzkoa,Por 10.000 habitantes,7.4
2013,,No jubilados/as,Hombre,,Por 10.000 habitantes,73.9
2015,,No jubilados/as,Hombre,,Por 10.000 habitantes,74.0
2022,,Jubilados/as,Hombre,,Por 10.000 habitantes,19.0
2017,,Jubilados/as,Hombre,,Por 10.000 habitantes,12.9
2013,,Jubilados/as,Hombre,,Por 10.000 habitantes,9.7
2020,,No jubilados/as,Hombre,,Por 10.000 habitantes,74.8
2017,,,Hombre,,Por 10.000 habitantes,86.8
2010,,Jubilados/as,Hombre,,Por 10.000 habitantes,7.9
